Time,Phocaeicola_A_858004,Anaerostipes,Faecalibacterium,Coprococcus_A_121497,Mediterraneibacter_A_155507,Butyrivibrio_A_180067,Bacteroides_H,Phascolarctobacterium_A,Paramuribaculum,Ruminococcus_E
0.0,0.2028067992487841,-4.064436675816735,-1.2324308578571839,-3.049207103474121,-3.9624968057768806,-1.3770222855752023,-1.1522997649574651,-2.5702741010355905,-2.2443045534922796,-5.698560037464657
1.0,0.6073859666016335,-4.515958246243703,-0.6361772486060595,-2.0754905340861214,-3.9248264100846484,-1.3712338530601602,-0.38848008749331875,-1.8963346331620412,-2.2125149085615083,-5.357520368161052
2.0,1.2329744709555448,-4.525422828535923,-0.6377642447014971,-2.0858900249936316,-3.968578298889692,-0.6778235408280437,-0.020970160271855942,-1.8329829786055671,-1.4853704948574284,-4.963674601425646
3.0,0.8882460782695337,-3.884389087059623,-0.5136073866933362,-2.291895785909122,-4.0429937093206325,-0.718128999133375,-0.6271670061128927,-2.085104443263753,-1.7818843558770492,-5.206138400412044
4.0,1.226331249800819,-4.734849039336658,-1.5716169799509185,-2.9002363020585777,-4.184805655643917,-0.017969028723438196,-0.23178362643203632,-1.7061438503108366,-1.4661072512576878,-4.3465256874416225
5.0,0.3539381675491259,-4.543726161715565,-1.1798691809479487,-2.26015111472495,-3.673602105997381,-1.415054057815349,-0.8856478121849545,-2.25419495788776,-2.017361199000282,-4.15920210410507
6.0,1.2914532219243537,-4.868450840209516,-1.0959440541189822,-2.8206262136509705,-3.840984556771158,-1.0176717086942098,-0.21715844899884984,-1.783481638212075,-1.6947054115328462,-3.714196603625311
7.0,1.251690481197881,-4.493403625584072,-0.9072950740897041,-1.9622755433410548,-4.646478664493619,-0.23862052568283332,-0.1062346449061069,-1.6413981460082372,-1.5779076802921783,-2.610747374921742
8.0,0.9845527660158299,-4.213708603660601,-0.023255324233527386,-1.9858125030926737,-3.8681337008958607,-0.6837872891852113,-0.27292395098438615,-2.2173761664129916,-1.658489079594638,-1.9298441636117707
9.0,1.1543948757745408,-4.467510221609809,-0.6481064008276232,-2.522021100264215,-4.346816565764257,-2.0375397366254697,-0.10588480804698519,-1.961453702863612,-1.3113214958470725,-0.780313618576365
10.0,0.4825246416169797,-3.5085807372870788,-0.24727847912412337,-1.6106996146566166,-3.353496971976634,-2.976203088738183,-1.0203523080759078,-2.9082057873911786,-2.4297719290734467,-2.017253713024546
11.0,0.634768096296818,-3.777022114386982,0.1398764275350659,-2.074087409562339,-3.8528332192189225,-4.193609790165685,-0.6174849096525044,-2.410841629821574,-1.9146257907426845,-2.6400701196916776
12.0,0.6940126561774265,-3.3865040492188196,-0.22459348215236719,-2.7480695431390565,-3.765363223049981,-4.231981699101175,-0.9295158845694027,-2.1707924065896576,-1.9446177042946096,-3.36422843335885
13.0,0.8011938789687614,-3.653908246181544,-0.0039589756434343926,-1.9266177135460059,-3.765573203513153,-1.0159968016466576,-0.8500646602945194,-2.4776381590306586,-2.0368171305130094,-2.2176569740294587
14.0,1.339963222221845,-4.595553035025147,-0.7767078511817151,-2.687627203820295,-4.458266924918536,-1.8479447275109984,-0.35209300906613916,-1.4552773872160045,-1.3539336357601524,-3.2329528742157727
15.0,0.7452527288388742,-3.864636802777306,-0.480761086568964,-1.7968931088612823,-3.8905510372053174,-1.4446840820177822,-0.919037669387379,-1.935479233236469,-1.990870511779976,-3.3939074703971244
16.0,1.1073849770000512,-3.2161225011329484,-0.37248761382500906,-1.46225141883997,-3.974994640513652,-1.0737154569715943,-0.0593581549878448,-1.9138379577871976,-2.121761116972514,-1.3727105982887045
17.0,0.15792393212615963,-3.974726691665845,-0.407062746396623,-1.0888855217543416,-3.6372127771606895,-3.0947506229594897,-0.9729664308736525,-2.8252917255851457,-2.854794350580746,-1.8144422883510753
18.0,0.9398589578013379,-3.9106520470775985,0.23295925048476973,-1.1247410038853085,-4.081905768631658,-0.640886366333733,-0.8330714466037066,-2.496531263421267,-2.2294505201655,-3.2367684867349036
19.0,0.546737440051491,-3.535917580917968,0.06063770040540706,-1.1119196944332979,-3.826146917062886,-1.5768878664239985,-0.9972799629236109,-2.34914116776027,-2.380965008692845,-4.314918422163833
20.0,0.29048819123561764,-3.350490870410988,-0.08483019530962532,-1.091500201651641,-3.6266608075882805,-3.7790724700737104,-0.8768201395643138,-2.404541426826935,-2.3916107242693667,-5.455226779696499
21.0,1.3519642644921732,-3.348424750857535,-0.0127542881178635,-1.0623707073902389,-4.004032210090349,-4.027462373060573,0.1193222671369567,-1.9912399185459044,-1.911002526470834,-4.815484192026911
22.0,0.6490978518054656,-4.1821214161131985,-0.32984436320708843,-2.513013509764666,-3.731314847278364,-3.2396412293111716,-0.3585964944693263,-1.4294533156953702,-1.5653898945241347,-5.111437233477096
23.0,-0.3669157286229455,-2.7255878413634105,-1.3460588038507861,-4.261028193071961,-2.1894455311103376,-5.967585531520083,-1.4795761302414143,-2.742935007909505,-2.1120357746936183,-5.967585531520083
24.0,0.7166081304772053,-3.922868154219697,-0.13861847417411788,-1.3912252318042386,-3.1939680091120373,-5.015996127119778,-0.06483387544074759,-1.6788344142022444,-2.565492446969353,-5.161305078008879
25.0,0.4757709727135755,-4.261158932670213,-0.224790584786128,-1.6693573027813429,-3.505881584015819,-3.5791865569784425,-0.07202532197486478,-2.5172524091073583,-2.863394461112011,-2.3995358490261407
26.0,0.8670529220293891,-4.458692464330375,-0.536072944054637,-2.029766243526775,-3.8549894632072874,-1.3543925607934502,0.14140131095356945,-1.7773256446869752,-1.8738132539583283,-2.3403911590522855
27.0,1.2662590393591044,-4.622789265517568,-1.5239233748337804,-2.701349217973729,-4.4011519356583175,-0.5726467512250704,0.2684855695778747,-1.2302825659816463,-1.237259189393488,-2.455676766985525
28.0,1.2995815814084022,-4.112325555375955,-0.26433013271727024,-1.8076678333603566,-4.245003283102108,-0.8269014579128444,-0.05777500442822614,-1.7041045264502932,-1.7359080018390438,-2.8496814024987605
29.0,1.2102793427489487,-3.8541647848129843,0.2006239241487009,-1.4178891282597779,-4.140767734099644,-1.2949602051554916,-0.5588102511510733,-2.7055835097294167,-2.857683808155187,-3.2462666243292153
30.0,1.285117472310803,-3.896070718424565,0.22444987378604186,-1.3745684234177036,-4.098179378250053,-1.2677685195496196,-0.22364136711716842,-2.128005859083589,-2.110804506301247,-3.164842673386689
31.0,0.6891086428838409,-4.820744022596633,-1.0767254355434592,-2.5311512853491878,-4.130830724282349,-2.5603310572340336,-0.05044788742723649,-1.243522821145429,-0.854788469592016,-3.5931847671583053
32.0,-0.33067817311185954,-4.164165530378592,-0.4890703978473332,-1.5203389115130157,-3.454419213312372,-2.9231979819311205,-0.7399821263514432,-2.265320809162329,-2.265320809162329,-3.7129668049673414
33.0,0.28425302089027005,-3.519330897667208,-0.09316962645265381,-1.3414585688965917,-3.616038575524332,-5.202656487715176,-0.7694324605897676,-3.257289275086986,-2.6351140291067194,-5.487833221695352
34.0,1.0543744473503243,-4.337558074052211,-0.04639981998588705,-1.1755284706921987,-3.998645084803732,-4.767774581675147,-0.10165032464445978,-1.9944874943021464,-1.7404115907181181,-4.767774581675147
35.0,1.2776676303702685,-4.233942861273839,-0.04375342464763676,-1.5597042834056025,-4.233942861273839,-2.3101984484371383,0.4920086234271117,-1.8633195409092584,-1.6533155152175678,-2.4723171725515276
36.0,0.5298319755135357,-4.022506045933469,-0.3652334564316728,-1.4478016929992454,-3.8625531686644194,-3.5302495042033577,-0.2784764144264833,-2.733068773669511,-1.9974075559154978,-2.8557496942145493
37.0,0.9864604476072928,-4.502231135038036,-1.0016728787870335,-2.6784388526896477,-4.326247263583326,-4.798696246168711,0.517531134024618,-1.454110532464143,-1.0153158947686558,-3.0886205259121073
38.0,1.1281895829076944,-4.495454306264046,-1.2567236760027032,-3.289155492418794,-4.791919417394721,-4.930504543062737,0.4018580360766961,-1.1700458191733198,-1.513376543647459,-2.9995123846250777
39.0,1.1963394031637944,-4.781486474614434,-1.1167257209838195,-2.873839861508462,-4.825581479792052,-2.3520159952804924,0.26886523585555233,-1.551231439899576,-1.8629807025556167,-2.275246919741546
40.0,1.3482455320934728,-4.517653477366222,-0.4244590888091051,-2.32244224023273,-4.6004068839994705,-1.0971553121405386,0.32028247115917363,-1.6936195754612577,-1.1573595064729942,-2.8981631625235837
41.0,0.6713906978555333,-4.195019615597555,-0.14214176555910218,-1.689170394811858,-3.937998912117716,-1.3814342666813897,-0.2226885864557906,-2.0708588404366255,-2.221829805759681,-3.5334507880038935
42.0,-0.20184869100743708,-3.1626109731577197,-0.4210976417930179,-1.8129527748560055,-3.754182351057594,-2.4244708194227433,-0.9000031469290126,-2.8467917121510293,-2.560062744199957,-2.6302349717155824
43.0,-0.4616650625227239,-3.349068294482473,-0.4738145049212472,-1.4385836842688093,-3.746158729231695,-2.6832003766270835,-0.6110076478402189,-2.685920119967281,-2.460155683489064,-2.7361844844669596
44.0,0.47971640657958137,-3.2948643786738794,-0.11043813144073522,-1.5596626664280155,-3.188226022689345,-3.471320596380936,-0.3790666667504319,-2.537638945803181,-2.2305072142291715,-3.126925557651827
45.0,0.5082804344980678,-3.0735490831959686,0.03999142823851565,-1.785207710483394,-3.33945703639611,-4.495858440964017,0.15349978220859994,-1.8384623701744958,-1.8384623701744958,-4.3936818942404585
46.0,0.09962641711340159,-3.7700397126170397,-0.6746333971060741,-2.765721788993316,-3.43647842945749,-5.571226170895354,-0.4231616084739003,-2.428963124230993,-2.2425906289654454,-3.663975359619502
47.0,0.963434981049184,-4.821191362212293,-0.13168694400017045,-0.8586312103006553,-3.398324592901969,-4.865286367389911,-0.0038305124058637396,-1.8029754428743539,-1.947965700057088,-2.95939971194451
48.0,0.32183604382663145,-5.180450057071654,-1.2892028674609952,-3.202812035992755,-3.640009872257057,-3.818766103661761,-0.44377052429631925,-1.552695069568944,-1.2884232509494644,-3.4470803319192758
49.0,1.0011402042001794,-4.938164691477273,-0.6786406200322872,-1.8318354614708368,-4.036578287138691,-3.0627439996064556,0.2291365590472103,-1.7162108373062954,-1.8995939948988292,-2.194704783156281
50.0,0.6954546471496201,-4.808076554830381,-0.23355068968079462,-1.2453215662051718,-4.118410718142729,-3.9430826955444207,0.1951176217531252,-2.039625413223923,-1.8075008202186007,-3.2924963739977953
51.0,0.4092456297479925,-4.400019146246488,-0.2545273463590152,-1.360398558036832,-3.603729148869083,-1.8473756680780549,-0.076489828090617,-2.213812808272735,-2.203916195248082,-2.737682477681414
52.0,0.06566468739011722,-4.777918089336693,-0.3672908306851175,-1.5093495587045973,-3.622988383188712,-2.260801715672481,-0.529256971272382,-2.4308643627640922,-1.9127324784565245,-2.7360832104603254
53.0,1.0352508676822776,-4.70665766200644,0.409620527287462,-2.5338005197755216,-3.997398804397064,-3.523850264749073,-0.17779804981629388,-2.589581730554076,-1.9259850355882926,-4.290422644802182
54.0,0.3648300610913602,-3.900147933615499,0.08228043989320977,-1.5715891532801691,-3.613026425868311,-2.609249187470054,-0.551326882666592,-2.8493197742328773,-3.1310159156415294,-5.292051107912944
55.0,0.6508642425251998,-4.3844557884343764,-0.06034257298502954,-1.4801357078691446,-3.8909502497234527,-0.40289345856172853,-0.14753276189422992,-2.927626128225894,-2.506784684347881,-4.999521915438518
56.0,1.1002807230902443,-4.475063448662537,-0.1446830323533277,-1.3486061494954233,-4.517295923624985,0.5261222579613143,0.38657661772221674,-2.6032669339715677,-1.776842008221002,-4.3955997884787745
57.0,1.670441668199516,-4.498048453726785,-0.9937982734313842,-3.3889858790700234,-4.548867284125487,-0.005530430896143024,0.6073429011499494,-1.6162291770584858,-1.3998729549274875,-3.809419944366027
58.0,1.5003644555040467,-4.208997223304784,-0.028677016045222103,-2.080502920325456,-4.494173957284959,0.767678018444317,0.6536023267272828,-1.860496432293968,-1.1442784576900964,-3.583906616214243
59.0,0.45537792760081053,-3.5640747780490827,0.1105295461428133,-1.8340527692684028,-3.91847977431945,-0.7393177242388436,-0.5522442665193517,-2.52322745711779,-2.35935505659862,-1.743427172151933
60.0,1.3346244090165444,-4.663386025996143,-0.06923242690677966,-2.2048991899148516,-4.352285934783213,0.13074973990805194,0.4782968588892387,-2.6673076261388533,-1.605644218282836,-2.7484240049190096
61.0,0.8489510083385714,-4.432134131312044,0.023379737440564652,-1.8081441139598382,-3.9120510473546304,-0.7173698145730152,-0.2558450391549616,-3.237510396076675,-1.767749430217841,-2.1088389828842873
62.0,0.25369431084908745,-5.021431256482806,-0.1958365702796987,-2.057161806165399,-3.8472567332446412,-1.7917805544405057,-0.7051107733599902,-2.8745622708048875,-1.5475687509222609,-2.772184023814052
63.0,0.658452930406678,-3.859990886020758,-0.004211568673964772,-1.3991207115289257,-3.75204328272949,-0.7766343397971316,-0.6000051704624598,-2.57303200176509,-2.3205659390815967,-2.7920708139242283
64.0,0.8640916711523338,-4.137541265844929,-0.17358514731739638,-1.6144068023483094,-4.158083469858248,-1.5330079047362184,-0.16857874789967164,-1.9014465421446394,-1.690626807358909,-2.685094835201149
65.0,0.7400355327686805,-4.395506007535143,-0.06433020620263696,-1.7273079152466035,-3.5982456427153107,-1.5066474869605813,-0.16841203856402998,-2.19954271291538,-2.1300298288924346,-3.2591561253610166
66.0,0.6575898922689928,-4.324254287584416,-0.8120364693938451,-2.0003908536640487,-4.225519762653229,-0.8615332438076768,-0.292625122071021,-2.3493902992994755,-1.7266118574765255,-3.766258495724946
67.0,0.7316709200740689,-3.9661984708505176,-0.17866107118230357,-1.2167207088517116,-3.8033145022126216,-0.9077135438286077,-0.4618384881879978,-2.3336402347600447,-2.000029374685049,-3.616861084261578
68.0,0.5056175124004121,-4.0621944302513295,-0.12380221321975715,-1.0964062320931398,-3.75997484686684,-1.0159490746322097,-1.0418059232203922,-3.227529721851934,-2.677996171355216,-2.7131997842636184
69.0,0.4757297941312615,-4.574837483754818,-0.3774334706819671,-1.4203971065367158,-4.132855705545175,-1.2719337654591016,-1.159291079746502,-3.3350938593568804,-2.519637977747624,-2.63587187160366
70.0,1.0901401276384985,-4.627717411222042,0.03880308300826263,-2.7587542268493306,-4.341710460136019,-1.6799451716689693,-0.15828472374144553,-1.6551669905798456,-1.7293934312530586,-3.284132487270178
