Time,Phocaeicola_A_858004,Bacteroides_H,Faecalibacterium,Paramuribaculum,Lachnospira,Parabacteroides_B_862066,Phascolarctobacterium_A,Ruminococcus_E,Gemmiger_A_73129,Prevotella
0.0,0.6164785430447376,0.1370430043701818,-5.281905798808333,-5.376395919298732,-2.3892666527088973,-5.480755052648443,-3.0332123194687073,-5.480755052648443,-4.973940988809016,-5.078631792606651
1.0,0.06683284324016592,-0.11078933308208438,-5.141674403101503,-5.529997754996539,-2.4992078506721143,-5.772942014014267,-3.2520331112297978,-5.772942014014267,-4.862674672943551,-5.334690241124544
2.0,0.1606627412805035,0.06962554125697196,-5.442071172977901,-3.5937766453829365,-2.8744170070294652,-5.6850154319956285,-3.0957569986758386,-5.6850154319956285,-4.669790427594511,-5.580656298645917
3.0,0.6207241003319354,0.3593939166633324,-3.3117819687244596,-4.888280269755217,-1.7632754870506242,-5.361400671532759,-1.9036740585116674,-5.361400671532759,-3.5873035277509384,-5.361400671532759
4.0,-0.9967771901293118,-1.1699023581407104,-3.448477770742613,-4.606415379771771,-3.9405761030835174,-6.272226408099821,-3.6036185590052656,-6.272226408099821,-3.90386164119519,-2.3223384788194488
5.0,-0.5378552943268202,-1.509364361803284,-2.8317339219022966,-4.39234038703516,-4.668457252784945,-5.373499072250287,-3.2381414983500303,-6.004766683163051,-4.308241332309037,-0.6464690488524609
6.0,-0.06698522964107645,0.07218633114608286,-1.319870409137852,-3.0846005913093064,-3.444853034941498,-3.375064056746398,-2.682474630035066,-5.5694990828033015,-3.4125258341321567,-1.1335258697730768
7.0,0.8025695494262648,0.9009112731427016,-0.4493529786858903,-2.1779297986269124,-4.068283480859995,-2.3137644098986114,-1.5173650869317021,-4.97855082193071,-3.0255308426563796,-2.887312035318019
8.0,1.1149345659488759,1.3736258136747943,-0.1567193881883786,-2.468014161618707,-3.0561323185623728,-1.9335502877717508,-1.7336469075923673,-4.668558614690262,-2.692404088884362,-4.515838788177253
9.0,-1.0348506670514666,-1.394470149503686,-2.8202300836587657,-4.6824974668194645,-5.407753189462195,-3.7430329995692713,-4.288996858556409,-6.272745474349766,-4.426663155644611,-1.825759519035873
10.0,0.891710235233792,1.1592598033369472,-0.5521492265957852,-1.5111425934547507,-2.7700490129555746,-1.224558297053612,-1.6104468084572114,-4.819667715763874,-2.8588766015370126,-3.427149493676077
11.0,-1.4185241364873182,-1.4697718994900892,-3.10041309718253,-4.644415475269046,-6.108028554699441,-3.488780324176794,-4.175093263514332,-6.350972813717169,-4.7495741785874985,-1.8229624907396258
12.0,-0.6039435375492597,0.0616599685300121,-1.213045001145068,-3.224248288710104,-3.1312367060845148,-2.3907811192590858,-2.963965371180323,-5.647714587676408,-3.3823202620552815,-1.02889688740838
13.0,0.3301092031647035,0.7460340285427434,-0.13904862182574718,-1.785103146238631,-2.067347361890006,-1.242931166929839,-2.5655587779851308,-5.0996441447333885,-2.7895950534867433,-4.856699885715661
14.0,-1.4504642095010931,-1.5181855138019738,-1.960901963609786,-3.5248604305569358,-4.773888152451354,-3.22566683912523,-3.8563572832925064,-6.166406374539152,-3.4864210609640742,-0.980678823068342
15.0,-1.029910524581391,-1.0898916648016452,-1.598858401355139,-2.866352263548281,-4.591498132808307,-2.806480234606025,-3.1399981104184285,-5.9702575693580995,-3.1112128845050533,-0.8145211887281156
16.0,-0.2501137078535527,-0.39714268501339656,-0.6194800558296543,-2.8603596107357383,-3.353984318064497,-2.5072637550878527,-3.2537327790272084,-5.647520664528339,-2.7759437798566404,-1.3377375380034293
17.0,-1.0726673526299255,-1.5515559632871252,-1.8419243412274957,-3.7655091164965855,-4.892535937722533,-3.437855160828903,-4.025120495326337,-6.169287994376885,-3.790676290229773,-1.2839224585023468
18.0,-1.680110062836997,-2.4061998395859914,-2.9538546588538095,-5.020806243586855,-5.759580319951588,-4.245517011943163,-4.2602035067989865,-6.266394383791015,-4.4922972400091945,-0.6519985878061137
19.0,0.8051760883133823,1.0420779176695147,0.08319030149041362,-1.9537426351611242,-1.051579355011901,-0.7131024328056426,-1.8458402750520224,-4.780751982149919,-2.643049382778757,-3.892865962213141
20.0,-2.027704045888795,-2.0815156681594926,-2.4220509463679845,-5.080572840707063,-4.530527791095669,-3.6735568382621584,-4.003270592037186,-6.153861464160886,-4.27364088916436,-0.34876548933231655
21.0,0.6674902534251788,0.9009537918011032,-0.3963802833018244,-1.6681485804224847,-0.9699656909404721,-1.0136509017199793,-2.1724543524015747,-4.935615514278506,-3.3122818412132897,-3.8623268908246837
22.0,0.8347712090912291,0.801465724362961,-0.19966280220353094,-2.0221597309674095,-0.779481234457766,-1.5748476918443008,-1.7500668853143642,-4.855643880784637,-3.3302125436968044,-3.9989168426649284
23.0,0.06044761953291489,0.24708634785526162,-1.3270192909685172,-3.449291539915307,-1.4514734469888908,-2.368472910529746,-2.5704002171997566,-3.547348674724433,-3.1637348081506236,-3.242346624254351
24.0,0.8254803840590397,0.9058388912111395,-0.29563109781580765,-1.9797134160803798,-1.4531658293236989,-1.1352786121004823,-2.053779749565364,-2.8125137526651294,-2.5814417459818806,-3.986667701789452
25.0,0.6470113928890879,0.6503263041952212,-0.9107082285112746,-1.8583752232157458,-1.7841421898462364,-1.129674018305095,-2.3415019281934386,-3.7976890269731562,-3.013424303457679,-3.459865215614137
26.0,0.36663252223751086,0.49010685950258215,-0.31089643096415975,-2.0252967770755985,-1.5717580015136086,-1.4337873843851716,-2.4142218870018928,-2.6259948638255164,-2.571743024043636,-3.7316480324939088
27.0,0.2343508506888241,0.3327727180018052,-0.26394060585436163,-2.231516625079296,-1.7022004447371175,-1.6391687721991886,-2.281225631378631,-2.369993509412284,-2.9322847889660117,-2.2560622868611944
28.0,0.8032276885970107,0.7407744039059925,-0.5062845076274356,-2.0062357386715783,-1.1071482383941706,-1.496730963911335,-2.121515509593735,-3.789903947984971,-3.003097310438317,-3.9135573027778516
29.0,0.5828201378626201,0.5323618157027852,-0.936174230621331,-2.3151477999962955,-1.8119087304947838,-1.8211907114846373,-2.449036427681526,-3.975599082698701,-3.155614633340303,-3.3419362188033617
30.0,0.7895134079379162,0.8795115500531547,-0.06895771144521534,-1.597133388510374,-1.7125584699214347,-1.0572648067733628,-1.796807249803754,-3.3157187285850442,-2.479506515178125,-4.0182931081708535
31.0,0.6403019555551099,0.6087947842066281,-1.2993413061054069,-2.7944551146843337,-0.8146418710713785,-2.354844470428167,-2.11502532967068,-3.6706877702507916,-2.947570498163865,-3.0713602662147346
32.0,-2.077969754382565,-1.9702366476951028,-3.2226629676620697,-4.46780335848092,-3.5293568692054227,-4.279774738482726,-3.899928978948926,-3.941562203442048,-3.779985875214144,-0.78435705576427
33.0,-1.9950157922043474,-1.895572925072408,-3.0116102730480456,-4.411815821197516,-3.447299714936508,-4.2225468481153,-3.8591022807727646,-3.9156197246598334,-3.7065099548493623,-0.7819666000446487
34.0,-1.8064882156323263,-1.738477645831648,-2.665197975562685,-4.294052934750735,-3.2568380051696613,-4.079222960584782,-3.7569954258547424,-3.8705957040315306,-3.706912578043438,-0.8277284074198117
35.0,-1.5005402542064563,-1.5300132490382237,-2.2578424674467716,-4.053025354125679,-3.088060432051854,-3.7361139360080755,-3.67954362768543,-3.8990477935583,-3.670418726645282,-0.9085975729807049
36.0,-1.1834305991469547,-1.2666797052508825,-1.8367465068314193,-3.9033264021637923,-2.7992093211605034,-3.427486426899009,-3.53016928562854,-3.8132738634619314,-3.674147625372751,-0.9967165777168862
37.0,-0.8499071388867184,-0.9759891581667471,-1.471497811382624,-3.6000088520979077,-2.5335962603567728,-3.073124968442393,-3.3616407879710355,-3.74455857858194,-3.6369169158034884,-1.1949953565211584
38.0,-0.5151476328779712,-0.679723543858455,-1.1437469829050462,-3.2818444118036396,-2.2664261266051104,-2.6963326742486906,-3.12966194793652,-3.7266084913614392,-3.582322403229429,-1.4707430674852542
39.0,-0.22131401230268022,-0.40938159135713814,-0.8500604797793789,-3.042721989572658,-2.034787875566934,-2.373733495303777,-2.95283510000689,-3.7157656095267297,-3.5930291469421816,-2.010764630586807
40.0,0.0031494885575145126,-0.20464234227515377,-0.6745661879990537,-2.827988170160958,-1.8791896009689792,-2.0916554567220205,-2.803398089953546,-3.820851067836824,-3.524048809871305,-2.944801672483559
41.0,0.10685017950976095,-0.11766813203852533,-0.6621581146289433,-2.7351106636637565,-1.8828538132424966,-1.9377896820582785,-2.7766129813148295,-4.102791136585511,-3.633695617109294,-4.076536701071442
42.0,0.10162176424194991,0.24443862159687924,-0.8813075068588492,-2.696872874286831,-3.9497905689960233,-1.7558517953527164,-2.399095340065717,-4.495836214593773,-3.6330278154002547,-3.5818142127693453
43.0,0.33122540349628893,0.5714276395307534,-0.734460001100081,-2.8281148481478917,-3.0916643095902927,-1.603256488476587,-1.7561831794492095,-4.2867272934065195,-3.616483517472923,-3.4595790231625445
44.0,-1.1487601584889402,-0.9258745849391201,-2.0456738090726505,-4.362635693441006,-4.575293236658117,-3.2032741041009674,-3.1844754968212694,-4.00954234148672,-4.002484251591437,-1.0365401466848811
