Time,Lachnoclostridium,Hungatella,Fusobacterium,Escherichia/Shigella,Pyramidobacter,Ruminiclostridium_5,Faecalibacterium,Alistipes,Parabacteroides,Bacteroides
0.0,-2.5585489011463354,-2.928283523609916,-3.4287277000742504,-3.8266656449192977,-3.6425465914209747,-3.178486808982403,-1.4580607342587435,-1.4163907659533808,-3.439784583855663,0.196730443835885
1.0,-3.3062194084635124,-5.621773647188685,-5.643799845059198,-2.713440578428901,-5.895986024158621,-5.546877058175267,-1.6139915006902341,-3.4828136439860953,-3.936472492361031,-0.7964131422943047
2.0,-1.9462630948743829,-4.450820414338219,-5.330284215364437,-3.0120420548894273,-5.438128763177815,-5.322487065879456,-0.4208409978069605,-1.1409715436887329,-2.8195168412849005,0.563664114220207
3.0,-1.5608116606321782,-3.679248232384463,-5.344746216793497,-3.040158962472871,-5.344746216793497,-5.101129678588717,-1.0515595175999464,0.752526115616141,-2.6958365703414033,-0.322486342172575
6.0,-1.3337759902593975,-2.873560011900258,-5.415515268224419,-2.4803237106616205,-5.036383906807343,-2.6434877873285823,-2.141900110633146,0.340252025117433,-1.9906727761254943,0.054692066028191766
7.0,-0.9037742493018674,-2.2393056519224794,-3.7419666185456015,-1.832107627360219,-2.7068427007290103,-0.9560594059860432,-3.7696472700017902,0.5855647898989629,-1.5875033671717875,0.4921753382810723
8.0,-0.5193519750763702,-1.4160908241891947,-3.712305651514569,-1.878542421997679,-1.5189115422825021,-0.741314022475795,-1.324862715194321,1.104234453771325,-1.811738512089756,0.9049420794650689
9.0,-0.8269667813963553,-1.418293365862818,-3.283496494359388,-1.0876375114565486,-1.1506437072983995,-0.8158105133460518,-1.5160629338731764,1.0728245634973448,-1.8209854554115434,0.6767974213242915
10.0,-0.6449279676251796,-0.9516977409668566,-2.3156890410923014,-0.5340930066612204,-0.9361396606727657,-0.318817384787629,-1.0217966033828647,1.324195382644193,-1.9201012059497446,1.1712132771760093
11.0,-0.6197018840271062,-0.8056259786991036,-2.309804632545206,-0.18703346991903258,-1.251950612951819,-0.3080673359683703,-1.3029391992394719,0.9465972354325343,-1.709087108653193,0.8079643459028716
13.0,-1.4949746395124401,-2.0523241367805207,-1.7228843398398734,-0.8142440814013006,-1.671425797725422,0.0919859036381745,-2.7285614305966304,-0.0708664725605912,-1.692611024086965,0.31695276382506354
14.0,-0.7548879380157478,-1.098056489606861,-1.0671528668515369,-0.40622429041947816,-2.4137875259797887,-0.9880771962253987,-2.0912173437291597,-0.27350682222145606,-2.5871074985870326,0.770803835947844
15.0,-0.9464639022159502,-0.9518854231661942,-1.114717358869416,-1.271523569129122,-1.958954487549539,-1.7978459050165159,-2.2012579930475686,0.28132117781129895,-2.5667997215964657,1.1388247504186797
16.0,-1.0194558041761947,-0.8732553141988406,-1.0085946193624977,-0.9080137347406767,-1.6149765984415159,-0.7463782601112157,-2.1246487654655217,0.6765497710264654,-2.110357717062021,1.2664528020961623
17.0,-0.6732346452817497,-0.8103099180154736,-0.6951848984282254,-1.091282602337556,-1.3253794897995728,-0.4438695001539821,-1.93736857045704,0.9516315597281888,-1.905274760588954,1.0647559901105417
18.0,-1.304866001359767,-1.773232516440662,-0.9670302652292353,-1.5324960451756127,-1.6686207847708157,-0.019128015102578333,-2.196003224944123,0.040816791080797055,-1.8162889943325262,0.5846299529603776
19.0,-0.7923610800099765,-1.5187233677259582,-0.5193376280454594,-1.478705761908715,-1.3654677525757282,-1.22797113472931,-1.8816868942780363,1.462717080783025,-1.7746663101324969,1.1444363055782463
20.0,-0.711121329184504,-1.189703385823441,-0.3311090394611913,-1.7090358493666908,-1.1250657743007046,-0.783319548383675,-1.397164929127496,1.6080488364532124,-1.8366057711054085,1.4822332759596546
21.0,-0.5873710513150878,-0.788692019012732,-0.5858378353484426,-1.284409119024747,-0.9958255388399149,-0.7643792144487946,-1.4593198727461751,1.2137162018119032,-1.7109701191489575,1.3087413462323394
22.0,-0.5993355557378179,-0.5999320568266207,-0.2058227382900144,-1.5163485410617303,-0.6325656652021587,-0.6727924219113306,-1.192725064949414,1.668958741313699,-1.8164571418241842,1.7430953501828506
23.0,-0.6785829852727439,-0.7218954287268669,-0.3781517620376671,-1.4486423482632405,-0.7420070991737653,-0.5127475551429574,-1.4023464594019193,1.4546755077631621,-1.807024327537348,1.2057406547785428
24.0,-1.0795002698866436,-0.5258737437324434,-0.7883416723810432,-1.3097628657349492,-0.7501340568129078,-0.5602826776214371,-0.9665332676055609,1.2542168773731561,-1.9169685390675912,1.4324740985878957
25.0,-0.526914497658272,-0.643002845153148,-0.1723859775996286,-0.952564690228265,-0.7113335323903529,-0.558465890112962,-1.3682061862774013,0.7207420083936034,-2.061217266955575,1.6451790429878752
26.0,-0.8071159954851588,-0.7533025922724281,-0.08895136444588658,-1.130199992944247,-0.4880951707997436,-1.0701781593189175,-1.2119520278424258,1.0822497063371128,-1.9255950854780584,1.6606576303241525
27.0,-0.6644776588532575,-0.977816742084193,-0.06708992981668427,-0.6920361232384442,-0.6268816555927854,-0.9996749950146295,-2.364131281762324,0.6516523128718097,-2.351112183256933,1.1693769804650236
