Time,Phocaeicola_A_858004,Anaerostipes,Faecalibacterium,Faecalibacillus,Mediterraneibacter_A_155507,Butyrivibrio_A_180067,Bacteroides_H,Paramuribaculum,unknown_Genus_39,unknown_Genus_59
0.0,0.12228479272523862,-4.14495868234028,-1.3129528643807293,-3.3852941584870706,-4.043018812300426,-1.4575442920987487,-1.232821771481011,-2.324826560015825,-5.779082043988202,-5.779082043988202
1.0,0.38539294385568523,-4.737951268989651,-0.8581702713520076,-4.023483277525056,-4.146819432830596,-1.5932268758061083,-0.6104731102392669,-2.434507931307456,-5.579513390906999,-5.579513390906999
2.0,1.0069284966061727,-4.751468802885297,-0.863810219050869,-3.976298867768548,-4.194624273239064,-0.9038695151774156,-0.24701613462122807,-1.7114164692068008,-5.18972057577502,-5.18972057577502
3.0,0.7273197937404614,-4.045315371588695,-0.6745336712224084,-3.2556479198873687,-4.203919993849705,-0.8790552836624472,-0.7880932906419649,-1.9428106404061218,-5.367064684941116,-5.367064684941116
4.0,1.0261209944223006,-4.935059294715176,-1.7718272353294369,-4.462610312129792,-4.385015911022435,-0.21817928410195675,-0.43199388181055465,-1.6663175066362061,-5.178003553732903,-5.178003553732903
5.0,0.17710905425402612,-4.720555275010666,-1.3566982942430483,-3.918149300554862,-3.85043121929248,-1.5918831711104486,-1.0624769254800541,-2.194190312295382,-5.7555117982710176,-5.701971495320008
6.0,1.0909264763878954,-5.068977585745975,-1.2964707996554403,-4.289538727258087,-4.041511302307616,-1.2181984542306679,-0.41768519453530795,-1.8952321570693043,-5.221697412258984,-5.221697412258984
7.0,0.9338337805477076,-4.811260326234246,-1.2251517747398777,-4.274958000601332,-4.964335365143793,-0.5564772263330069,-0.42409134555628003,-1.895764380942352,-5.249512099123969,-5.249512099123969
8.0,0.6952720389598577,-4.502989330716574,-0.31253605128949924,-3.440338544046719,-4.157414427951833,-0.9730680162411831,-0.5622046780403585,-1.9477698066506108,-5.320559119043244,-5.320559119043244
9.0,0.6558901745329131,-4.9660149228514365,-1.1466111020692507,-4.432135669546016,-4.845321267005885,-2.5360444378670977,-0.6043895092886131,-1.8098261970887004,-5.505424292999839,-5.505424292999839
10.0,0.19694837539330168,-3.7941570035107564,-0.5328547453478014,-3.319715650515052,-3.6390732382003117,-3.2617793549618614,-1.3059285742995859,-2.715348195297125,-5.723494528395351,-5.723494528395351
11.0,0.4379375398120612,-3.973852670871739,-0.056954128949690874,-3.025344424803056,-4.04966377570368,-4.390440346650442,-0.8143154661372614,-2.111456347227441,-5.482357733780081,-5.482357733780081
12.0,0.5552621660391674,-3.5252545393570793,-0.363343972290626,-3.045486914304105,-3.9041137131882397,-4.370732189239434,-1.0682663747076615,-2.083368194432869,-5.51654000931613,-5.51654000931613
13.0,0.5615427783866427,-3.893559346763663,-0.24361007622555308,-3.1116246733804633,-4.005224304095272,-1.2556479022287763,-1.0897157608766381,-2.2764682310951283,-5.437918262171673,-5.437918262171673
14.0,1.0695325135697975,-4.865983743677194,-1.0471385598337626,-4.35783966264827,-4.728697633570583,-2.1183754361630456,-0.6225237177181862,-1.6243643444121993,-5.268107003718986,-5.268107003718986
15.0,0.4766058488942577,-4.133283682721922,-0.7494079665135807,-3.9260808468982846,-4.159197917149934,-1.7133309619623989,-1.187684549331996,-2.259517391724593,-5.591891875226335,-5.591891875226335
16.0,0.6447312374512056,-3.6787762406817945,-0.8351413533738545,-3.944368321555272,-4.437648380062497,-1.5363691965204398,-0.5220118945366903,-2.5844148565213603,-5.452873384463614,-5.452873384463614
17.0,-0.2369141836437496,-4.369564807435753,-0.801900862166532,-3.1004033081179747,-4.032050892930599,-3.489588738729398,-1.3678045466435618,-3.249632466350655,-5.937131471909135,-5.937131471909135
18.0,0.6084210163957474,-4.242089988483189,-0.09847869092082084,-3.5331710473305615,-4.413343710037248,-0.9723243077393238,-1.164509388009297,-2.5608884615710905,-5.3878978085598845,-5.3878978085598845
19.0,0.23059781570751658,-3.852057205261943,-0.25550192393856763,-3.1978261658724128,-4.142286541406861,-1.8930274907679727,-1.3134195872675851,-2.697104633036819,-5.626154349043763,-5.626154349043763
20.0,-0.018463621547356812,-3.659442683193962,-0.3937820080925998,-3.1265591190106585,-3.9356126203712547,-4.088024282856685,-1.1857719523472887,-2.700562537052341,-5.764178592479472,-5.764178592479472
21.0,0.9822179583687641,-3.7181710569809434,-0.3825005942412729,-3.9620187444469774,-4.373778516213758,-4.397208679183983,-0.2504240389864525,-2.280748832594243,-5.23877080110133,-5.23877080110133
22.0,0.39640654024036526,-4.434812727678298,-0.5825356747721884,-3.7888806551004848,-3.9840061588434637,-3.492332540876271,-0.6112878060344265,-1.818081206089235,-5.562977798882305,-5.562977798882305
23.0,-0.4115316758542681,-2.770203788594733,-1.3906747510821087,-3.5599122462391857,-2.23406147834166,-6.012201478751405,-1.5241920774727369,-2.1566517219249413,-6.012201478751405,-5.813352224911295
24.0,0.3997739381420513,-4.23970234655485,-0.45545266650927174,-3.173667831367975,-3.510802201447191,-5.332830319454931,-0.3816680677759017,-2.8823266393045075,-5.531679573295042,-5.531679573295042
25.0,0.2006457169434821,-4.536284188440306,-0.4999158405562214,-3.6722786549158855,-3.7810068397859125,-3.854311812748536,-0.34715057774495817,-3.1385197168821044,-5.609572811894129,-5.609572811894129
26.0,0.5559046183629163,-4.769840767996848,-0.8472212477211098,-4.230689802539638,-4.16613776687376,-1.665540864459923,-0.1697469927129034,-2.184961557624801,-5.435167279990157,-5.435167279990157
27.0,0.9152292433704925,-4.97381906150618,-1.8749531708223923,-4.97381906150618,-4.752181731646929,-0.9236765472136823,-0.082544226410737,-1.5882889853820998,-5.258995795486356,-5.258995795486356
28.0,0.9858252069869269,-4.426081929797432,-0.5780865071387453,-4.224239726852429,-4.558759657523583,-1.14065783233432,-0.37153137884970167,-2.0496643762605196,-5.217309494840361,-5.1639366481053255
29.0,0.9442527743416259,-4.1201913532203065,-0.06540264425862174,-3.828875843553466,-4.406794302506966,-1.5609867735628142,-0.8248368195583959,-3.12371037656251,-5.248356424424313,-5.095636597911303
30.0,0.9707493780100573,-4.210438812725311,-0.08991822051470377,-3.8548745260481216,-4.4125474725507985,-1.5821366138503654,-0.5380094614179138,-2.4251726006019925,-5.2055351152612666,-5.101175981911554
31.0,0.37316849344951186,-5.136684172030962,-1.392665584977788,-4.7099436600331135,-4.4467708737166785,-2.8762712066683633,-0.36638803686156574,-1.1707286190263453,-5.574935944920685,-5.376086691080575
32.0,-0.5896487477169999,-4.423136104983733,-0.7480409724524734,-3.395757391632812,-3.713389787917513,-3.1821685565362614,-0.9989527009565836,-2.524291383767469,-5.9556859953658385,-5.6705092613856625
33.0,0.05762000899993014,-3.745963909557548,-0.3198026383429935,-3.409891149666211,-3.8426715874146717,-5.429289499605516,-0.9960654724801072,-2.8617470409970593,-5.714466233585692,-5.714466233585692
34.0,0.7101678920642162,-4.6817646293383195,-0.39060637527199504,-3.8646079805593256,-4.34285164008984,-5.111981136961256,-0.4458568799305678,-2.0846181460042263,-5.397157870941432,-5.397157870941432
35.0,0.9351829016856824,-4.576427589958425,-0.3862381533322228,-4.014858862641493,-4.576427589958425,-2.652683177121724,0.14952389474252592,-1.9958002439021538,-5.178003553732904,-5.178003553732904
36.0,0.25420606010446045,-4.298131961342545,-0.640859371840748,-3.7542208167241236,-4.138179084073494,-3.8058754196124327,-0.5541023298355585,-2.2730334713245735,-5.6344413917206495,-5.6344413917206495
37.0,0.7075418337504868,-4.781149748894842,-1.2805914926438398,-4.660456093049291,-4.6051658774401325,-5.077614860025516,0.23861252016781198,-1.2942345086254616,-5.320559119043244,-5.2161999856935335
