Time,Phocaeicola_A_858004,Faecalibacterium,Gemmiger_A_73129,Anaerostipes,Fusicatenibacter,Blautia_A_141781,Faecalibacillus,Bacteroides_H,Agathobaculum,unknown_Genus_79
0.0,0.13041697378183614,0.456125430351245,-1.8863634266681348,-1.7380581922272986,-2.3950315972089267,-1.7926623111809392,-1.8211247676509728,-0.4377877492006621,-1.6280887767798844,-4.698777520355328
1.0,0.16819483463355134,0.4776803229671205,-1.0921958210297924,-0.9570780129235463,-1.8286978290311287,-1.3217556920524482,-1.1845197270797607,-0.447354807413316,-1.8688145082974943,-4.782962522548935
2.0,0.3930044010435916,0.5327402003547699,-0.9983697126454967,-1.1509103849178328,-1.9316355878983313,-1.4474119229266393,-1.4080299786625479,-0.4376078446036069,-1.5151111287995516,-4.858660782810377
3.0,0.5983093649599571,0.7466646188543471,-1.0606974988263487,-1.2965020530167168,-2.049546079461672,-1.3006876622380974,-2.0061543942729614,-0.41498338179164374,-1.6075471316705772,-4.817301460726851
4.0,0.7166209023272496,0.9112727635061595,-1.1442189623912715,-1.3679430134416717,-2.161494315319687,-1.1753425336683136,-2.938650727433072,-0.44609300661267914,-1.788548154947775,-4.754433224948206
5.0,0.38769058309701654,0.5274194493436943,-0.8300879213585226,-1.304517580736872,-2.486488023575622,-1.8051550437456738,-2.4132440257857626,-0.8913842727592027,-2.095286706500161,-4.833205096276315
6.0,0.9848969360973872,0.08414445326441444,-1.2820066624506243,-1.9517250561264785,-3.7706254417814185,-2.579044696996739,-1.9541423731364012,-0.2646112993496825,-3.1807371158754183,-5.024059201927625
7.0,0.7393473716339238,0.26521026247787227,-1.3776050780633293,-1.260150527862219,-3.0825985193091077,-2.2576158265652113,-1.2469874358117983,-0.28868673044128745,-2.4242650171760376,-4.8384202049046925
8.0,0.22356656256111052,0.6224989486522523,-1.094850908186423,-0.5132084289600667,-2.1505328413643174,-1.722607672524389,-0.7764511144940314,-0.43607560122415556,-1.8436580745821627,-4.54587096752903
9.0,-0.18915112751678365,0.5878663457024063,-0.9790516956827551,-0.3641634357579999,-1.8951131023727505,-1.4129888176255694,-1.0468340819660509,-1.8539704398696903,-1.9714557510761268,-5.1604822007562765
10.0,0.841601109868622,1.0274484382801703,-0.9627828986457914,-0.37009585388161614,-2.631028429433029,-1.8223124417349044,-0.8786979067471377,0.001968328294808863,-2.134483827322439,-4.715449719628069
11.0,0.554539345858428,0.6826377778096848,-1.3268840193791867,-1.128080029641717,-3.1492273262461685,-2.157316037647597,-1.4579330234656533,0.10766229145764306,-2.6302428888179508,-4.6131529041904455
12.0,0.3726642303330354,0.44956487808900736,-1.6031169591177852,-1.6290007503020902,-3.253750896790265,-2.018869865395096,-2.0261570759643965,0.06320811812393812,-2.92367507112457,-4.5110593862245665
13.0,0.020193939473279077,0.6762817394027985,-1.0728493904023695,-0.38796782931991713,-2.026961691905055,-1.3256576730760494,-0.9728363656263321,-0.3647321059029134,-1.3298553504893278,-4.756216717026387
14.0,0.6020457109432955,0.24528644666930788,-1.5860859887640095,-1.252309134709546,-2.9534412280512288,-1.97404100538232,-1.4575546363002951,-0.6566376837679133,-1.9967598593395777,-5.172093154063987
15.0,0.032323579406750014,0.3257886167515447,-2.125922967586459,-1.1122590839655353,-3.1884214099468764,-2.027188159120712,-1.795326463281485,-1.0439418255577255,-3.2848463166874637,-5.38285643600378
16.0,0.31233168263323696,0.23620743790098286,-1.6772752944112255,-1.5435831863206002,-3.3776021939594583,-1.8671128264130603,-1.9669598568052553,-0.1150628105649778,-2.44516790139618,-5.079609128675772
17.0,0.4747835987036775,0.2900305128130203,-1.2645960557394957,-1.2727197471467,-2.5629333124728246,-1.2406135974989123,-0.6609757487296468,-0.7860392890545609,-2.4210650353437773,-5.127104928337119
18.0,0.3717803614088082,0.5864263148739728,-0.6660595155065792,-0.8900062952471746,-2.903090671325306,-1.6547161769931484,-1.9676881108638262,-0.5719730861078702,-2.2884271525272837,-4.7532725558771665
19.0,0.3932276030214643,0.8385408344012528,-0.6856467111548579,-0.5810040779328958,-2.6970259197922406,-1.5051223165847412,-1.747292538788209,-0.33643505312957966,-2.299795577951464,-4.790130282950617
20.0,0.4721158381147419,1.0587836899419185,-0.8889937474727638,-0.36233338451695696,-2.3885362743431346,-1.275855424882201,-1.3779532667676437,-0.10967629758393072,-2.312735961347298,-4.802207311302638
21.0,1.093703396901534,0.5450022630110589,-1.4292948708119604,-1.329157346252551,-2.087048322622129,-0.9072376430469777,-0.5690063918555399,-1.0335054231717007,-2.2155796283451354,-4.857125572327352
22.0,0.79084426371332,0.6011193805057009,-1.1611277512626361,-0.4350201928906441,-1.9139885048220657,-0.8426206341611651,-1.1045574112851155,-1.6670661196668988,-1.2907530891508725,-4.857670895921788
23.0,0.3055908624479615,0.485358320724536,-1.2792670851869357,-1.5259724159471149,-2.335802972602414,-1.6412664277657956,-0.40362836929595725,-1.102115756221096,-1.56137805026137,-5.0660302313830075
24.0,0.3004027533368352,0.4637908518216851,-1.1244408161358836,-0.8012739159712683,-1.7775227965232214,-1.1747160908378866,-0.5313171008079243,0.15314114085281205,-2.142257666281469,-4.899315788296622
25.0,0.5141227741106602,0.8148270408720462,-0.6125982864360116,-1.8933110164617122,-1.9168982686565537,-1.0051202968744133,-0.4632219599958818,-0.020837024433844498,-1.488994627381504,-4.2295649193849965
26.0,-2.416667238615154,1.4439352256483584,-0.18207699505967767,0.21185000042364832,-0.6686856601836308,-0.2928927813474096,-0.2197608942120084,-4.433564494441008,-0.32650471846239437,-4.586284320954018
27.0,0.3774717665669094,0.3948125399955482,-0.8480910706674742,-1.585607817339401,-2.1782842585192563,-1.0265730288459074,-1.7445122816464917,-0.5458464610597935,-1.9403349888593011,-4.799120189707969
28.0,-0.44293540533242615,1.0749317422262268,-0.6274714412658593,-0.7866547437265385,-1.1083743188271602,0.18663891835057922,-0.6721838455170235,-1.1715370772822422,-1.4315068807119187,-4.147958359526916
29.0,0.5746873282208182,-0.021681617373969786,-1.792902834177424,-0.9148964690681634,-1.9282821770659313,-1.182115086658338,0.45942967880696073,-1.3010773915930762,-2.714152797745335,-3.3680003798361646
30.0,0.3944844492853361,0.2340652248429984,-1.0528362834877507,-0.011927786238481675,-1.6848907715299521,-1.236562893320584,-0.5082701944367449,-1.9520037815869795,-1.5013371981543795,-4.370816129551101
31.0,0.4686355765780168,0.631070108073458,-0.9346803440702534,-0.19699855874635208,-1.7490497310646176,-0.9118620846387531,-0.18354330892784176,-1.6804014749484293,-1.5997094744618097,-4.529414796500221
32.0,0.9486278572246669,1.1759755862050647,-0.7515056888512466,-0.8090804432670335,-1.4815937951159341,-0.42277171673150393,0.1920093596206196,-0.9021794160367227,-1.6760119997879888,-4.320092193538496
33.0,0.6075603483702157,0.9598234596282065,-0.8020945507803496,-0.3882735279142202,-1.5628079523950822,-0.7141308490871303,-0.38339438815752613,-0.7426009303895418,-1.6853565954915695,-4.700558172535526
34.0,0.6662283558234312,0.8082896562914703,-1.0673909377368593,-0.8432327161929916,-1.7763745045280355,-0.39654780238108556,-1.208513453638493,0.11027794568706906,-2.4215734664768673,-4.5910889795413885
35.0,0.7558685853215035,0.8006282904850519,-1.138671329681984,-1.268502393991172,-1.661581168465879,-0.6212020661110031,-1.4357856100131605,-0.16138432954361237,-2.2796128624323346,-4.739425344946917
36.0,0.9505887506262618,0.8628143814262736,-1.1235387384857591,-1.4665051176933046,-1.571828202221767,-1.0599187818936389,-1.5989311502503716,-1.0164956764849924,-2.0148249134750134,-4.659130952929708
37.0,0.307085182477401,0.2391249302559595,-1.7849638570090791,-1.3765245775811725,-2.357390855440673,-1.773897348982243,-0.9956793024409216,-0.4952452356184507,-1.0118130401210261,-4.889409268477175
