"STUDY_ID","REALM","CLIMATE","TAXA","TITLE","AB_BIO","DATA_POINTS","START_YEAR","END_YEAR","NUMBER_OF_SPECIES","NUMBER_OF_SAMPLES","NUMBER_LAT_LONG","TOTAL","ABUNDANCE_TYPE","BIOMASS_TYPE"
10,"Terrestrial","Temperate","Terrestrial plants","Windstorm disturbance without patch dynamics twelve years of change in a Minnesota forest","A",3,1984,1996,25,191,1,1406,"Count",NA
18,"Terrestrial","Temperate","Terrestrial plants","Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions","A",29,1923,1973,98,542,1,8034,"Count",NA
33,"Marine","Temperate","Marine plants","Long-term phytoplankton community dynamics in the Western English Channel","A",18,1992,2009,170,1,1,17841,"Count",NA
39,"Terrestrial","Temperate","Birds","Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook","A",45,1970,2015,52,45,1,959,"Density",NA
41,"Terrestrial","Temperate","Birds","Time and space and the variation of species","A",10,1923,1940,56,10,1,418,"Count",NA
45,"Marine","Tropical","Fish","MCR LTER Coral Reef Long-term Population and Community Dynamics Fishes","AB",10,2006,2015,338,1105,1,47282,"Count","Size"
46,"Terrestrial","Temperate","Birds","Skokholm Bird Observatory","A",47,1928,1979,29,47,1,528,"Count",NA
47,"Terrestrial","Temperate","Birds","Detection of Density-Dependent Effects in Annual Duck Censuses","A",26,1952,1977,13,35,2,392,"Count",NA
51,"Terrestrial","Temperate","Birds","Fluctuations and long-term in the relative densities of tetraonid populations in Finland. 1964-77","A",14,1964,1977,4,1,1,56,"MeanCount",NA
52,"Terrestrial","Polar","Mammals","A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest Lapland over 13 winters","A",13,1968,1980,3,5,1,144,"MeanCount",NA
53,"Terrestrial","Temperate","Mammals","An 11-year study of small mammal populations at Mont St. Hilaire. Quebec","A",10,1966,1976,5,1,1,44,"MeanCount",NA
54,"Terrestrial","Tropical","Terrestrial invertebrates","El Verde Grid invertebrate data (Big Grid Snail Captures 1991-2007)","A",24,1991,2014,19,798,1,21702,"Count",NA
56,"Terrestrial","Temperate","Mammals","Small Mammal Mark-Recapture Population Dynamics at Core Research Sites","AB",20,1989,2008,28,8026,1,16657,"Count","Weight"
57,"Freshwater","Temperate","Fish","North Temperate Lakes LTER Fish Abundance","A",32,1981,2012,76,258,1,10892,"Count",NA
