"Time","Erithacus","Parus","Phylloscopus","Sylvia","Troglodytes","Turdus","Fringilla","other","Luscinia","Acrocephalus","Sturnus"
1953,6,5,23,32,1,7,17,16,9,0,0
1954,2,6,22,26,2,7,19,15,13,0,0
1955,0,11,20,27,1,6,14,17,7,0,0
1956,3,9,20,28,0,7,10,19,17,0,0
1957,8,15,23,31,0,9,14,17,14,1,0
1958,9,11,23,26,1,7,12,16,15,1,0
1959,8,13,17,20,0,8,12,14,16,2,0
1960,11,16,18,25,0,8,13,22,14,2,0
1961,9,19,13,29,2,10,17,27,13,1,0
1962,8,14,14,19,2,11,17,24,10,1,1
1963,5,11,17,22,0,7,18,18,10,2,0
1964,8,10,15,17,1,10,22,23,13,2,0
1965,7,20,15,24,1,12,17,28,13,2,0
1966,3,13,7,14,3,11,17,18,11,1,6
1967,4,15,13,18,6,12,21,19,11,1,5
1968,5,17,14,20,7,16,20,23,11,4,8
1969,7,19,14,23,7,15,27,22,11,5,8
1970,1,16,14,24,8,11,20,14,9,6,4
1971,1,20,11,21,7,8,17,10,8,3,6
1972,1,19,13,19,0,8,16,10,13,5,3
1973,3,13,7,14,3,11,17,18,11,1,6
1974,4,15,13,18,6,12,21,19,11,1,5
1975,5,17,14,20,7,16,20,23,11,4,8
1976,7,19,14,23,7,15,27,22,11,5,8
1977,1,16,14,24,8,11,20,14,9,6,4
1978,1,20,11,21,7,8,17,10,8,3,6
1979,1,19,13,19,0,8,16,10,13,5,3
1980,4,23,18,19,0,11,25,23,16,2,8
1981,4,16,10,25,0,8,25,17,9,10,8
1982,3,7,12,23,0,9,22,15,9,8,5
1983,4,18,13,25,3,12,27,27,9,7,10
1984,5,13,12,20,3,10,19,12,6,9,4
1985,1,16,16,20,0,10,21,15,10,8,3
1986,0,22,16,20,0,12,26,18,8,12,3
1987,2,15,12,30,0,8,20,16,9,8,0
1988,2,12,10,26,0,11,19,20,13,8,1
1989,6,10,7,23,2,13,22,17,14,10,1
1990,5,14,6,23,9,15,27,16,16,6,1
1991,10,25,13,15,11,13,23,12,6,3,1
1992,6,20,5,25,9,9,23,7,9,0,3
1993,8,19,7,18,10,10,23,17,8,0,4
1994,5,20,10,25,8,13,28,13,7,3,5
1995,4,23,12,19,7,10,19,25,5,6,7
1996,3,26,14,29,4,11,24,26,8,5,7
1997,4,21,14,31,5,12,28,23,9,5,8
1998,7,18,13,29,7,14,18,20,11,2,5
1999,6,23,13,29,9,10,17,23,5,3,12
2000,6,20,15,26,13,11,21,27,7,4,1
2001,5,27,9,28,7,16,28,36,5,1,2
2002,3,25,9,28,7,17,25,34,2,3,1
2003,4,26,8,22,8,17,24,31,3,1,2
2004,7,28,18,31,9,16,27,40,2,0,4
2005,6,32,13,34,11,15,27,32,1,1,5
2006,4,28,12,30,7,12,20,24,5,5,5
2007,5,22,14,28,6,8,22,16,7,5,2
2008,6,26,13,33,8,12,18,23,7,4,8
2009,9,31,17,16,11,9,20,19,3,1,3
