"Time","Acrocephalus","Anthus","Carduelis","Emberiza","Erithacus","Ficedula","Fringilla","Hippolais","Luscinia","Parus","Phylloscopus","Prunella","Sturnus","Sylvia","Troglodytes","Turdus","other"
1953,0,5,1,1,6,2,17,3,9,5,23,3,0,32,1,7,1
1954,0,7,0,0,2,0,19,3,13,6,22,4,0,26,2,7,1
1955,0,6,2,4,0,0,14,4,7,11,20,0,0,27,1,6,1
1956,0,10,1,4,3,0,10,3,17,9,20,0,0,28,0,7,1
1957,1,7,0,3,8,1,14,3,14,15,23,2,0,31,0,9,1
1958,1,6,1,2,9,3,12,1,15,11,23,3,0,26,1,7,0
1959,2,7,1,0,8,4,12,0,16,13,17,2,0,20,0,8,0
1960,2,9,2,0,11,5,13,2,14,16,18,3,0,25,0,8,1
1961,1,10,5,0,9,8,17,1,13,19,13,2,0,29,2,10,1
1962,1,7,4,0,8,5,17,4,10,14,14,3,1,19,2,11,1
1963,2,6,1,0,5,4,18,3,10,11,17,3,0,22,0,7,1
1964,2,8,5,0,8,5,22,1,13,10,15,4,0,17,1,10,0
1965,2,5,5,0,7,5,17,5,13,20,15,5,0,24,1,12,3
1966,1,3,4,0,3,2,17,3,11,13,7,3,6,14,3,11,3
1967,1,2,5,0,4,1,21,3,11,15,13,3,5,18,6,12,5
1968,4,3,4,0,5,1,20,5,11,17,14,3,8,20,7,16,7
1969,5,6,3,0,7,0,27,4,11,19,14,3,8,23,7,15,6
1970,6,5,2,0,1,0,20,2,9,16,14,1,4,24,8,11,4
1971,3,4,0,0,1,2,17,1,8,20,11,0,6,21,7,8,3
1972,5,5,0,0,1,2,16,2,13,19,13,1,3,19,0,8,0
1973,1,3,4,0,3,2,17,3,11,13,7,3,6,14,3,11,3
1974,1,2,5,0,4,1,21,3,11,15,13,3,5,18,6,12,5
1975,4,3,4,0,5,1,20,5,11,17,14,3,8,20,7,16,7
1976,5,6,3,0,7,0,27,4,11,19,14,3,8,23,7,15,6
1977,6,5,2,0,1,0,20,2,9,16,14,1,4,24,8,11,4
1978,3,4,0,0,1,2,17,1,8,20,11,0,6,21,7,8,3
1979,5,5,0,0,1,2,16,2,13,19,13,1,3,19,0,8,0
1980,2,7,2,0,4,4,25,4,16,23,18,4,8,19,0,11,2
1981,10,3,0,0,4,2,25,5,9,16,10,5,8,25,0,8,2
1982,8,2,0,0,3,3,22,2,9,7,12,6,5,23,0,9,2
1983,7,6,2,0,4,4,27,4,9,18,13,6,10,25,3,12,5
1984,9,3,2,0,5,2,19,3,6,13,12,2,4,20,3,10,0
1985,8,5,0,0,1,4,21,4,10,16,16,2,3,20,0,10,0
1986,12,7,2,0,0,3,26,4,8,22,16,1,3,20,0,12,1
1987,8,3,0,0,2,2,20,4,9,15,12,2,0,30,0,8,5
1988,8,4,1,1,2,3,19,8,13,12,10,2,1,26,0,11,1
1989,10,3,0,1,6,1,22,8,14,10,7,2,1,23,2,13,2
1990,6,0,4,0,5,1,27,5,16,14,6,4,1,23,9,15,2
1991,3,0,0,0,10,0,23,2,6,25,13,7,1,15,11,13,3
1992,0,0,0,0,6,3,23,2,9,20,5,1,3,25,9,9,1
1993,0,0,0,1,8,2,23,3,8,19,7,2,4,18,10,10,9
1994,3,0,1,1,5,1,28,5,7,20,10,3,5,25,8,13,2
1995,6,0,6,1,4,1,19,7,5,23,12,7,7,19,7,10,3
1996,5,0,4,4,3,2,24,9,8,26,14,2,7,29,4,11,5
1997,5,0,4,3,4,1,28,4,9,21,14,5,8,31,5,12,6
1998,2,0,2,1,7,2,18,2,11,18,13,7,5,29,7,14,6
1999,3,0,2,7,6,0,17,6,5,23,13,3,12,29,9,10,5
2000,4,0,5,5,6,2,21,3,7,20,15,8,1,26,13,11,4
2001,1,3,5,6,5,0,28,7,5,27,9,6,2,28,7,16,9
2002,3,0,8,6,3,0,25,8,2,25,9,2,1,28,7,17,10
2003,1,0,9,6,4,0,24,6,3,26,8,3,2,22,8,17,7
2004,0,1,6,12,7,1,27,7,2,28,18,7,4,31,9,16,6
2005,1,0,3,9,6,1,27,3,1,32,13,7,5,34,11,15,9
2006,5,0,0,8,4,1,20,1,5,28,12,5,5,30,7,12,9
2007,5,0,1,4,5,1,22,0,7,22,14,2,2,28,6,8,8
2008,4,0,0,6,6,1,18,2,7,26,13,4,8,33,8,12,10
2009,1,0,2,5,9,0,20,1,3,31,17,3,3,16,11,9,8
