"Time","Acrocephalus palustris","Anthus trivialis","Emberiza citrinella","Erithacus rubecula","Ficedula hypoleuca","Fringilla coelebs","Hippolais icterina","Luscinia luscinia","Parus caeruleus","Parus major","Phylloscopus collybita","Phylloscopus trochilus","Prunella modularis","Sturnus vulgaris","Sylvia atricapilla","Sylvia borin","Sylvia communis","Troglodytes troglodytes","Turdus merula","other"
1953,0,5,0,6,2,17,3,9,1,2,0,23,3,0,9,16,6,1,7,6
1954,0,7,0,2,0,19,3,13,3,2,0,22,4,0,6,14,5,2,7,3
1955,0,6,0,0,0,14,4,7,4,3,0,20,0,0,4,16,7,1,5,12
1956,0,10,0,3,0,10,3,17,1,4,0,20,0,0,3,18,7,0,7,10
1957,1,7,0,8,1,14,3,14,3,7,0,23,2,0,4,19,8,0,9,9
1958,1,6,0,9,3,12,1,15,3,7,0,23,3,0,6,14,6,1,7,4
1959,2,7,0,8,4,12,0,16,2,8,0,17,2,0,4,13,3,0,7,5
1960,2,9,0,11,5,13,2,14,4,10,0,18,3,0,5,14,6,0,7,6
1961,1,10,0,9,8,17,1,13,5,11,0,13,2,0,5,16,7,2,8,12
1962,1,7,0,8,5,17,4,10,3,9,0,13,3,1,4,12,3,2,9,10
1963,2,6,0,5,4,18,3,10,3,6,0,17,3,0,2,13,7,0,6,5
1964,2,8,0,8,5,22,1,13,2,6,0,15,4,0,2,9,6,1,8,9
1965,2,5,0,7,5,17,5,13,4,12,0,13,5,0,4,15,5,1,9,17
1966,1,3,0,3,2,17,3,11,5,7,0,7,3,6,3,11,0,3,10,9
1967,1,2,0,4,1,21,3,11,3,10,0,13,3,5,3,13,2,6,12,12
1968,3,3,0,5,1,20,5,11,4,10,0,14,3,8,2,13,5,7,16,15
1969,5,6,0,7,0,27,4,11,5,12,0,14,3,8,3,17,3,7,15,11
1970,6,5,0,1,0,20,2,9,3,10,0,14,1,4,4,14,6,8,11,9
1971,3,4,0,1,2,17,1,8,5,12,0,11,0,6,2,14,4,7,8,7
1972,5,5,0,1,2,16,2,13,2,14,0,13,1,3,2,13,4,0,8,3
1973,1,3,0,3,2,17,3,11,5,7,0,7,3,6,3,11,0,3,10,9
1974,1,2,0,4,1,21,3,11,3,10,0,13,3,5,3,13,2,6,12,12
1975,3,3,0,5,1,20,5,11,4,10,0,14,3,8,2,13,5,7,16,15
1976,5,6,0,7,0,27,4,11,5,12,0,14,3,8,3,17,3,7,15,11
1977,6,5,0,1,0,20,2,9,3,10,0,14,1,4,4,14,6,8,11,9
1978,3,4,0,1,2,17,1,8,5,12,0,11,0,6,2,14,4,7,8,7
1979,5,5,0,1,2,16,2,13,2,14,0,13,1,3,2,13,4,0,8,3
1980,2,7,0,4,4,25,4,16,6,14,0,18,4,8,2,14,3,0,11,7
1981,10,3,0,4,2,25,5,9,5,10,0,10,5,8,3,16,6,0,8,3
1982,8,2,0,3,3,22,2,9,2,4,0,12,6,5,4,18,1,0,9,3
1983,7,6,0,4,4,27,4,9,4,12,0,13,6,10,4,18,3,3,12,9
1984,9,3,0,5,2,19,3,6,3,8,0,12,2,4,4,14,2,3,10,4
1985,8,5,0,1,4,21,4,10,6,9,0,16,2,3,5,11,4,0,10,1
1986,12,7,0,0,3,26,4,8,6,15,0,16,1,3,4,16,0,0,12,4
1987,8,3,0,2,2,20,4,9,6,8,0,12,2,0,7,18,5,0,7,7
1988,8,4,1,2,3,19,8,13,3,7,0,10,2,1,7,12,6,0,8,8
1989,10,3,1,6,1,22,8,14,3,7,0,7,2,1,9,11,3,2,9,6
1990,6,0,0,5,1,27,5,16,4,9,0,6,4,1,8,13,2,9,10,12
1991,3,0,0,10,0,23,2,6,11,13,0,13,7,1,9,5,1,11,11,6
1992,0,0,0,6,3,23,2,9,5,14,0,5,1,3,13,9,3,9,7,4
1993,0,0,1,8,2,23,3,8,7,11,0,7,2,4,7,8,3,10,8,12
1994,3,0,1,5,1,28,5,7,7,12,0,10,3,5,11,10,4,8,9,8
1995,6,0,1,4,1,19,7,5,6,15,0,12,7,7,10,7,2,7,7,14
1996,5,0,4,3,2,24,9,8,10,14,1,13,2,7,14,8,6,4,9,14
1997,5,0,3,4,1,28,4,9,9,10,1,13,5,8,12,12,7,5,12,12
1998,2,0,1,7,2,18,2,11,6,11,1,12,7,5,10,9,8,7,14,11
1999,2,0,7,6,0,17,6,5,11,10,1,12,3,12,14,11,4,9,9,11
2000,4,0,5,6,2,21,3,7,8,10,0,15,8,1,15,8,3,13,10,12
2001,1,3,6,5,0,28,7,5,11,13,2,7,6,2,14,11,3,7,14,19
2002,2,0,6,3,0,25,8,2,11,11,0,9,2,1,13,10,5,7,13,26
2003,1,0,6,4,0,24,6,3,9,12,6,2,3,2,11,6,5,8,11,27
2004,0,1,12,7,1,27,7,2,12,13,9,9,7,4,12,11,7,9,13,19
2005,1,0,9,6,1,27,3,1,12,18,6,7,7,5,16,11,7,11,13,16
2006,5,0,8,4,1,20,1,5,12,13,3,9,5,5,15,10,5,7,12,12
2007,5,0,4,5,1,22,0,7,7,11,8,6,2,2,15,9,4,6,8,13
2008,4,0,6,6,1,18,2,7,11,12,9,4,4,8,17,8,7,8,11,15
2009,1,0,5,9,0,20,1,3,12,14,10,7,3,3,12,2,2,11,8,16
