"Time","Carduelis","Emberiza","other","Phylloscopus","Prunella","Anthus","Ficedula","Phoenicurus","Turdus","Fringilla","Luscinia"
1963,5.5,33.1,35.9,13.5,22.1,8.3,16.6,22.1,19.4,66.3,2.8
1964,11.3,31.7,18,21.5,33.9,22.6,20.4,15.8,27.2,43,6.8
1965,2.3,24.9,20.3,19.9,22.6,6.8,28.7,23.9,79.1,38.5,13.6
1966,5.7,34.5,22.9,11.5,21.1,5.7,13.8,6.9,44,53.7,13.4
1967,23,28.7,9.6,14.2,36.4,9.6,20.8,20.8,53.7,36.4,38.3
1968,90,21.1,15.3,15.1,21.1,3.8,10.4,6.9,116.9,63.2,21.1
1969,7.7,19.2,15.3,13,40.2,3.8,17.3,3.5,86.3,51.7,7.7
1970,23,13.4,3.8,17.8,19.2,3.8,10.4,6.9,105.4,32.6,3.8
1971,88.1,17.2,17.1,14.8,26.8,5.7,34.6,3.5,57.4,53.6,15.3
1972,19.3,17.7,14.4,15.4,16.1,4.8,15.4,10.3,89.9,64.3,14.5
1973,23.8,26.2,154.1,2.4,0,2.4,9.5,47.6,19,14.8,0
1974,26.2,23.8,21.4,15.5,35.7,4.8,12.9,16.2,78.5,24.3,47.6
1975,28.6,26.2,7.2,12.4,31,14.3,22.7,9.7,23.8,61.9,11.9
1976,9.5,19,14.3,10.7,33.3,11.9,12.9,12.9,19,38.1,23.8
1977,28.6,19,14.4,11.7,31,14.3,3.2,9.7,26.2,23.8,14.3
1978,2.4,14.3,14.4,8.6,35.7,9.5,9.7,19.4,80.9,33.4,23.8
1979,16.7,19,9.6,8.6,21.4,4.8,6.5,3.2,28.5,40.4,4.8
1980,50,19,19.2,7.4,14.3,2.4,3.2,9.7,64.3,81,2.4
1981,40.5,31,19.1,8.6,40.5,4.8,6.5,19.4,78.5,61.9,16.7
1982,11.9,21.4,9.6,12.6,31,7.1,6.5,16.2,40.5,59.5,19
1983,7.2,11.9,9.6,8.4,19.1,4.8,0,9.7,28.6,57.3,7.2
1984,9.6,11.9,16.8,10,19.1,7.2,12.9,3.2,28.6,100.3,7.2
1985,38.2,21.5,14.4,20.8,16.7,11.9,9.7,3.2,40.6,95.5,11.9
1986,14.3,21.5,23.9,14.6,14.3,2.4,12.9,3.2,21.5,83.6,7.2
1987,0,26.3,23.9,14.6,14.3,11.9,12.9,3.2,21.5,64.5,7.2
1988,14.3,31,23.9,24.3,28.6,14.3,12.9,9.7,85.9,83.6,19.1
1989,14.3,21.5,21.5,23.9,26.3,16.7,19.4,9.7,174.2,102.6,14.3
1990,4.8,28.6,16.7,17.9,23.8,14.3,16.2,6.5,71.5,45.3,9.5
1991,0,23.8,14.3,12.1,14.3,11.9,12.9,16.2,97.6,45.3,0
1992,23.8,9.5,14.3,16,14.3,4.8,6.5,12.9,42.9,61.9,4.8
1993,16.7,9.5,31.1,21.9,33.3,11.9,7.1,19,59.6,111.5,0
1994,23.8,14.3,11.9,21.4,42.9,14.3,7.1,11.9,50,95.2,7.1
1995,28.6,14.3,7.2,25.2,40.5,0,4.8,11.9,73.7,76.2,33.3
1996,28.6,19,21.5,15.7,35.7,11.9,4.8,9.5,76.2,64.3,14.3
1997,28.6,26.2,21.5,16.4,28.6,9.5,9.5,11.9,140.4,66.7,35.7
1998,50,14.3,21.5,15.7,28.6,9.5,4.8,7.1,92.8,78.6,14.3
1999,64.3,21.4,12,14,19,11.9,4.8,14.3,69.1,88.1,4.8
