"Time","Anthus","Carduelis","Emberiza","Erithacus","Ficedula","Fringilla","Hippolais","Luscinia","Muscicapa","Phoenicurus","Phylloscopus","Prunella","Saxicola","Sylvia","Turdus","other"
1963,8.3,5.5,33.1,0,16.6,66.3,0,2.8,2.8,22.1,13.5,22.1,8.3,13.8,19.4,11
1964,22.6,11.3,31.7,0,20.4,43,0,6.8,0,15.8,21.5,33.9,4.5,9,27.2,4.5
1965,6.8,2.3,24.9,0,28.7,38.5,0,13.6,2.3,23.9,19.9,22.6,0,9,79.1,9
1966,5.7,5.7,34.5,0,13.8,53.7,0,13.4,1.9,6.9,11.5,21.1,1.9,17.2,44,1.9
1967,9.6,23,28.7,0,20.8,36.4,0,38.3,0,20.8,14.2,36.4,0,7.7,53.7,1.9
1968,3.8,90,21.1,0,10.4,63.2,0,21.1,0,6.9,15.1,21.1,1.9,9.6,116.9,3.8
1969,3.8,7.7,19.2,0,17.3,51.7,1.9,7.7,0,3.5,13,40.2,0,9.6,86.3,3.8
1970,3.8,23,13.4,0,10.4,32.6,0,3.8,0,6.9,17.8,19.2,0,3.8,105.4,0
1971,5.7,88.1,17.2,0,34.6,53.6,0,15.3,3.8,3.5,14.8,26.8,0,5.7,57.4,7.6
1972,4.8,19.3,17.7,1.6,15.4,64.3,0,14.5,3.2,10.3,15.4,16.1,0,1.6,89.9,8
1973,2.4,23.8,26.2,35.7,9.5,14.8,59.5,0,15.5,47.6,2.4,0,16.2,9.5,19,17.7
1974,4.8,26.2,23.8,0,12.9,24.3,0,47.6,9.5,16.2,15.5,35.7,0,11.9,78.5,0
1975,14.3,28.6,26.2,0,22.7,61.9,0,11.9,0,9.7,12.4,31,0,4.8,23.8,2.4
1976,11.9,9.5,19,0,12.9,38.1,0,23.8,2.4,12.9,10.7,33.3,2.4,9.5,19,0
1977,14.3,28.6,19,0,3.2,23.8,0,14.3,4.8,9.7,11.7,31,2.4,2.4,26.2,4.8
1978,9.5,2.4,14.3,0,9.7,33.4,0,23.8,2.4,19.4,8.6,35.7,0,0,80.9,12
1979,4.8,16.7,19,0,6.5,40.4,0,4.8,4.8,3.2,8.6,21.4,0,2.4,28.5,2.4
1980,2.4,50,19,2.4,3.2,81,4.8,2.4,2.4,9.7,7.4,14.3,0,4.8,64.3,4.8
1981,4.8,40.5,31,0,6.5,61.9,0,16.7,11.9,19.4,8.6,40.5,0,2.4,78.5,4.8
1982,7.1,11.9,21.4,0,6.5,59.5,0,19,2.4,16.2,12.6,31,0,2.4,40.5,4.8
1983,4.8,7.2,11.9,0,0,57.3,0,7.2,4.8,9.7,8.4,19.1,0,2.4,28.6,2.4
1984,7.2,9.6,11.9,0,12.9,100.3,2.4,7.2,0,3.2,10,19.1,0,7.2,28.6,7.2
1985,11.9,38.2,21.5,0,9.7,95.5,0,11.9,7.2,3.2,20.8,16.7,0,0,40.6,7.2
1986,2.4,14.3,21.5,0,12.9,83.6,0,7.2,7.2,3.2,14.6,14.3,0,9.5,21.5,7.2
1987,11.9,0,26.3,0,12.9,64.5,0,7.2,7.2,3.2,14.6,14.3,0,9.5,21.5,7.2
1988,14.3,14.3,31,0,12.9,83.6,0,19.1,11.9,9.7,24.3,28.6,0,4.8,85.9,7.2
1989,16.7,14.3,21.5,0,19.4,102.6,0,14.3,4.8,9.7,23.9,26.3,0,2.4,174.2,14.3
1990,14.3,4.8,28.6,0,16.2,45.3,0,9.5,7.1,6.5,17.9,23.8,0,4.8,71.5,4.8
1991,11.9,0,23.8,0,12.9,45.3,0,0,7.1,16.2,12.1,14.3,0,0,97.6,7.2
1992,4.8,23.8,9.5,0,6.5,61.9,0,4.8,7.1,12.9,16,14.3,0,2.4,42.9,4.8
1993,11.9,16.7,9.5,0,7.1,111.5,2.4,0,14.3,19,21.9,33.3,0,4.8,59.6,9.6
1994,14.3,23.8,14.3,0,7.1,95.2,0,7.1,7.1,11.9,21.4,42.9,0,0,50,4.8
1995,0,28.6,14.3,0,4.8,76.2,0,33.3,2.4,11.9,25.2,40.5,0,0,73.7,4.8
1996,11.9,28.6,19,0,4.8,64.3,0,14.3,9.5,9.5,15.7,35.7,0,2.4,76.2,9.6
1997,9.5,28.6,26.2,0,9.5,66.7,0,35.7,14.3,11.9,16.4,28.6,0,4.8,140.4,2.4
1998,9.5,50,14.3,2.4,4.8,78.6,0,14.3,7.1,7.1,15.7,28.6,0,2.4,92.8,9.6
1999,11.9,64.3,21.4,0,4.8,88.1,0,4.8,4.8,14.3,14,19,0,0,69.1,7.2
