"Time","Anthus trivialis","Carduelis flammea","Emberiza schoeniclus","Erithacus rubecula","Ficedula hypoleuca","Fringilla montifringilla","Hippolais icterina","Luscinia svecica","Muscicapa striata","Phoenicurus phoenicurus","Phylloscopus trochilus","Prunella modularis","Saxicola rubetra","Sylvia borin","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus pilaris","other"
1963,8.3,5.5,33.1,0,16.6,63.5,0,2.8,2.8,22.1,13.5,22.1,8.3,13.8,16.6,0,2.8,0,13.8
1964,15.8,11.3,31.7,0,20.4,38.5,0,6.8,0,15.8,19.2,33.9,4.5,9,6.8,0,13.6,6.8,18.1
1965,6.8,2.3,24.9,0,28.7,36.2,0,13.6,2.3,23.9,19.9,22.6,0,9,47.5,0,15.8,15.8,11.3
1966,5.7,5.7,34.5,0,13.8,44.1,0,13.4,1.9,6.9,11.5,21.1,1.9,17.2,17.2,1.9,23,1.9,11.5
1967,9.6,23,28.7,0,20.8,32.6,0,38.3,0,20.8,14.2,36.4,0,7.7,24.9,0,9.6,19.2,5.7
1968,3.8,90,21.1,0,10.4,61.3,0,21.1,0,6.9,15.1,21.1,1.9,9.6,55.6,0,15.3,46,5.7
1969,3.8,7.7,19.2,0,17.3,49.8,1.9,7.7,0,3.5,13,40.2,0,9.6,44.1,0,19.2,23,5.7
1970,3.8,23,13.4,0,10.4,30.7,0,3.8,0,6.9,17.8,19.2,0,3.8,59.4,0,13.4,32.6,1.9
1971,5.7,86.2,17.2,0,34.6,51.7,0,15.3,3.8,3.5,14.8,26.8,0,5.7,24.9,0,3.8,28.7,11.4
1972,4.8,19.3,17.7,1.6,15.4,64.3,0,14.5,3.2,10.3,15.4,16.1,0,1.6,49.8,0,9.6,30.5,8
1973,2.4,23.8,26.2,35.7,9.5,12.4,59.5,0,15.5,47.6,0,0,16.2,0,11.9,0,7.1,0,32
1974,4.8,26.2,21.4,0,12.9,12.4,0,47.6,9.5,16.2,15.5,35.7,0,9.5,59.5,0,11.9,7.1,16.7
1975,14.3,28.6,26.2,0,22.7,61.9,0,11.9,0,9.7,12.4,31,0,4.8,11.9,0,7.1,4.8,2.4
1976,11.9,9.5,19,0,12.9,38.1,0,23.8,2.4,12.9,10.7,33.3,2.4,9.5,7.1,0,4.8,7.1,0
1977,14.3,28.6,19,0,3.2,14.3,0,14.3,4.8,9.7,11.7,31,2.4,2.4,14.3,0,4.8,7.1,14.3
1978,9.5,2.4,14.3,0,9.7,28.6,0,23.8,2.4,19.4,8.6,35.7,0,0,19,0,14.3,47.6,16.8
1979,4.8,16.7,19,0,6.5,33.3,0,4.8,4.8,3.2,8.6,21.4,0,2.4,7.1,0,7.1,14.3,9.5
1980,2.4,50,19,2.4,3.2,78.6,4.8,2.4,2.4,9.7,7.4,14.3,0,4.8,28.6,0,14.3,21.4,7.2
1981,4.8,38.1,31,0,6.5,59.5,0,16.7,11.9,19.4,8.6,40.5,0,2.4,45.2,0,14.3,19,9.6
1982,7.1,11.9,21.4,0,6.5,52.4,0,19,2.4,16.2,12.6,31,0,2.4,16.7,0,9.5,14.3,11.9
1983,4.8,7.2,11.9,0,0,52.5,0,7.2,4.8,9.7,8.4,19.1,0,2.4,11.9,0,2.4,14.3,7.2
1984,7.2,4.8,11.9,0,12.9,97.9,2.4,7.2,0,3.2,7.6,19.1,0,4.8,14.3,0,2.4,11.9,19.2
1985,11.9,31,21.5,0,9.7,88.3,0,11.9,7.2,3.2,18.4,16.7,0,0,14.3,0,2.4,23.9,24
1986,2.4,14.3,21.5,0,12.9,78.8,0,7.2,7.2,3.2,14.6,14.3,0,9.5,7.2,2.4,2.4,9.5,12
1987,11.9,0,26.3,0,12.9,62.1,0,7.2,7.2,3.2,14.6,14.3,0,9.5,7.2,2.4,2.4,9.5,9.6
1988,11.9,14.3,31,0,12.9,76.4,0,19.1,11.9,9.7,24.3,28.6,0,4.8,31,2.4,4.8,47.7,16.8
1989,14.3,14.3,21.5,0,19.4,93.1,0,14.3,4.8,9.7,23.9,26.3,0,2.4,62.1,0,31,81.1,26.2
1990,11.9,4.8,28.6,0,16.2,42.9,0,9.5,7.1,6.5,17.9,23.8,0,4.8,26.2,0,16.7,28.6,9.6
1991,9.5,0,23.8,0,12.9,42.9,0,0,7.1,16.2,12.1,14.3,0,0,23.8,0,0,71.4,14.4
1992,4.8,23.8,9.5,0,6.5,61.9,0,4.8,7.1,12.9,16,14.3,0,2.4,14.3,0,11.9,16.7,4.8
1993,11.9,16.7,9.5,0,7.1,102,2.4,0,14.3,19,21.9,33.3,0,2.4,28.6,0,2.4,28.6,21.5
1994,14.3,21.4,14.3,0,7.1,95.2,0,7.1,7.1,11.9,21.4,42.9,0,0,26.2,0,9.5,14.3,7.2
1995,0,28.6,14.3,0,4.8,71.4,0,33.3,2.4,11.9,11.9,40.5,0,0,0,33.3,33.3,7.1,22.9
1996,9.5,23.8,19,0,4.8,64.3,0,14.3,9.5,9.5,15.7,35.7,0,2.4,31,0,7.1,38.1,16.8
1997,9.5,26.2,26.2,0,9.5,66.7,0,35.7,14.3,11.9,16.4,28.6,0,4.8,45.2,0,7.1,88.1,4.8
1998,9.5,50,14.3,2.4,4.8,76.2,0,14.3,7.1,7.1,15.7,28.6,0,2.4,35.7,0,0,57.1,12
1999,11.9,61.9,21.4,0,4.8,83.3,0,4.8,4.8,14.3,14,19,0,0,45.2,4.8,4.8,14.3,14.4
