"Time","Catharus","Dendroica","Empidonax","Hermit","Junco","Ovenbird","Pheucticus","Picoides","Piranga","Red-eyed","Rose-breasted","Seiurus","Setophaga","Sitta","Vireo","Winter","Yellow-bellied","Yellow-throated","other"
1970,17,6,26,0,8,0,8,8,4,0,0,6,20,8,24,0,0,0,23
1971,18,13.5,28,0,4,0,4,4,6,0,0,6,35,2,31,0,0,0,11
1972,23,15,43,0,8,0,6,4,5,0,0,9,41,2,34,0,0,0,22
1973,20,17,49.5,0,8,0,10,4,8,0,0,9,36,2,30.5,0,0,0,19.5
1974,14,15,57,0,2,0,4.5,4,7,0,0,11,32,1,31,0,0,0,13.5
1975,9,17,26,0,5,0,8,3,3,0,0,10,32,1,28,0,0,0,19
1976,18,18,30,0,5,0,7.5,5,1.5,0,0,18,47,1.5,34.5,0,0,0,14.5
1977,14.5,13,28,0,6,0,7,4.5,1.5,0,0,18.5,50,1.5,34,0,0,0,15
1978,11,15,34,0,2,0,5,6,4,0,0,9,51,3,29.5,0,0,0,17
1979,10.5,11.5,22,0,0,0,4,5.5,3.5,0,0,13,40,2.5,26,0,0,0,10
1980,10,16.5,22,0,0,0,4,5,2,0,0,12,45,1,18,0,0,0,11
1981,6,10,15,0,0,0,6,6,4,0,0,10,44.5,2,16,0,0,0,11
1982,5,15.5,1,0,0,0,8,2,5,0,0,10,31,3,28,0,0,0,8
1983,5,19.5,0,0,0,0,7,4,6,0,0,11,40.5,2,25,0,0,0,4
1984,6,15.5,0,0,0,0,4,3.5,7,0,0,13.5,41,1.5,22,0,0,0,4
1986,2.5,0,0,2,0,16,0,0,2,22,2.5,0,34,0,0,0,2,1.5,6.6
1987,1.5,0,0,2,0,15.5,0,0,1.5,19.5,2.5,0,34.5,0,0,0.5,2,0,5.6
1988,1.5,0,6,4,0,21.5,0,0,2,22,2.5,0,39.7,0,0,1,1,2.5,9.6
1989,0.5,0,0,4,0,16,0,0,2.5,22.5,3,0,38,0,0,1,1.5,2,10.4
1990,2,0,0,5,0,20,0,0,1.5,24,4.5,0,53,0,0,2,3,2,17
1991,2.5,0,1.5,2,0,17.5,0,0,2.5,25.5,2,0,43.5,0,0,3,2,2,16.4
1992,6,0,1,5,0,15.5,0,0,4.5,15,4,0,55,0,0,1,3,3,16.6
1993,3.5,0,0,3,0,13.5,0,0,3.5,16.5,0.5,0,41.7,0,0,0.2,1,0.2,10.9
1994,4,0,0,3.5,0,9,0,0,3.5,18.5,2,0,28,0,0,1,2.5,0,12.4
1995,3,0,0,2,0,11,0,0,2,18,2,0,26,0,0,0.2,2,0,7
1996,3,0,0,5,0,12,0,0,2,19,2,0,35.5,0,0,1.5,2,2,8.9
1997,2.5,0,0,1,0,10.5,0,0,2,22,4,0,31.5,0,0,0,3,2.5,7.9
1998,2,0,0,3,0,9,0,0,2,17,0.2,0,29.5,0,0,4,2,0,4
1999,2.5,0,0,3,0,4,0,0,2,23.5,2,0,33,0,0,1,1.5,0,12
2000,0,0,0,3,0,7.5,0,0,1,28,0.2,0,35.5,0,0,1,3,2,7.9
2001,0.2,0,0,4.5,0,7,0,0,0.5,29,0.2,0,30.5,0,0,0.2,3,4,13.1
2002,0.2,0,0,3,0,7.5,0,0,1,19,0.2,0,30,0,0,1,2,2,5.8
2003,0,0,0,4.5,0,8,0,0,5,21,2,0,30.5,0,0,0,4,2,12.6
2004,0,0,0,3,0,8,0,0,4,21,4,0,23.5,0,0,3,4,0,6.6
2005,1,0,0,4.5,0,15.5,0,0,5.5,24.5,3,0,26,0,0,2,5,2,6.9
2006,0,0,0,6.5,0,15,0,0,4,22,2.5,0,31.5,0,0,1.5,2,4.5,18.6
2007,0,0,0,4.5,0,20,0,0,1.5,19,2.5,0,30.5,0,0,1,4,2,15.8
2008,0,0,0,4.5,0,21,0,0,3,19.5,3,0,25.5,0,0,2.5,3.5,0.5,9.9
2009,0,0,0,6.5,0,21.5,0,0,1.5,27,2,0,33.5,0,0,0,3.5,0,10.6
2010,0,0,0,5.5,0,17,0,0,4.5,23.5,3.5,0,32.2,0,0,1,4.5,2.5,14.7
2011,0,0,0,4,0,18,0,0,4,22,4,0,27.5,0,0,3,3,1,9.7
2012,0,0,0,7,0,12.5,0,0,5,24,5.5,0,32.5,0,0,0,5.5,2,11.7
2013,0,0,0,6.5,0,12,0,0,3.5,28,4,0,30.5,0,0,3.5,4,9,19.1
2014,0,0,0,6,0,12.5,0,0,4.5,31,4,0,31,0,0,0.5,4,4.5,16
2015,0,0,0,6.5,0,12.5,0,0,3,30,3,0,27,0,0,0.2,5,2,25.4
