"Time","Catharus ustulatus","Dendroica caerulescens","Empidonax minimus","Hylocichla mustelina","Pheucticus ludovicianus","Piranga olivacea","Seiurus aurocapilla","Setophaga ruticilla","Setophaga virens","Vireo olivaceus","Setophaga caerulescens","Ovenbird","Red-eyed vireo","other","Hermit Thrush","Yellow-bellied Sapsucker"
1970,9.001,4.001,26.001,7.001,8.001,4.001,6.001,12.001,8.001,20.001,0.001,0.001,0.001,54.001,0.001,0.001
1971,8.001,8.001,28.001,6.001,4.001,6.001,6.001,26.001,9.001,24.001,0.001,0.001,0.001,37.501,0.001,0.001
1972,11.001,11.001,43.001,9.001,6.001,5.001,9.001,29.001,12.001,29.001,0.001,0.001,0.001,48.001,0.001,0.001
1973,11.001,9.001,49.501,7.001,10.001,8.001,9.001,29.001,7.001,22.001,0.001,0.001,0.001,52.001,0.001,0.001
1974,9.001,11.001,57.001,4.001,4.501,7.001,11.001,26.001,6.001,26.001,0.001,0.001,0.001,30.501,0.001,0.001
1975,6.501,11.001,26.001,5.001,8.001,3.001,10.001,22.001,10.001,23.001,0.001,0.001,0.001,36.501,0.001,0.001
1976,8.001,12.001,30.001,6.501,7.501,1.501,18.001,39.001,8.001,31.001,0.001,0.001,0.001,39.001,0.001,0.001
1977,7.001,11.001,28.001,5.001,7.001,1.501,18.501,42.001,8.001,30.001,0.001,0.001,0.001,35.501,0.001,0.001
1978,4.001,12.001,34.001,9.001,5.001,4.001,9.001,44.001,7.001,23.501,0.001,0.001,0.001,35.001,0.001,0.001
1979,5.001,10.501,22.001,7.001,4.001,3.501,13.001,32.501,7.501,20.001,0.001,0.001,0.001,23.501,0.001,0.001
1980,7.001,14.501,22.001,7.001,4.001,2.001,12.001,36.001,9.001,16.001,0.001,0.001,0.001,17.001,0.001,0.001
1981,3.001,8.001,15.001,3.001,6.001,4.001,10.001,34.501,10.001,13.001,0.001,0.001,0.001,24.001,0.001,0.001
1982,2.001,12.001,1.001,0.501,8.001,5.001,10.001,22.001,9.001,26.001,0.001,0.001,0.001,21.001,0.001,0.001
1983,1.001,14.001,0.001,2.001,7.001,6.001,11.001,32.001,8.501,23.001,0.001,0.001,0.001,19.501,0.001,0.001
1984,2.001,13.501,0.001,2.001,4.001,7.001,13.501,30.001,11.001,22.001,0.001,0.001,0.001,13.001,0.001,0.001
1986,0.001,0.001,0.001,0.001,0.001,2.001,0.001,13.001,8.501,0.001,10.501,16.001,22.001,15.101,2.001,2.001
1987,0.001,0.001,0.001,0.001,0.001,1.501,0.001,11.001,12.001,0.001,11.501,15.501,19.501,10.101,2.001,2.001
1988,0.001,0.001,6.001,0.001,0.001,2.001,0.001,13.501,17.001,0.001,9.001,21.501,22.001,17.301,4.001,1.001
1989,0.001,0.001,0.001,0.001,0.001,2.501,0.001,5.501,15.501,0.001,15.001,16.001,22.501,18.901,4.001,1.501
1990,0.001,0.001,0.001,0.001,0.001,1.501,0.001,18.501,17.501,0.001,16.001,20.001,24.001,28.501,5.001,3.001
1991,0.001,0.001,1.501,0.001,0.001,2.501,0.001,14.001,13.501,0.001,13.501,17.501,25.501,28.401,2.001,2.001
1992,0.001,0.001,1.001,0.001,0.001,4.501,0.001,19.001,18.001,0.001,15.001,15.501,15.001,33.601,5.001,3.001
1993,0.001,0.001,0.001,0.001,0.001,3.501,0.001,13.001,17.501,0.001,11.001,13.501,16.501,15.501,3.001,1.001
1994,0.001,0.001,0.001,0.001,0.001,3.501,0.001,7.501,13.501,0.001,7.001,9.001,18.501,19.401,3.501,2.501
1995,0.001,0.001,0.001,0.001,0.001,2.001,0.001,2.001,14.001,0.001,10.001,11.001,18.001,12.201,2.001,2.001
1996,0.001,0.001,0.001,0.001,0.001,2.001,0.001,10.501,16.001,0.001,5.501,12.001,19.001,20.901,5.001,2.001
1997,0.001,0.001,0.001,0.001,0.001,2.001,0.001,10.501,8.501,0.001,8.501,10.501,22.001,20.901,1.001,3.001
1998,0.001,0.001,0.001,0.001,0.001,2.001,0.001,10.001,11.001,0.001,8.501,9.001,17.001,10.201,3.001,2.001
