"Time","Catharus ustulatus","Dendroica caerulescens","Empidonax minimus","Hermit Thrush","Junco hyemalis","Ovenbird","Pheucticus ludovicianus","Piranga olivacea","Red-eyed vireo","Rose-breasted grosbeak","Seiurus aurocapilla","Setophaga caerulescens","Setophaga ruticilla","Setophaga virens","Sitta carolinensis","Vireo olivaceus","Winter wren","Yellow-bellied Sapsucker","Yellow-throated Warbler","other"
1970,9,4,26,0,8,0,8,4,0,0,6,0,12,8,8,20,0,0,0,45
1971,8,8,28,0,4,0,4,6,0,0,6,0,26,9,2,24,0,0,0,37.5
1972,11,11,43,0,8,0,6,5,0,0,9,0,29,12,2,29,0,0,0,47
1973,11,9,49.5,0,8,0,10,8,0,0,9,0,29,7,2,22,0,0,0,49
1974,9,11,57,0,2,0,4.5,7,0,0,11,0,26,6,1,26,0,0,0,31.5
1975,6.5,11,26,0,5,0,8,3,0,0,10,0,22,10,1,23,0,0,0,35.5
1976,8,12,30,0,5,0,7.5,1.5,0,0,18,0,39,8,1.5,31,0,0,0,39
1977,7,11,28,0,6,0,7,1.5,0,0,18.5,0,42,8,1.5,30,0,0,0,33
1978,4,12,34,0,2,0,5,4,0,0,9,0,44,7,3,23.5,0,0,0,39
1979,5,10.5,22,0,0,0,4,3.5,0,0,13,0,32.5,7.5,2.5,20,0,0,0,28
1980,7,14.5,22,0,0,0,4,2,0,0,12,0,36,9,1,16,0,0,0,23
1981,3,8,15,0,0,0,6,4,0,0,10,0,34.5,10,2,13,0,0,0,25
1982,2,12,1,0,0,0,8,5,0,0,10,0,22,9,3,26,0,0,0,18.5
1983,1,14,0,0,0,0,7,6,0,0,11,0,32,8.5,2,23,0,0,0,19.5
1984,2,13.5,0,0,0,0,4,7,0,0,13.5,0,30,11,1.5,22,0,0,0,13.5
1986,0,0,0,2,0,16,0,2,22,2.5,0,10.5,13,8.5,0,0,0,2,1.5,11.1
1987,0,0,0,2,0,15.5,0,1.5,19.5,2.5,0,11.5,11,12,0,0,0.5,2,0,7.1
1988,0,0,6,4,0,21.5,0,2,22,2.5,0,9,13.5,17,0,0,1,1,2.5,11.3
1989,0,0,0,4,0,16,0,2.5,22.5,3,0,15,5.5,15.5,0,0,1,1.5,2,12.9
1990,0,0,0,5,0,20,0,1.5,24,4.5,0,16,18.5,17.5,0,0,2,3,2,20
1991,0,0,1.5,2,0,17.5,0,2.5,25.5,2,0,13.5,14,13.5,0,0,3,2,2,21.4
1992,0,0,1,5,0,15.5,0,4.5,15,4,0,15,19,18,0,0,1,3,3,25.6
1993,0,0,0,3,0,13.5,0,3.5,16.5,0.5,0,11,13,17.5,0,0,0.2,1,0.2,14.6
1994,0,0,0,3.5,0,9,0,3.5,18.5,2,0,7,7.5,13.5,0,0,1,2.5,0,16.4
1995,0,0,0,2,0,11,0,2,18,2,0,10,2,14,0,0,0.2,2,0,10
1996,0,0,0,5,0,12,0,2,19,2,0,5.5,10.5,16,0,0,1.5,2,2,15.4
1997,0,0,0,1,0,10.5,0,2,22,4,0,8.5,10.5,8.5,0,0,0,3,2.5,14.4
1998,0,0,0,3,0,9,0,2,17,0.2,0,8.5,10,11,0,0,4,2,0,6
1999,0,0,0,3,0,4,0,2,23.5,2,0,11,9.5,12.5,0,0,1,1.5,0,14.5
2000,0,0,0,3,0,7.5,0,1,28,0.2,0,10.5,7.5,15.5,0,0,1,3,2,9.9
2001,0,0,0,4.5,0,7,0,0.5,29,0.2,0,9,4,13.5,0,0,0.2,3,4,17.3
2002,0,0,0,3,0,7.5,0,1,19,0.2,0,9,2,16,0,0,1,2,2,9
2003,0,0,0,4.5,0,8,0,5,21,2,0,7.5,7,13,0,0,0,4,2,15.6
2004,0,0,0,3,0,8,0,4,21,4,0,6,2,13.5,0,0,3,4,0,8.6
2005,0,0,0,4.5,0,15.5,0,5.5,24.5,3,0,8,1,13,0,0,2,5,2,11.9
2006,0,0,0,6.5,0,15,0,4,22,2.5,0,10,2,17.5,0,0,1.5,2,4.5,20.6
2007,0,0,0,4.5,0,20,0,1.5,19,2.5,0,10.5,2,16,0,0,1,4,2,17.8
2008,0,0,0,4.5,0,21,0,3,19.5,3,0,5,3,15.5,0,0,2.5,3.5,0.5,11.9
2009,0,0,0,6.5,0,21.5,0,1.5,27,2,0,6.5,0.5,24.5,0,0,0,3.5,0,12.6
2010,0,0,0,5.5,0,17,0,4.5,23.5,3.5,0,7.5,0.2,20.5,0,0,1,4.5,2.5,18.7
2011,0,0,0,4,0,18,0,4,22,4,0,5,0,18.5,0,0,3,3,1,13.7
2012,0,0,0,7,0,12.5,0,5,24,5.5,0,10,2,16.5,0,0,0,5.5,2,15.7
2013,0,0,0,6.5,0,12,0,3.5,28,4,0,8,0,17.5,0,0,3.5,4,9,24.1
2014,0,0,0,6,0,12.5,0,4.5,31,4,0,10,0,18.5,0,0,0.5,4,4.5,18.5
2015,0,0,0,6.5,0,12.5,0,3,30,3,0,5.5,0,17,0,0,0.2,5,2,29.9
