"Time","American","Barred","Blue","Bobwhite","Brown","Cardinal","Common","Dark-eyed","Downy","Fox","Hairy","House","Mourning","Purple","Red-bellied","Red-headed","Ring-necked","Rusty","Song","Starling","Swamp","Tree","Tufted","White-breasted","other"
1924-01-01,0.5,0,5,0.5,0,7,10.5,15,3,0,2,0.5,0,0,1,0,0,0,0,0,0,10,8,1,4
1926-01-01,0,2,2,0,2,16,7,25,2,0,2,0,0,7,1,0,0,0,2,0,0,11,4,1,2
1927-01-01,8,2,0,0,1,12,19,20,3,2,2,0,0,2,2,0,0,0,3,0,0,47,8,4,6
1928-01-01,0,2,1,0,2,4,6,3,3,1,1,0,0,0,1,0,0,0,0,0,0,25,1,3,2
1929-01-01,3,2,0,0,0,4,13,1,3,2,1,0,0,0,1,0,0,0,2,0,0,0,4,0,0
1933-01-01,0,0,2,0,0,10,14,10,6,0,0,0,0,0,0,3,0,0,0,0,0,10,10,2,4
1934-01-01,0,0,2,0,0,10,28,10,5,0,0,0,0,0,0,4,0,0,0,0,0,20,12,2,2
1935-01-01,0,0,2,0,10,6,4,85,10,0,0,0,10,0,0,0,0,0,0,20,0,50,10,4,1
1937-01-01,0,0,2,13,0,2,11,0,7,0,2,0,0,0,3,0.5,0,0,0,2,0,25,14,2,1
1938-01-01,0,1,1,0,4,2,11,0,11,0,1,0,6,0,3,0.5,0,0,0,2,0,10,8,2,2
1939-01-01,0,0,3,3,3,1,11,5,7,0,2,0,14,0,1,0,0,0,0,1,0,10,3,2,1
1940-01-01,0,0,2,6,2,1,18,0,8,0,1,0,0,0,2,0,0,0,0,0,0,20,2,0,1
1941-01-01,0,0,10,0,3,3,7,9,9,0,2,0,0,0,2,1,0,0,0,0,0,24,7,2,2
1942-01-01,0,0,6,0,3,1,6,0,10,0,2,0,0,0,3,0,0,0,0,0,0,0,14,2,2
1943-01-01,0,0,0,0,5,3,6,0,8,0,2,0,0,0,2,0,0,0,0,0,0,0,10,2,0
1944-01-01,0,0,0,16,2,4,8,4,8,0,2,0,0,0,2,0,0,0,0,0,0,0,6,2,2
