"Time","Alauda arvensis","Anas platyrhynchos","Anthus pratensis","Buteo buteo","Columba oenas","Corvus corax","Corvus corone","Corvus monedula","Emberiza schoeniclus","Gallinula chloropus","Haematopus ostralegus","Oenanthe oenanthe","Prunella modularis","Sturnus vulgaris","Turdus merula","Vanellus vanellus","other"
1928,3,0,45,1,0,1,7,0,0,1,40,10,5,0,2,6,6
1929,3,0,39,0,0,1,9,0,0,1,40,13,6,0,1,8,4
1930,2,0,41,0,0,1,10,0,0,1,40,12,5,0,1,10,4
1931,4,0,44,1,0,1,10,0,0,1,40,9,6,0,2,11,3
1932,3,0,39,1,0,1,12,0,0,1,40,13,7,0,1,12,3
1933,3,0,43,1,0,1,11,0,0,1,52,13,6,0,1,10,1
1934,3,0,41,1,0,1,9,0,0,1,45,14,7,0,1,8,1
1935,2,0,35,1,0,1,8,0,0,1,45,12,7,0,1,6,0
1936,1,1,32,1,0,1,7,0,0,1,36,10,7,0,0,5,0
1937,2,1,31,1,0,1,7,0,0,1,31,9,4,0,0,3,0
1938,1,1,38,1,0,1,9,0,0,1,37,12,3,0,0,5,0
1939,1,0,40,1,0,1,7,0,0,1,35,10,1,0,0,4,1
1940,1,0,32,1,0,1,9,0,0,1,39,12,1,1,0,4,2
1946,1,0,35,1,0,1,7,0,0,0,43,13,0,2,0,4,0
1947,3,0,24,0,0,1,4,0,0,0,52,14,0,1,0,3,0
1948,5,0,40,2,0,1,6,0,0,0,50,20,0,6,0,1,0
1949,9,0,48,1,0,1,9,0,0,0,53,24,0,11,0,3,0
1950,9,0,60,0,0,1,7,0,0,0,52,27,0,12,0,4,0
1951,10,0,40,0,0,1,6,0,0,0,50,38,0,8,0,6,0
1952,10,0,48,0,0,1,7,0,0,0,52,38,0,10,0,16,0
1953,12,1,49,0,0,1,7,0,0,0,54,28,0,10,0,23,0
1954,14,0,49,0,0,1,8,0,0,1,50,30,0,10,0,25,0
1955,15,1,49,0,0,1,6,0,0,0,50,35,0,5,0,20,0
1956,18,0,49,0,0,1,10,0,0,0,45,30,0,4,0,16,0
1957,14,0,49,0,0,1,6,0,0,0,45,30,0,4,0,16,0
1958,16,0,50,0,0,1,7,0,0,0,47,26,0,3,0,15,0
1959,27,0,50,1,0,1,11,0,0,0,49,36,0,2,0,25,0
1960,25,0,47,0,0,1,10,0,1,0,41,33,0,3,0,25,0
1961,25,0,43,0,0,1,10,0,0,0,40,12,0,4,0,17,0
1962,25,0,40,0,0,1,8,0,0,0,40,16,0,15,0,20,1
1963,27,0,36,0,0,1,7,0,0,0,52,18,0,9,0,4,1
1964,30,0,32,0,0,1,6,0,0,0,49,21,2,13,0,7,1
1965,40,1,34,0,0,1,7,3,0,0,49,23,4,18,0,18,3
1966,48,0,36,0,0,2,8,4,0,0,49,23,4,30,0,27,2
1967,38,0,40,0,1,1,8,6,1,1,49,28,4,35,0,18,0
1968,40,0,40,0,2,1,8,12,1,1,50,30,4,40,0,18,0
1969,45,0,40,0,10,1,6,15,1,1,52,27,4,50,0,10,0
1970,45,0,45,0,15,1,8,15,3,1,47,25,4,53,1,9,1
1971,38,0,45,0,18,1,7,20,4,1,51,20,5,50,0,10,0
1972,38,0,43,0,27,1,6,28,4,1,49,13,5,47,0,9,1
1973,38,0,42,0,45,1,7,39,4,1,53,8,6,43,0,7,0
1974,38,0,40,0,60,1,7,55,4,0,53,9,7,40,1,6,0
1975,33,0,35,0,62,1,6,60,4,1,47,9,6,40,3,5,0
1976,29,0,38,0,57,1,6,50,5,0,46,9,9,40,4,2,0
1977,26,0,40,0,60,1,7,56,5,0,44,12,12,40,6,5,0
1978,23,0,30,0,60,1,5,60,3,0,49,13,9,40,4,3,0
1979,23,0,35,0,60,1,4,60,1,0,51,13,3,40,3,0,1
