"Time","Siphonoperla","Tinodes","other","Agapetus","Amphinemura","Apatania","Baetis","Chaetopteryx","Leuctra","Nemoura","Protonemura"
1969,400,3799,549,5479,114,296,8182,1605,2675,218,1319
1970,927,5032,531,17681,161,692,5292,818,4299,349,3214
1971,705,4038,839,8885,280,141,8831,281,4176,179,1607
1972,150,696,1065,607,274,38,15917,8,3457,271,118
1973,1270,1428,1599,2331,147,167,2107,1060,8586,555,4721
1974,182,1159,1043,2151,9,113,12389,203,1740,391,1333
1975,186,1495,881,426,105,60,9473,261,2828,248,2699
1976,444,1374,1066,809,42,82,2762,615,4593,509,2723
1977,284,256,1353,1603,13,151,11399,504,6851,608,309
1978,51,323,526,1781,48,112,9662,813,1421,262,524
1979,73,301,705,7961,335,138,18232,1074,1721,546,1244
1980,197,643,990,13802,152,714,12018,758,2672,397,2946
1981,118,656,711,1906,53,877,10814,453,2770,286,2019
1982,102,446,409,6916,19,947,9254,261,1102,268,1780
1983,75,2268,430,4832,49,621,2086,267,1264,110,1377
1984,93,1065,474,491,109,718,3716,821,1358,313,736
1985,223,1210,613,4356,29,1258,5744,419,1244,292,885
1986,125,875,281,300,13,231,569,302,2588,421,425
1987,113,698,636,533,184,287,2832,188,1827,2724,1687
1988,844,1496,938,1165,314,374,6527,102,1746,629,5987
1989,244,1616,1203,1405,37,281,9526,67,1987,205,2454
1990,804,1600,2512,1801,647,266,3912,346,7335,1672,2315
1991,733,808,3986,431,587,190,2418,168,10717,2128,3605
1992,271,142,2411,374,210,64,2262,149,4291,468,834
1993,2110,42,2641,145,2360,55,3295,87,10474,2523,3610
1994,143,23,1389,143,1075,27,7595,135,3167,538,5333
1995,251,244,1558,379,215,162,6531,240,2675,191,4785
1996,766,179,1606,368,63,87,1073,148,3945,152,1034
1997,158,178,2804,77,49,19,2315,201,2055,156,1140
1998,159,142,2688,19,15,3,1458,31,2991,173,611
1999,117,241,1255,41,31,5,3965,226,2092,83,745
2000,156,782,1413,199,110,7,1233,91,1485,208,556
2001,42,1181,1354,442,108,1,3516,99,1524,97,1135
2002,98,1702,1205,425,229,10,3039,94,1394,158,1245
2003,167,3173,1090,423,95,16,3626,91,1865,170,1278
2004,114,660,1104,158,18,0,1537,55,2555,45,893
2005,64,687,1071,146,28,1,3885,218,2963,297,562
