"Time","Agapetus","Amphinemura","Apatania","Baetis","Chaetopteryx","Leuctra","Nemoura","Nemurella","Paraleptophlebia","Protonemura","Siphonoperla","Tinodes","Wormaldia","other"
1969,5479,114,296,8182,1605,2675,218,45,0,1319,400,3799,2,502
1970,17681,161,692,5292,818,4299,349,49,0,3214,927,5032,1,481
1971,8885,280,141,8831,281,4176,179,112,15,1607,705,4038,4,708
1972,607,274,38,15917,8,3457,271,506,17,118,150,696,0,542
1973,2331,147,167,2107,1060,8586,555,366,28,4721,1270,1428,3,1202
1974,2151,9,113,12389,203,1740,391,31,17,1333,182,1159,3,992
1975,426,105,60,9473,261,2828,248,55,30,2699,186,1495,2,794
1976,809,42,82,2762,615,4593,509,41,188,2723,444,1374,0,837
1977,1603,13,151,11399,504,6851,608,24,251,309,284,256,6,1072
1978,1781,48,112,9662,813,1421,262,8,7,524,51,323,7,504
1979,7961,335,138,18232,1074,1721,546,2,0,1244,73,301,4,699
1980,13802,152,714,12018,758,2672,397,19,0,2946,197,643,17,954
1981,1906,53,877,10814,453,2770,286,17,0,2019,118,656,6,688
1982,6916,19,947,9254,261,1102,268,1,0,1780,102,446,0,408
1983,4832,49,621,2086,267,1264,110,2,3,1377,75,2268,2,423
1984,491,109,718,3716,821,1358,313,26,5,736,93,1065,0,443
1985,4356,29,1258,5744,419,1244,292,17,10,885,223,1210,1,585
1986,300,13,231,569,302,2588,421,51,4,425,125,875,0,226
1987,533,184,287,2832,188,1827,2724,168,25,1687,113,698,1,442
1988,1165,314,374,6527,102,1746,629,98,12,5987,844,1496,3,825
1989,1405,37,281,9526,67,1987,205,15,102,2454,244,1616,8,1078
1990,1801,647,266,3912,346,7335,1672,40,578,2315,804,1600,22,1872
1991,431,587,190,2418,168,10717,2128,739,1344,3605,733,808,59,1844
1992,374,210,64,2262,149,4291,468,1075,320,834,271,142,135,881
1993,145,2360,55,3295,87,10474,2523,1129,162,3610,2110,42,548,802
1994,143,1075,27,7595,135,3167,538,298,14,5333,143,23,178,899
1995,379,215,162,6531,240,2675,191,255,12,4785,251,244,151,1140
1996,368,63,87,1073,148,3945,152,138,14,1034,766,179,553,901
1997,77,49,19,2315,201,2055,156,183,18,1140,158,178,1429,1174
1998,19,15,3,1458,31,2991,173,400,55,611,159,142,1494,739
1999,41,31,5,3965,226,2092,83,91,23,745,117,241,296,845
2000,199,110,7,1233,91,1485,208,47,27,556,156,782,620,719
2001,442,108,1,3516,99,1524,97,41,53,1135,42,1181,252,1008
2002,425,229,10,3039,94,1394,158,54,50,1245,98,1702,415,686
2003,423,95,16,3626,91,1865,170,14,44,1278,167,3173,50,982
2004,158,18,0,1537,55,2555,45,2,95,893,114,660,270,737
2005,146,28,1,3885,218,2963,297,35,169,562,64,687,78,789
