"Time","Agapetus fuscipes","Amphinemura standfussi","Apatania fimbriata","Baetis rhodani","Baetis spec.","Baetis vernus","Chaetopteryx villosa","Leuctra digitata","Leuctra nigra","Leuctra prima","Nemoura cambrica","Nemurella pictetii","Paraleptophlebia submarginata","Protonemura auberti","Protonemura intricata","Protonemura meyeri","Siphonoperla torrentium","Tinodes rostocki","Wormaldia occipitalis","other"
1969,5479,114,296,5463,0,2719,1605,242,2429,2,103,45,0,302,994,11,400,3799,2,631
1970,17681,161,692,1335,0,3957,818,1212,3073,14,340,49,0,270,2864,9,927,5032,1,561
1971,8885,280,141,1327,0,7504,281,1330,2730,116,162,112,15,76,1284,214,705,4038,4,758
1972,607,274,38,862,0,15055,8,396,2938,123,271,506,17,25,53,32,150,696,0,550
1973,2331,147,167,561,0,1546,1060,777,7772,37,244,366,28,426,3828,360,1270,1428,3,1620
1974,2151,9,113,705,0,11684,203,608,1040,92,182,31,17,150,1172,7,182,1159,3,1205
1975,426,105,60,414,0,9059,261,742,1992,94,107,55,30,532,2134,22,186,1495,2,946
1976,809,42,82,492,0,2270,615,1570,2591,432,220,41,188,292,2370,61,444,1374,0,1126
1977,1603,13,151,228,0,11171,504,1610,4581,660,273,24,251,80,187,42,284,256,6,1407
1978,1781,48,112,324,0,9338,813,421,862,138,94,8,7,205,289,29,51,323,7,673
1979,7961,335,138,2897,0,15335,1074,641,987,93,205,2,0,296,943,2,73,301,4,1043
1980,13802,152,714,5246,0,6772,758,792,1579,301,87,19,0,966,1954,6,197,643,17,1284
1981,1906,53,877,6018,0,4796,453,282,1146,1342,44,17,0,587,1410,11,118,656,6,941
1982,6916,19,947,3343,771,5140,261,300,236,566,75,1,0,584,1127,48,102,446,0,622
1983,4832,49,621,1560,134,392,267,645,435,184,37,2,3,207,1114,42,75,2268,2,510
1984,491,109,718,3297,0,419,821,184,809,365,77,26,5,305,253,178,93,1065,0,679
1985,4356,29,1258,4606,311,827,419,462,612,170,79,17,10,238,496,151,223,1210,1,798
1986,300,13,231,567,2,0,302,1265,930,393,150,51,4,199,186,40,125,875,0,497
1987,533,184,287,2193,344,228,188,470,943,414,2277,168,25,377,1016,294,113,698,1,956
1988,1165,314,374,2749,700,3078,102,407,958,364,483,98,12,1277,4495,215,844,1496,3,988
1989,1405,37,281,1893,1739,5894,67,556,396,1017,158,15,102,310,2111,33,244,1616,8,1143
1990,1801,647,266,698,342,2872,346,3905,2827,589,1167,40,578,83,2153,79,804,1600,22,2391
1991,431,585,190,72,11,2335,168,3322,6499,892,755,739,1344,52,2182,1371,733,808,59,3223
1992,374,210,64,52,0,2210,149,1531,2390,370,371,1075,320,21,790,23,271,142,135,978
1993,145,2359,55,62,0,3233,87,1480,8633,361,1624,1129,162,513,2428,669,2110,42,548,1702
1994,143,1075,27,228,0,7367,135,1702,1142,323,306,298,14,1090,4103,140,143,23,178,1131
1995,379,215,162,338,156,6037,240,1314,1183,178,107,255,12,1117,3607,61,251,244,151,1224
1996,368,63,87,16,0,1057,148,247,3255,443,88,138,14,232,787,15,766,179,553,965
1997,77,49,19,327,80,1908,201,324,1604,127,85,183,18,683,456,1,158,0,1429,1423
1998,19,15,3,3,1,1454,31,502,1931,558,79,400,55,385,226,0,159,142,1494,833
1999,41,31,5,355,310,3300,226,192,1446,454,24,91,23,618,125,2,117,241,296,904
2000,199,110,7,224,59,950,91,447,815,223,77,47,27,356,182,18,156,782,620,850
2001,442,108,1,233,40,3243,99,601,481,442,36,41,53,917,213,5,42,1181,252,1069
2002,425,229,10,660,0,2378,94,609,503,281,90,54,50,611,617,17,98,1702,415,756
2003,423,95,16,110,0,3514,91,766,899,197,115,14,44,95,1170,13,167,3173,50,1042
2004,158,18,0,38,0,1499,55,1203,951,401,27,2,95,86,790,17,114,660,270,755
2005,146,28,1,158,0,3727,218,1302,1403,258,241,35,169,212,252,98,64,687,78,845
