"measurementid","Clostridium-hiranonis","Clostridium-difficile","Proteus-mirabilis","Clostridium-scindens","Ruminococcus-obeum","Clostridium-ramosum","Bacteroides-ovatus","Akkermansia-muciniphila","Parabacteroides-distasonis","Bacteroides-fragilis","Bacteroides-vulgatus","Enterococcus-faecalis","Klebsiella-oxytoca","Lactobacillus-reuteri","Roseburia-hominis","Escherichia-coli"
0.75,0.00286397283845115,0,0.0300832630813114,0.0146201194091901,3.46448327231993e-05,0.0261337521508667,0.106902405506219,0.00323351772083194,0.000588962156294389,0.0508008730497846,0.328421465938355,0.00424976614737912,0.340073678010925,0.000196320718764796,0.000103934498169598,0.0916240342752878
1,0.00223463687150838,3.99042298483639e-05,0.0241287576483107,0.0134211226389997,0.000106411279595637,0.0416866187815908,0.18462357009843,0.0136605480180899,0.000678371907422187,0.078584729981378,0.261585528065975,0.00268688480978984,0.315961691939346,0.000133014099494546,2.66028198989093e-05,0.0604017025804735
2,0.00132489814845484,1.10408179037903e-05,0.00918596049595354,0.00357722500082806,0.00920804213176112,0.0331776578008899,0.235743543881731,0.323650536031709,0.00185485740783677,0.079979684895057,0.121747099025096,0.000662449074227419,0.14101332626721,0.00943989930774072,0.00851247060382233,0.0209113091097789
3,0.00121920932017791,0,0.0146756677428823,0.00203201553362986,0.0104987469237543,0.0527646700232553,0.258020816870245,0.355783341988214,0.0130048994152311,0.0552030886636111,0.107922602786119,0.000293513354857646,0.0859994129732903,0.00250615249147682,0.0161206565667969,0.0239552053464587
4,0.00248329001113999,0,0.0224076308949127,0.00243687337541775,0.00960824359450427,0.0684645376903082,0.368640920906053,0.294780449313034,0.0106642220571853,0.0609798551800965,0.0823547159301894,5.80207946528036e-05,0.0384909951726699,0.000104437430375046,0.00677682881544746,0.0317489788340141
6,0.000450908825016909,1.2186725000457e-05,0.0207418059507778,0.00454564842517046,0.0182313406006837,0.0602999153022612,0.346614832462998,0.333763930950016,0.00987124725037017,0.124158354304656,0.012826528062981,4.8746900001828e-05,0.0243125163759117,1.2186725000457e-05,0.018505541913194,0.0256043092259602
8,0.000862472420940028,3.34291636023267e-05,0.0200508123286755,0.00363709299993314,0.0219161596576854,0.037988901517684,0.326669786721936,0.353707294243498,0.0173965367386508,0.124122484455439,0.0298321855987163,2.67433308818613e-05,0.023821621983018,0,0.00981480243364311,0.0301196764056963
10,0.000960124451574483,7.29208444233784e-05,0.0152647634326272,0.00201747669571347,0.0232495958969872,0.0307239824503834,0.381351709386128,0.313644705339021,0.0145963223587462,0.124402960586284,0.0210741240383564,4.86138962822523e-05,0.017634690876387,0,0.0116916420558817,0.0432663676912045
14,0.00137898023841543,0,0.0160577120324573,0.00172087616529528,0.0323319581519386,0.0289813780685159,0.39792127276457,0.229583114899824,0.0222346317780867,0.161431860141773,0.0256080049233013,0.000113965308959953,0.0124450117384268,0,0.016935244911449,0.0532559888769858
17,0.00221291106636919,9.06930764905407e-06,0.0108015454100234,0.00329215867660663,0.0348986958335601,0.0515408753695743,0.287497052475014,0.326667392211279,0.022981625582703,0.115506702218353,0.038580834739076,8.16237688414866e-05,0.0227911701220729,0,0.017104714226116,0.0660336289927627
21,0.000821597218188005,2.48968853996365e-05,0.0100168468924538,0.00338597641435056,0.0299924479447621,0.0533623243732209,0.27599857257857,0.380963841423438,0.0215109089852859,0.0882760566653112,0.0490966580080832,4.9793770799273e-05,0.0184734889665303,0,0.0181000356855357,0.0499265541880711
24,0.000425225310355417,2.36236283530788e-05,0.00715795939098286,0.00177177212648091,0.0257851903473855,0.0427351436907195,0.265092545564073,0.436659146478308,0.0167609643165094,0.063134146773603,0.0498340440108196,2.36236283530788e-05,0.0220880925101286,0,0.0203281321978243,0.0481803900261041
28,0.00105616016898563,1.14800018368003e-05,0.00987280157964825,0.00320292051246728,0.0267024842723975,0.0657344905175185,0.267851402856224,0.328488772558204,0.0352091656334665,0.0908986545437847,0.0652638104422097,2.29600036736006e-05,0.0234192037470726,0,0.0207328833172613,0.0615328098452496
28.75,0.000868450436292957,2.06773913403085e-05,0.0103283569744841,0.00264670609155949,0.0367850791944088,0.0560770853149167,0.262106612629751,0.380298581530954,0.0337661800587238,0.0765373640461519,0.0581965179272983,7.23708696910798e-05,0.0210806004714445,0,0.0194781026425706,0.0417373144204127
29,0.000455599734923791,0.000220896841175171,0.0106996907444224,0.00146344157278551,0.0171195051910758,0.0243676827921361,0.253216810249613,0.448034018113541,0.0216064722774464,0.0771068036227082,0.0559145129224652,2.76121051468964e-05,0.0192318312348133,0,0.0330931080185553,0.0374420145791915
