"Time","Phocaeicola_A_858004","Faecalibacterium","Gemmiger_A_73129","Anaerostipes","Fusicatenibacter","Blautia_A_141781","Faecalibacillus","Bacteroides_H","Agathobaculum","unknown_Genus_79"
0,3883,5385,501,584,294,552,536,2192,654,13
1,3541,4832,991,1137,465,784,902,1905,446,7
2,4216,4851,1035,886,396,654,681,1827,610,4
3,4759,5523,891,700,320,697,335,1716,508,3
4,5017,6099,765,608,265,741,112,1556,393,3
5,4643,5342,1361,840,245,502,265,1279,371,7
6,7790,3154,791,396,49,203,395,2220,103,1
7,6113,3798,720,812,116,288,823,2175,241,5
8,3421,5107,902,1628,302,473,1247,1760,417,11
9,2604,5685,1172,2183,458,753,1094,478,423,0
10,4692,5654,757,1384,128,310,825,2016,222,0
11,4577,5205,682,836,95,287,596,2921,172,8
12,4498,4859,608,592,102,395,392,3296,149,16
13,2733,5284,904,1811,337,698,1001,1854,695,5
14,5834,4078,638,898,149,427,728,1644,417,0
15,4069,5463,454,1283,145,503,639,1375,130,0
16,4634,4293,618,709,98,508,458,3016,277,3
17,4908,4077,847,840,218,868,1564,1378,254,0
18,4217,5231,1482,1181,142,540,390,1630,278,7
19,3768,5892,1269,1411,154,549,427,1807,238,3
20,3532,6365,892,1523,185,600,540,1966,201,0
21,6965,4016,542,601,272,926,1306,814,237,0
22,5427,4486,755,1580,346,1045,800,448,661,1
23,4110,4923,828,643,276,571,2013,992,620,1
24,3458,4075,818,1137,417,777,1495,2982,284,1
25,3793,5130,1217,325,317,816,1416,2214,496,15
26,141,7542,1469,2187,896,1313,1414,3,1269,0
27,4441,4519,1291,608,328,1077,516,1753,421,7
28,1412,6507,1171,996,717,2666,1119,672,514,17
29,4786,2628,432,1065,375,811,4263,718,161,75
30,4111,3499,953,2732,498,790,1656,377,602,17
31,3860,4544,935,1975,404,957,2002,434,472,8
32,4483,5632,804,758,378,1124,2094,689,308,5
33,3856,5492,928,1413,424,1015,1420,986,373,1
34,4240,4890,734,923,352,1453,635,2424,176,4
35,4897,5122,721,631,420,1222,531,1946,218,2
36,6039,5530,743,522,468,793,455,829,294,4
37,4350,4063,521,793,286,527,1169,1940,1150,6
38,4892,4847,365,1801,489,1102,886,619,964,1
39,7406,3153,413,1069,323,964,365,1218,494,21
40,4651,5502,469,1171,142,941,656,2002,220,12
41,2854,6095,1058,1205,185,1362,294,1927,341,5
42,1925,4975,1444,1953,336,765,590,1290,834,38
43,3411,6090,1145,742,156,291,1169,1736,856,11
44,4299,6249,742,832,258,626,1461,745,552,6
45,4584,6128,619,1000,375,932,1592,157,395,4
46,2639,6771,857,1773,633,1320,1423,72,401,11
47,1411,5393,602,2000,895,1335,3591,96,907,50
48,2533,5379,746,1631,587,1224,2374,407,1073,31
49,4016,5440,922,1173,230,1007,529,1186,1124,6
50,3344,4934,715,1636,452,873,217,2307,614,1
51,2830,5508,952,2058,436,917,379,1784,870,0
52,3333,5953,860,1115,585,1242,753,710,1182,4
53,2446,4752,921,802,590,1336,2686,80,475,0
54,4051,5728,688,1084,266,935,439,2405,217,0
55,2670,3612,831,2208,517,2174,826,1635,511,18
56,2759,3265,896,1939,1068,1512,1355,728,1307,0
57,2281,5734,1384,960,736,1549,1856,627,397,0
58,4395,4526,869,1012,462,1018,1112,1686,185,4
59,2065,4426,1110,1063,1032,1661,1310,830,340,0
60,4136,5172,1246,475,585,902,700,1333,190,6
61,3187,5735,1276,410,204,518,413,3137,286,0
62,2597,5813,1269,336,119,397,313,3814,361,0
63,3258,5212,851,475,285,632,1094,2627,307,1
64,4097,4612,448,628,452,1012,1876,1247,253,5
65,4092,4616,1018,644,444,1284,1805,1082,418,9
66,1705,2880,1661,918,931,2540,2074,1031,436,1
67,4574,4660,504,1136,450,1093,1573,1712,190,0
68,5572,4160,782,449,167,252,756,1976,200,0
69,3424,2525,348,80,107,181,725,1293,1685,101
70,5705,4164,260,1050,264,451,1195,2215,488,40
71,3299,5178,328,1296,336,699,1355,1308,875,7
72,1993,5461,360,1413,433,790,1369,768,1206,0
73,6342,4551,339,292,91,293,404,2110,151,395
74,6649,3711,358,200,109,221,317,2284,122,406
75,5726,2915,553,286,341,463,417,1954,111,340
76,4259,2522,733,457,558,706,684,1341,107,274
77,2869,6879,223,678,408,585,1643,20,305,2020
78,8035,4108,197,333,141,327,289,823,200,612
79,6957,3082,236,365,162,419,420,753,341,2947
80,4205,2144,288,280,143,592,671,413,510,6891
81,697,1252,485,1569,505,1336,2664,32,458,6004
82,1267,1342,505,1376,464,1234,2564,121,437,5751
83,2999,1624,415,1015,335,969,1827,329,434,5168
84,5133,1867,421,518,194,632,973,570,384,4572
85,6750,1787,365,201,65,304,382,782,276,4180
86,6476,1157,168,760,30,152,178,1045,137,4319
87,5860,389,0,1376,8,85,85,1255,53,4505
88,6913,927,0,1076,10,135,117,1166,87,3414
89,4787,1767,0,1581,177,1066,1220,753,215,2036
90,2661,2588,1,2086,344,1959,2296,390,331,1208
91,5359,3024,0,587,102,801,892,588,260,2314
92,5600,3345,0,533,102,615,825,608,250,2208
93,5567,3581,0,415,110,427,806,650,277,2086
94,5381,3836,0,392,100,312,741,796,259,1934
95,5159,3922,0,361,106,294,740,846,283,1776
96,5151,4025,0,357,129,267,673,893,262,1727
97,7894,3533,0,512,119,688,809,1355,181,1004
98,6517,4911,6,416,141,1010,533,986,149,1304
99,5059,4877,28,844,61,1015,896,1083,228,1266
100,6081,4051,27,331,30,449,432,2245,267,839
101,4532,2959,23,225,41,890,465,1769,299,1918
102,3671,3566,146,520,303,1271,1794,569,398,2683
103,7298,2885,45,492,133,556,551,1492,180,1956
104,6221,2369,21,352,50,278,243,1054,78,2947
105,3051,1328,2,12,19,31,90,249,21,4808
106,2276,449,3,5,3,6,22,287,7,7270
107,2110,170,1,2,0,1,11,460,3,8058
108,5238,2189,3,36,3,180,83,3492,71,2111
109,4851,3676,1,78,16,146,199,2752,89,1347
110,4646,4743,1,125,14,136,306,1901,105,924
111,4404,5484,2,137,19,109,373,1236,78,737
112,4262,5563,2,147,18,113,381,1095,96,620
113,5266,1829,0,76,0,2,172,1411,4,1691
114,7364,2565,0,149,13,171,189,2660,71,531
115,4577,5372,3,256,17,373,267,1210,106,1591
116,3947,6944,13,550,42,551,529,1329,249,1474
117,6997,5328,26,314,77,295,465,1446,94,116
118,3168,8266,169,63,50,809,825,2060,496,258
119,6721,3629,77,216,179,608,1215,785,286,1603
120,6550,3097,99,223,168,684,1143,953,363,2045
121,6246,3187,105,199,107,779,752,1153,433,2411
122,5412,3924,103,163,77,769,586,1202,482,2575
123,4180,4302,335,344,508,1312,936,1912,146,1478
124,4952,4436,360,366,372,1073,851,2240,181,882
125,5891,4628,454,399,191,592,739,2518,221,353
126,2166,8355,746,261,265,559,1103,1095,444,559
127,4142,7378,519,681,723,840,617,1132,434,215
128,4707,6949,530,864,654,521,258,1140,390,142
129,5437,6917,237,849,286,387,247,1921,149,113
130,5446,6754,216,843,211,390,230,2156,162,93
131,5380,6348,185,764,170,399,294,2416,150,123
132,5109,5381,221,661,139,459,355,2876,191,143
133,4823,3922,206,400,112,550,436,3701,263,171
134,4705,2991,181,231,103,622,548,3956,319,172
135,5533,4389,108,294,125,519,533,2732,417,206
136,2569,5197,682,2368,435,1269,1179,1741,368,25
137,3823,5138,441,1524,357,1119,763,2310,316,35
138,4755,5341,239,783,210,956,403,2764,300,41
139,3218,6965,452,973,441,1017,668,1857,361,13
140,2364,6977,390,1080,289,1990,1065,1149,568,8
141,2974,5398,214,1177,245,1150,1042,3391,436,0
142,4074,5205,300,721,108,629,262,4050,229,1
143,1315,5558,685,999,331,1642,1523,2282,203,5
144,3250,4361,406,1996,186,869,1142,3046,206,3
145,3790,4829,481,1811,308,1074,1350,1940,343,13
146,4077,5423,560,1585,438,1378,1427,909,430,11
147,3889,4795,642,1259,294,1484,849,2151,665,7
148,4628,5166,451,666,168,843,714,2238,458,34
149,5385,5447,260,266,96,238,609,2281,203,61
150,5213,4872,415,288,87,285,403,3696,129,17
151,3424,6445,566,595,187,533,450,3646,147,2
152,3771,4099,900,682,261,1244,657,2718,239,33
153,2329,5839,932,1466,219,1369,771,1419,268,313
154,2184,2497,748,1427,458,1806,2467,2138,916,348
155,4680,5793,218,420,205,423,602,2581,204,9
156,5235,5160,394,322,94,413,414,2439,102,6
157,5301,5261,438,406,107,442,481,2623,104,8
158,5345,5464,405,468,131,482,516,2793,145,9
159,5248,5537,398,521,71,681,702,2190,400,20
160,3954,5030,576,1140,211,905,701,2281,315,4
161,6153,3372,310,537,100,498,379,3728,340,12
162,5227,4517,582,1098,197,571,495,2552,446,9
163,4336,5858,833,1706,339,733,660,973,549,2
164,5931,4250,217,500,202,587,910,2597,362,32
165,3933,4979,76,140,112,409,542,3975,149,443
166,5274,5809,130,500,82,503,455,2488,170,68
167,5664,6019,168,276,150,465,436,1763,189,13
168,6306,3651,237,279,213,637,457,2309,97,17
169,4481,4269,202,394,111,654,1101,2029,100,414
170,4360,5678,200,1048,364,802,1625,1115,242,452
171,4901,6479,413,743,309,675,767,1489,349,108
172,4276,5375,643,1067,165,1007,780,2379,315,10
173,2321,6028,1081,537,208,513,932,2670,319,6
174,7775,1495,185,68,29,114,97,4658,96,1
175,6478,4012,655,207,172,657,830,2344,103,6
176,861,9426,964,782,266,1608,906,496,262,16
177,5631,3876,1024,671,186,718,1037,1862,358,1
178,2581,5220,934,1964,347,1103,2006,1593,206,5
179,3286,5266,725,2266,333,1417,1079,1565,241,2
180,3856,5073,507,544,244,715,1421,3066,73,0
181,4397,4811,463,1030,144,504,2260,1191,470,2
182,3541,5761,546,728,456,895,2021,1294,356,0
183,3812,5479,673,836,829,1271,2639,305,492,1
184,1920,7095,220,516,411,1838,734,1837,224,5
185,4829,4365,463,794,359,1422,2033,1364,190,55
186,4726,4651,846,410,313,1157,2183,1485,217,32
187,2715,6506,576,442,262,1071,803,2667,185,132
188,2789,5491,1206,667,289,1069,1028,2388,334,51
189,2753,4941,1383,833,301,1043,1296,2384,356,25
190,3347,4119,640,1255,457,920,1994,2429,359,71
191,1516,5918,1053,1333,554,1135,2216,1780,431,24
192,1086,5872,1416,1979,1054,640,3093,127,895,121
193,3380,6382,615,2042,328,1006,453,1660,501,12
194,1904,4438,1872,757,340,1514,1887,1121,890,138
195,2146,4407,1408,674,279,1649,2376,2054,443,71
196,3518,6228,935,632,401,900,1105,1722,221,15
197,28,6547,1015,2847,862,1304,2632,11,853,33
198,4750,5077,1037,1558,630,774,1599,48,556,4
199,3654,4255,928,2583,761,1460,837,67,448,7
200,4838,4501,920,2085,347,732,491,1008,162,4
201,4341,5090,988,1098,432,1262,1193,601,160,3
202,845,9249,508,274,606,2231,935,102,447,29
203,3570,5081,461,528,526,1610,696,2022,230,32
204,8304,2052,266,137,47,124,91,4738,33,0
205,8565,1969,265,234,91,328,139,3861,56,1
206,9505,971,209,99,31,93,78,4335,33,0
207,4605,5768,417,1063,210,1084,483,1608,203,4
208,4322,6069,565,1000,202,1132,687,1552,267,4
209,4297,6094,561,870,130,1125,919,1631,355,1
210,5814,4122,382,627,115,762,752,3097,155,12
211,2536,5112,319,802,177,2297,907,2453,222,7
212,4354,4488,447,833,129,1494,402,2626,223,0
213,3687,5575,490,1619,135,1484,432,2351,163,0
214,3470,5715,673,1325,208,1195,282,3256,125,1
215,5680,5524,555,269,206,895,257,1915,188,2
216,4127,5651,1019,548,445,1411,342,942,203,6
217,2576,5815,1484,1015,685,2124,557,389,210,11
218,3422,5354,883,1392,434,2376,1181,677,178,3
219,1699,6461,896,762,381,2469,449,2112,77,2
220,2488,6561,1275,587,276,1603,1039,1476,90,3
221,2746,6942,835,1141,511,1751,569,965,171,0
222,3283,2926,617,1862,1035,2922,1557,337,269,12
