"Time","G","B","R"
0,1,1.5,0.25
1,0.191468866455802,0.808143058427265,0.506079496134491
2,0.095897775274098,0.249572542498298,0.353324710583367
3,0.125453914772805,0.0900476325552633,0.174670062387196
4,0.240411181870291,0.0423093762095387,0.0852626525813032
5,0.507460889980844,0.0280389166022049,0.0479771012281872
6,1.00228144815731,0.0283083083304607,0.0340395659073844
7,1.65515587789262,0.0416389792658708,0.0303164883607062
8,2.20456523947806,0.0773381811776952,0.031769712756494
9,2.46973532678507,0.159191608078137,0.0375285301320699
10,2.43514367950639,0.332908735996661,0.050886124215757
11,2.07607576186891,0.652559928284977,0.0858223474450911
12,1.33624064881546,1.02489913069632,0.190629446300417
13,0.540211818691017,0.907923895064185,0.396712737028014
14,0.245862268057546,0.414868570343164,0.412702130156789
15,0.234592442729663,0.172667243419742,0.263422778097008
16,0.358697847144575,0.0902132020124986,0.152905013004095
17,0.644485714977648,0.0661798799692473,0.0987324797081205
18,1.11873673844219,0.0708338798585444,0.0775842142981229
19,1.66844778729119,0.103312769453767,0.0742173814313667
20,2.06358985910851,0.179965363122506,0.0833883570038822
21,2.15842320942096,0.330860770207065,0.109220544317035
22,1.91436793817541,0.572267787379169,0.172273698057225
23,1.35269130552623,0.785771318457374,0.322304195926659
24,0.736639055563282,0.659094593031968,0.538301579380325
25,0.438664124453657,0.334299557652655,0.552205515920279
26,0.414483422168486,0.15780369363034,0.396545258314363
27,0.561937674705777,0.0935651919201357,0.266336346385968
28,0.874174359113576,0.0767337361815937,0.197296087587179
29,1.31778662319244,0.0862874011578036,0.171323199667066
30,1.75268782109775,0.121773503572937,0.173119571459825
31,2.01423441862813,0.191822186828369,0.198406543345557
32,2.03110462355772,0.302390558662276,0.255048034274773
33,1.81141247111731,0.426947884953538,0.36402896094424
34,1.42620239825076,0.471929639831266,0.537153809448141
35,1.04188465131313,0.367750011328141,0.692861191414022
36,0.819831993806994,0.219361292418749,0.697367611442865
37,0.787811819537081,0.12729868357426,0.588127364884701
38,0.912335353231949,0.0862239608570021,0.475495061782683
39,1.15738585884777,0.0726741464538792,0.403896137291784
40,1.46229486828488,0.0748666677747577,0.373567949395549
41,1.73799135153605,0.0885389945793405,0.375346203900259
42,1.91289958577958,0.11154759076835,0.402642208862793
43,1.96589451655143,0.139903604654438,0.452588174217981
44,1.91415345010233,0.165096688399992,0.522853251623173
45,1.79224873051787,0.175506526295953,0.605606118845198
46,1.64268221710622,0.164356992330029,0.682589613837131
47,1.50807812779416,0.137022234435545,0.730853871035688
48,1.42006237938114,0.106187755005675,0.739244451252181
49,1.39255828979512,0.0809992227278141,0.716128566195868
50,1.42311752374217,0.0638163015910745,0.679606766362786
51,1.49765659920661,0.053354415762573,0.644972184950139
52,1.59543800732569,0.047613674073012,0.620196979677483
53,1.69472702258174,0.0449391472436593,0.607350271805026
54,1.7785327289258,0.0441145215436886,0.605295450184964
55,1.83789918583156,0.0442270602964284,0.611607750617316
56,1.87154277963653,0.0445667932991714,0.623543066203552
57,1.88325255559365,0.0446019564584574,0.638440039579675
58,1.87911450266245,0.0439995435971345,0.653903277923754
59,1.86557511287383,0.0426426319345252,0.667952069125289
60,1.84836582068732,0.0406089764523548,0.679173016213672
