"Time","Cnidaria","Chordata"
1,79.2,1080
21,157.2,773
37,21.33333333,1604
54,0.9375,1536
65,19.33333333,1116
79,1543.75,1783
97,98,347
113,16.13333333,939
127,263.7333333,1085
140,100.625,840
154,109.5333333,1044
175,19.6,1221
189,15.6,178
209,78.75,60
215,17.46666667,69
225,1.75,51
242,1.066666667,34
254,0.307692308,74
283,0.066666667,20
295,0.125,23
308,1.133333333,38
316,1.466666667,74
340,0.933333333,74
353,2.875,50
366,8,151
388,2.333333333,114
399,0.666666667,241
419,0,441
426,0.666666667,1051
446,2.5625,1489
462,11.13333333,1239
480,22.73333333,282
491,24.66666667,749
505,40.4375,271
526,8.866666667,407
538,11.53333333,283
547,30.53333333,1234
565,0.9375,40
579,13.46666667,44
594,0.375,41
605,0.066666667,49
620,0.071428571,16
642,0.066666667,12
656,0,14
671,0,34
693,1.066666667,79
709,0.066666667,94
723,0.25,139
729,0.066666667,51
749,0.466666667,89
761,0.133333333,145
783,0.0625,238
789,2.133333333,827
813,1.3125,947
830,2.066666667,1045
845,2.666666667,1974
859,0.2,1439
876,0,536
887,0,637
901,0,377
922,0,476
938,0,103
945,0,117
955,0,142
978,0,26
985,0,51
1013,0.266666667,28
1027,0,19
1035,0.533333333,26
1052,0.2,105
1063,4.133333333,242
1087,8.5,578
1097,1.933333333,366
1112,6.333333333,362
1128,4.133333333,1182
1147,1.5,2389
1155,1.066666667,1042
1171,18.875,1011
1183,172.9333333,831
1204,52.93333333,795
1221,22.86666667,606
1238,5.125,616
1244,34.66666667,246
1268,36.2,364
1274,22.06666667,438
1301,0.0625,36
1314,0,44
1331,0,56
1345,0,30
1357,0,24
1371,0,47
1387,0,12
1410,1.733333333,51
1422,1.066666667,245
1436,0.466666667,19
1450,2.625,1699
1462,0.266666667,426
1475,0.666666667,162
1498,2.933333333,409
1513,0,749
1526,0.466666667,207
1541,2.5,1270
1548,1.133333333,1112
1572,23.53333333,570
1586,1.4,400
1604,6.9375,227
1617,11.53333333,221
1630,0,679
1643,0,1533
1659,0,3374
1674,0,64
1685,0,85
1701,0,13
1721,0,30
1738,0,24
1749,0.125,7
1770,0,47
1779,0.333333333,77
1803,2.533333333,91
1811,0.25,69
1824,0.933333333,275
1841,0,334
1863,0,78
1877,0.6875,135
1894,1.666666667,675
1905,2.75,593
1919,4.4,1428
1933,21.53333333,671
1951,8.066666667,722
1960,12.375,776
1981,1.8,240
1990,6.133333333,366
2007,29.6,645
2023,40.3125,742
2041,2.2,1352
2054,0.1875,510
2071,0.066666667,57
2090,0,27
2101,0.2,51
2112,0.0625,31
2134,0,36
2147,0.133333333,93
2163,4.266666667,109
2177,2.375,756
2193,0.466666667,333
2204,0.2,275
2219,0.2,1239
2241,0.3125,825
2253,1.866666667,2011
2278,25.25,677
2290,12.46666667,932
2302,15.86666667,538
2314,85,849
2324,172,279
2344,33.66666667,115
2365,223.8,556
2371,7.4,345
2389,37.1875,4626
2408,0.266666667,78
2420,2.125,55
2442,1,62
2459,0.076923077,114
2471,4.2,217
2480,40.75,34
2493,2.066666667,18
2519,2,178
2531,4,591
2540,28.75,236
2563,37.13333333,625
2576,49.26666667,271
2584,14.4,2061
2610,70.375,393
2628,10.33333333,380
2641,4.625,592
2646,101.8,208
2667,31.33333333,475
2678,3.666666667,1010
2694,212.5,380
2709,29,523
2731,0.533333333,258
2736,226.6666667,2295
2763,0,40
2777,0,74
2790,0,3
2798,0,22
2813,0,110
2827,0,21
2854,0,30
2861,0.4,305
2881,0,415
2894,0.133333333,186
2913,0,127
2925,0.466666667,175
2940,0,219
2954,0,378
2967,0.9375,472
2987,1,1672
2996,4.9375,893
3015,5.6,1106
3025,42.4,589
3045,2.133333333,675
3058,26.4375,780
3073,50.4,203
3095,3.666666667,71
3104,0,76
3126,0.0625,35
3134,0.066666667,40
3148,0.0625,45
3165,0.266666667,81
3176,0.153846154,32
3190,0.4,23
3212,0.1875,5
3225,0.533333333,25
3248,0.333333333,44
3252,2.4,71
3281,3.875,26
3288,0.933333333,138
3302,0.133333333,395
3312,8.133333333,484
3333,2.3125,462
3346,7.066666667,194
3366,2.8125,1683
3379,42.8,1075
3389,15.73333333,585
3414,13.86666667,79
3420,25.9375,323
3436,1.6,90
3458,1.466666667,32
3477,3.8,69
3492,0.1875,51
3505,0.066666667,23
3511,1.25,25
3536,1.933333333,7
3546,0.071428571,33
3561,0.266666667,52
3574,0,24
3592,1.466666667,31
3611,0.333333333,41
3630,0.066666667,100
3638,22.5625,71
3654,21.2,304
3665,1,427
3687,0.133333333,308
3702,2.0625,1078
3717,5.066666667,877
3731,9.1875,582
3743,15,1252
3759,1371,920
3774,33.8,610
3794,2,512
3808,33,639
3816,14,452
3833,35.66666667,382
3847,1.625,173
3869,7.533333333,238
3890,0,43
3896,11.46666667,96
3918,0.923076923,33
3926,1,25
3941,13.875,23
3956,2.4,52
3973,4.133333333,159
3990,2.933333333,74
4005,1.3125,339
4022,15.33333333,116
4029,13.73333333,272
4050,4.733333333,380
4068,7.375,1249
4086,4.4,1542
4095,20.25,827
4118,0.733333333,554
4131,0.133333333,94
4140,3.266666667,376
4156,0,451
4171,0,446
4187,0,63
4198,0,54
4221,0,10
4233,0,29
4249,0,20
4270,0,153
4281,0,3
4289,0,6
4309,0.25,11
4318,0.666666667,11
