"Time","Pasteurellaceae","Veillonellaceae","Streptococcaceae","Moraxellaceae","Caulobacteraceae","Bacteroidaceae","Lactobacillaceae","Burkholderiaceae_A_592522","Ruminococcaceae","Lachnospiraceae","Coprobacillaceae","Peptostreptococcaceae_256921","Acutalibacteraceae","Acidaminococcaceae","Butyricicoccaceae","Eggerthellaceae","Muribaculaceae","UBA1381","Rikenellaceae","Bifidobacteriaceae","CAG-274","Clostridiaceae_222000","Desulfovibrionaceae","Anaerovoracaceae","Peptoniphilaceae","Enterobacteriaceae_A","Tannerellaceae","Bacteria_Kingdom","Gammaproteobacteria_Class","Oscillospiraceae_88309","Anaerotignaceae","Turicibacteraceae","Clostridia_258483_Class","Fusobacteriaceae_993521","Erysipelotrichaceae","Oscillospirales_Order","Burkholderiaceae_A_595427"
0,0.00188888888888889,0.00266666666666667,0.000388888888888889,0.000111111111111111,0,0.337555555555556,0.00111111111111111,5.55555555555556e-05,0.327222222222222,0.160555555555556,0.0298888888888889,0.000833333333333333,0.00477777777777778,0.0296666666666667,0.0363333333333333,0.00983333333333333,0.000555555555555556,0.00894444444444444,0.000944444444444444,0.00161111111111111,0.0045,0.000166666666666667,0.00211111111111111,0.000444444444444444,5.55555555555556e-05,0.000833333333333333,0.0242777777777778,0.000777777777777778,0.00411111111111111,0.00522222222222222,0.000388888888888889,0,5.55555555555556e-05,0,0.00133333333333333,0,0
1,0.00183333333333333,0.00272222222222222,0.0015,0.000111111111111111,0,0.302666666666667,0.000166666666666667,0.000166666666666667,0.323555555555556,0.2245,0.0501111111111111,0.00116666666666667,0.00377777777777778,0.015,0.0247777777777778,0.00755555555555556,5e-04,0.0131111111111111,0.000888888888888889,0.00444444444444444,0.00266666666666667,5.55555555555556e-05,0.000333333333333333,0.000277777777777778,5.55555555555556e-05,0,0.0065,0.000833333333333333,0.00366666666666667,0.00511111111111111,0.000277777777777778,0,0.000111111111111111,0,0.000555555555555556,5.55555555555556e-05,0
2,0.00194444444444444,0.00155555555555556,0.000722222222222222,0.000166666666666667,0,0.335777777777778,0.000277777777777778,0,0.327277777777778,0.2025,0.0378333333333333,0.00383333333333333,0.00211111111111111,0.0141111111111111,0.0338888888888889,0.00338888888888889,0.000555555555555556,0.0119444444444444,0.000333333333333333,0.0045,0.00511111111111111,5.55555555555556e-05,0.000277777777777778,0.000222222222222222,5.55555555555556e-05,0,0.0035,0.000222222222222222,0.00361111111111111,0.00266666666666667,0.000722222222222222,0.000166666666666667,0,0,0.000333333333333333,5.55555555555556e-05,0
3,0.000996677740863787,0.000996677740863787,0.000553709856035437,5.53709856035437e-05,0,0.358582502768549,0.000276854928017719,0,0.35531561461794,0.175692137320044,0.0185492801771872,0.00249169435215947,0.00243632336655592,0.0158361018826135,0.0281284606866002,0.00326688815060908,0.000276854928017719,0.0124031007751938,0.000276854928017719,0.00592469545957918,0.00897009966777409,0.000110741971207087,0.000110741971207087,0.000110741971207087,5.53709856035437e-05,0,0.00326688815060908,0.000166112956810631,0.00193798449612403,0.00188261351052049,0.000387596899224806,5.53709856035437e-05,0,0,0.000276854928017719,0,0
4,5.55555555555556e-05,0.000833333333333333,0.000777777777777778,0,0,0.365222222222222,5e-04,5.55555555555556e-05,0.381444444444444,0.155666666666667,0.00627777777777778,0.000722222222222222,0.00383333333333333,0.0177222222222222,0.0218333333333333,0.004,0,0.0136111111111111,0.000277777777777778,0.00738888888888889,0.0115555555555556,0.000277777777777778,5.55555555555556e-05,0.000111111111111111,0.000111111111111111,0,0.00344444444444444,0.000222222222222222,0.000388888888888889,0.00188888888888889,0.000111111111111111,0,0,0,0.000277777777777778,0,0
5,0.000166666666666667,0.00133333333333333,0.00427777777777778,0,0,0.329055555555556,5e-04,0.000166666666666667,0.372722222222222,0.141666666666667,0.0147777777777778,0,0.0143333333333333,0.0113333333333333,0.0206111111111111,0.0389444444444444,0.00161111111111111,0.0152777777777778,0.002,0.00477777777777778,0.00405555555555556,5.55555555555556e-05,0.000888888888888889,0.000666666666666667,0,0,0.00872222222222222,5e-04,5e-04,0.00733333333333333,0.000777777777777778,0,0.000777777777777778,0,0.000611111111111111,0.000777777777777778,0
6,0.0132777777777778,0.00422222222222222,0.000388888888888889,5.55555555555556e-05,0,0.556111111111111,0.000166666666666667,0.001,0.219944444444444,0.0856666666666667,0.0219444444444444,0.000777777777777778,0.002,0.0174444444444444,0.00572222222222222,0.00261111111111111,0.00716666666666667,0.028,0.00244444444444444,0.00144444444444444,0.002,0.000166666666666667,0.00127777777777778,0.000111111111111111,0,0,0.0172777777777778,5.55555555555556e-05,0.001,0.00544444444444444,0.000166666666666667,0,5.55555555555556e-05,0,0.000777777777777778,5.55555555555556e-05,0
7,0.00744444444444444,0.00422222222222222,0.00105555555555556,0.000666666666666667,0,0.460444444444444,0.000333333333333333,0.00127777777777778,0.2515,0.122555555555556,0.0457222222222222,0.000444444444444444,0.00361111111111111,0.0153888888888889,0.0133888888888889,0.00561111111111111,0.00466666666666667,0.0231666666666667,0.00305555555555556,0.00333333333333333,0.00927777777777778,5.55555555555556e-05,0.00144444444444444,0,0,0,0.0128333333333333,0.000277777777777778,0.000888888888888889,0.00455555555555556,0.000166666666666667,0,5.55555555555556e-05,0,0.000777777777777778,5.55555555555556e-05,0
8,0.00161111111111111,0.00255555555555556,0.00266666666666667,0.00116666666666667,0,0.288,0.000833333333333333,0.00216666666666667,0.334,0.193888888888889,0.0692777777777778,5.55555555555556e-05,0.0045,0.00916666666666667,0.0231666666666667,0.00833333333333333,0.00155555555555556,0.0174444444444444,0.00177777777777778,0.007,0.0184444444444444,0,0.00188888888888889,0.000166666666666667,0.000111111111111111,0,0.00427777777777778,0.000666666666666667,5e-04,0.00233333333333333,0.000388888888888889,5.55555555555556e-05,0.000111111111111111,0,0.000388888888888889,0,0
9,0.00288888888888889,0.00688888888888889,0.0025,0.000388888888888889,0.000277777777777778,0.171222222222222,0.000388888888888889,0.000444444444444444,0.380944444444444,0.294611111111111,0.0607777777777778,0.000111111111111111,0.001,0.00344444444444444,0.0235,0.00944444444444444,0.000111111111111111,0.0207777777777778,0.000277777777777778,0.007,0.009,0.000111111111111111,0,0.000111111111111111,0,0,0.000111111111111111,0,5.55555555555556e-05,0.00127777777777778,0.000777777777777778,0.000222222222222222,0,0,0.000222222222222222,5.55555555555556e-05,0
