"Time","Enterobacterales_A_737866","Veillonellales","Lactobacillales","Pseudomonadales_660879","Caulobacterales","Bacteroidales","Burkholderiales_592522","Oscillospirales","Lachnospirales","Erysipelotrichales","Peptostreptococcales","Acidaminococcales","Coriobacteriales","UBA1381","Actinomycetales","Clostridiales","Desulfovibrionales","Tissierellales","Bacteria_Kingdom","Campylobacterales","Gammaproteobacteria_Class","Haloplasmatales_A","Clostridia_258483_Class","Fusobacteriales_993521","Burkholderiales_595427"
0,0.00272222222222222,0.00266666666666667,0.00155555555555556,0.000111111111111111,0,0.363888888888889,5.55555555555556e-05,0.373555555555556,0.165444444444444,0.0312222222222222,0.00127777777777778,0.0296666666666667,0.00983333333333333,0.00894444444444444,0.00161111111111111,0.000166666666666667,0.00211111111111111,5.55555555555556e-05,0.000777777777777778,0,0.00411111111111111,0,5.55555555555556e-05,0,0
1,0.00183333333333333,0.00272222222222222,0.00177777777777778,0.000111111111111111,0,0.311,0.000166666666666667,0.357277777777778,0.227444444444444,0.0506666666666667,0.00144444444444444,0.015,0.00755555555555556,0.0131111111111111,0.00444444444444444,5.55555555555556e-05,0.000333333333333333,5.55555555555556e-05,0.000833333333333333,5.55555555555556e-05,0.00366666666666667,0,0.000111111111111111,0,0
2,0.00194444444444444,0.00155555555555556,0.00105555555555556,0.000166666666666667,0,0.340222222222222,0,0.366,0.208333333333333,0.0381666666666667,0.00405555555555556,0.0141111111111111,0.00338888888888889,0.0119444444444444,0.0045,5.55555555555556e-05,0.000277777777777778,5.55555555555556e-05,0.000222222222222222,5.55555555555556e-05,0.00361111111111111,0.000166666666666667,0,0,0
3,0.000996677740863787,0.000996677740863787,0.000830564784053156,5.53709856035437e-05,0,0.362569213732004,0,0.387763012181617,0.185326688815061,0.0188261351052049,0.00260243632336656,0.0158361018826135,0.00326688815060908,0.0124031007751938,0.00592469545957918,0.000110741971207087,0.000110741971207087,5.53709856035437e-05,0.000166112956810631,0,0.00193798449612403,5.53709856035437e-05,0,0,0
4,5.55555555555556e-05,0.000833333333333333,0.00133333333333333,0,0,0.369333333333333,5.55555555555556e-05,0.409,0.167944444444444,0.00655555555555555,0.000833333333333333,0.0177222222222222,0.004,0.0136111111111111,0.00738888888888889,0.000277777777777778,5.55555555555556e-05,0.000111111111111111,0.000222222222222222,0,0.000388888888888889,0,0,0,0
5,0.000166666666666667,0.00133333333333333,0.00477777777777778,0,0,0.341444444444444,0.000166666666666667,0.415777777777778,0.1465,0.0153888888888889,0.000666666666666667,0.0113333333333333,0.0389444444444444,0.0152777777777778,0.00477777777777778,5.55555555555556e-05,0.000888888888888889,0,5e-04,0,5e-04,0,0.000777777777777778,0,0
6,0.0132777777777778,0.00422222222222222,0.000555555555555556,5.55555555555556e-05,0,0.583277777777778,0.001,0.233166666666667,0.0878333333333333,0.0227222222222222,0.000888888888888889,0.0174444444444444,0.00261111111111111,0.028,0.00144444444444444,0.000166666666666667,0.00127777777777778,0,5.55555555555556e-05,0,0.001,0,5.55555555555556e-05,0,0
7,0.00744444444444444,0.00427777777777778,0.00138888888888889,0.000666666666666667,0,0.481388888888889,0.00127777777777778,0.273111111111111,0.132,0.0465,0.000444444444444444,0.0153888888888889,0.00566666666666667,0.0231666666666667,0.00338888888888889,5.55555555555556e-05,0.00144444444444444,0,0.000277777777777778,5.55555555555556e-05,0.000888888888888889,0,5.55555555555556e-05,0,0
8,0.00161111111111111,0.00261111111111111,0.0035,0.00116666666666667,0,0.295777777777778,0.00216666666666667,0.364,0.212722222222222,0.0696666666666667,0.000222222222222222,0.00916666666666667,0.00833333333333333,0.0174444444444444,0.007,0,0.00188888888888889,0.000111111111111111,0.000666666666666667,0,5e-04,5.55555555555556e-05,0.000111111111111111,0,0
9,0.00288888888888889,0.00688888888888889,0.00288888888888889,0.000388888888888889,0.000277777777777778,0.171722222222222,0.000444444444444444,0.406777777777778,0.304388888888889,0.061,0.000222222222222222,0.00344444444444444,0.00944444444444444,0.0207777777777778,0.007,0.000111111111111111,0,0,0,0,5.55555555555556e-05,0.000222222222222222,0,0,0
