"Time","Veillonellaceae","Streptococcaceae","Moraxellaceae","Dialisteraceae","Lactobacillaceae","Burkholderiaceae_A_592522","Bacteroidaceae","Lachnospiraceae","Ruminococcaceae","Coprobacillaceae","Peptostreptococcaceae_256921","Oscillospiraceae_88309","Acidaminococcaceae","Butyricicoccaceae","Eggerthellaceae","Muribaculaceae","Clostridia_258483_Class","UBA1381","CAG-138","CAG-74","Anaerotignaceae","UBA660","Xanthomonadaceae_616009","Gammaproteobacteria_Class","Rikenellaceae","Monoglobaceae","Akkermansiaceae","Enterobacteriaceae_A","Bacteria_Kingdom","Clostridiaceae_222000","Erysipelotrichaceae","Acutalibacteraceae","Anaerovoracaceae","CAG-272","Oscillospirales_Order","CAG-382","Peptoniphilaceae","CAG-508","Massilibacillaceae"
0,0,0.000111111111111111,5.55555555555556e-05,0,0.000277777777777778,0,0.462444444444444,0.14,0.109833333333333,0.0101666666666667,5.55555555555556e-05,0.0775555555555556,0.0220555555555556,0.004,0.0035,0.0309444444444444,0.00766666666666667,0.000777777777777778,0.00616666666666667,0.00177777777777778,0.00377777777777778,0.0233888888888889,0,0,0.0327777777777778,0.000222222222222222,0.000222222222222222,0.000111111111111111,0.00511111111111111,0,0.000277777777777778,0.0515555555555556,0.00133333333333333,0.000277777777777778,0.00194444444444444,0.000277777777777778,0,0.000388888888888889,0
1,0,0.000166666666666667,5.55555555555556e-05,0,5.55555555555556e-05,0,0.536833333333333,0.153111111111111,0.126833333333333,0.00388888888888889,0.000111111111111111,0.0447777777777778,0.0311666666666667,0.00316666666666667,0.00288888888888889,0.0224444444444444,0.0025,0.000777777777777778,0.000611111111111111,0.000888888888888889,0.00238888888888889,0.00816666666666667,0,0,0.0363888888888889,0.000611111111111111,0,0,0.00688888888888889,5.55555555555556e-05,0.000333333333333333,0.0100555555555556,0.00127777777777778,0.000277777777777778,0.00155555555555556,0.000222222222222222,0,0.000888888888888889,0
2,5.55555555555556e-05,0,0,0,0.000166666666666667,0.000277777777777778,0.635666666666667,0.129166666666667,0.0841666666666667,0.00244444444444444,0.000222222222222222,0.0351111111111111,0.0221111111111111,0.00194444444444444,0.00211111111111111,0.0317222222222222,0.00133333333333333,5e-04,0.000611111111111111,0.000611111111111111,0.00177777777777778,0.00555555555555556,0,0,0.0313333333333333,0.000111111111111111,0,0,0.00327777777777778,0,0.000388888888888889,0.00627777777777778,0.000611111111111111,0.000111111111111111,0.000611111111111111,5.55555555555556e-05,0,0.00105555555555556,0
3,0,0.000111111111111111,5.55555555555556e-05,0,0.000111111111111111,0,0.544222222222222,0.147111111111111,0.122388888888889,0.00744444444444444,0.000111111111111111,0.0468333333333333,0.0218888888888889,0.00411111111111111,0.00188888888888889,0.03,0.00111111111111111,0.002,0.00144444444444444,0.000666666666666667,0.001,0.00922222222222222,0,0,0.0244444444444444,0.000666666666666667,5.55555555555556e-05,0,0.00316666666666667,0,0.000222222222222222,0.0243333333333333,0.000888888888888889,5.55555555555556e-05,0.00155555555555556,0.000111111111111111,0,0.00222222222222222,0
4,0,0,0,0,0,0.000277777777777778,0.614055555555556,0.186166666666667,0.0345555555555556,0.00105555555555556,0,0.0255,0.0256111111111111,0.001,0.000888888888888889,0.0328333333333333,0.000722222222222222,0.000222222222222222,0.000666666666666667,0.000111111111111111,0.00127777777777778,0.00944444444444444,0,0,0.0285,5.55555555555556e-05,0,0,0.00283333333333333,0,0.000277777777777778,0.0311666666666667,0.000388888888888889,0.000277777777777778,0.000333333333333333,0.000166666666666667,0,0.00122222222222222,0
5,0,0,5.55555555555556e-05,5.55555555555556e-05,0.000388888888888889,0.000222222222222222,0.489222222222222,0.140388888888889,0.100611111111111,0.0055,0.000111111111111111,0.0573333333333333,0.0270555555555556,0.00305555555555556,0.00255555555555556,0.0345555555555556,0.00116666666666667,0.00116666666666667,0.00183333333333333,0.00111111111111111,0.0015,0.0305,0.000166666666666667,5.55555555555556e-05,0.029,0.000444444444444444,5.55555555555556e-05,5.55555555555556e-05,0.00355555555555556,0,0.000333333333333333,0.0612222222222222,5e-04,0.000333333333333333,0.00177777777777778,0.000555555555555556,0.000277777777777778,0.00233333333333333,0
6,0,0,5.55555555555556e-05,0,0,0.001,0.6785,0.0899444444444444,0.0586666666666667,0.00166666666666667,5.55555555555556e-05,0.0383333333333333,0.0247222222222222,0.00161111111111111,0.00205555555555556,0.0271111111111111,0.000666666666666667,0.000333333333333333,0.000333333333333333,5e-04,0.00227777777777778,0.00922222222222222,0.000333333333333333,0,0.0273888888888889,0.000444444444444444,0,0,0.00405555555555556,0,0.000166666666666667,0.0273333333333333,0.000333333333333333,5.55555555555556e-05,0.000777777777777778,0.000388888888888889,0,0.001,0
7,0,0,0,0,0.000166666666666667,0,0.613388888888889,0.167111111111111,0.0638333333333333,0.00177777777777778,0,0.0367777777777778,0.0261111111111111,0.00411111111111111,0.002,0.0278888888888889,0.000444444444444444,0.000555555555555556,0.000388888888888889,0.000333333333333333,0.00138888888888889,0.0100555555555556,0,0,0.0195,0.000277777777777778,0,0,0.00311111111111111,0,0.000111111111111111,0.0176666666666667,0.000277777777777778,0.000166666666666667,0.000833333333333333,5.55555555555556e-05,0,0.000888888888888889,0
8,5.55555555555556e-05,0.000111111111111111,0,0,0.000333333333333333,0,0.529777777777778,0.145944444444444,0.163666666666667,0.00561111111111111,0.00105555555555556,0.0411666666666667,0.0158333333333333,0.01,0.00194444444444444,0.0284444444444444,0.00277777777777778,0.00216666666666667,0.000666666666666667,0.000611111111111111,0.00144444444444444,0.00566666666666667,0,0,0.0121111111111111,0.000277777777777778,0,0,0.00322222222222222,0,0.000388888888888889,0.0227222222222222,0.0015,5e-04,0.001,0,5.55555555555556e-05,0.000444444444444444,0
9,0,0,5.55555555555556e-05,0,0.000166666666666667,0,0.612611111111111,0.0666111111111111,0.0873888888888889,0.002,5.55555555555556e-05,0.0464444444444444,0.0202222222222222,0.00422222222222222,0.00161111111111111,0.0396666666666667,0.00111111111111111,0.000777777777777778,0.000388888888888889,0.000277777777777778,0.00166666666666667,0.0152222222222222,0,0,0.0222222222222222,0.000222222222222222,0,0,0.00405555555555556,0,0.000277777777777778,0.0694444444444444,0.00166666666666667,0.000333333333333333,0.000722222222222222,0,0,0.000166666666666667,0
