"Time","Enterobacterales_A_737866","Veillonellales","Pseudomonadales_660879","Rhizobiales_A_504705","Lactobacillales","Burkholderiales_592522","Bacteroidales","Lachnospirales","Oscillospirales","Erysipelotrichales","Acidaminococcales","Coriobacteriales","Clostridia_258483_Class","UBA1381","Actinomycetales","Christensenellales","RF39","Xanthomonadales_616009","Gammaproteobacteria_Class","Monoglobales","Verrucomicrobiales","Bacteria_Kingdom","Clostridiales","Peptostreptococcales","Tissierellales","TANB77","Selenomonadales"
0,0.000111111111111111,0,5.55555555555556e-05,0,0.000388888888888889,0,0.526277777777778,0.143888888888889,0.245777777777778,0.0104444444444444,0.0220555555555556,0.0035,0.00766666666666667,0.000777777777777778,0,0.00805555555555556,0.0233888888888889,0,0,0.000222222222222222,0.000222222222222222,0.00511111111111111,0,0.00138888888888889,0,0.000388888888888889,0
1,0,0,5.55555555555556e-05,0,0.000222222222222222,0,0.595722222222222,0.155555555555556,0.187222222222222,0.00422222222222222,0.0311666666666667,0.00288888888888889,0.0025,0.000777777777777778,0,0.00155555555555556,0.00816666666666667,0,0,0.000611111111111111,0,0.00688888888888889,5.55555555555556e-05,0.00138888888888889,0,0.000888888888888889,0
2,0,5.55555555555556e-05,0,0,0.000166666666666667,0.000277777777777778,0.698777777777778,0.131,0.128333333333333,0.00283333333333333,0.0221111111111111,0.00211111111111111,0.00133333333333333,5e-04,5.55555555555556e-05,0.00155555555555556,0.00555555555555556,0,0,0.000111111111111111,0,0.00327777777777778,0,0.000833333333333333,0,0.00105555555555556,0
3,0,0,5.55555555555556e-05,0,0.000222222222222222,0,0.598722222222222,0.148222222222222,0.1995,0.00766666666666667,0.0218888888888889,0.00188888888888889,0.00111111111111111,0.002,0,0.00233333333333333,0.00922222222222222,0,0,0.000666666666666667,5.55555555555556e-05,0.00316666666666667,0,0.001,0,0.00222222222222222,0
4,0,0,0,0,0,0.000277777777777778,0.675388888888889,0.1875,0.0932222222222222,0.00133333333333333,0.0256111111111111,0.000888888888888889,0.000722222222222222,0.000222222222222222,0,0.000777777777777778,0.00944444444444444,0,0,5.55555555555556e-05,0,0.00283333333333333,0,0.000388888888888889,0,0.00122222222222222,0
5,0.000111111111111111,5.55555555555556e-05,5.55555555555556e-05,0,0.000388888888888889,0.000222222222222222,0.553,0.141944444444444,0.225111111111111,0.00583333333333333,0.0270555555555556,0.00255555555555556,0.00116666666666667,0.00116666666666667,0,0.00294444444444444,0.0305,0.000166666666666667,5.55555555555556e-05,0.000444444444444444,5.55555555555556e-05,0.00355555555555556,0,0.000611111111111111,0.000277777777777778,0.00233333333333333,0
6,0,0,5.55555555555556e-05,0,0,0.001,0.733,0.0923333333333333,0.127333333333333,0.00183333333333333,0.0247222222222222,0.00205555555555556,0.000666666666666667,0.000333333333333333,0,0.000944444444444444,0.00922222222222222,0.000333333333333333,0,0.000444444444444444,0,0.00405555555555556,0,0.000388888888888889,0,0.001,0
7,0.000111111111111111,0,0,0,0.000166666666666667,0,0.660833333333333,0.168611111111111,0.123611111111111,0.00188888888888889,0.0261111111111111,0.002,0.000444444444444444,0.000555555555555556,0,0.000944444444444444,0.0100555555555556,0,0,0.000277777777777778,0,0.00311111111111111,0,0.000277777777777778,0,0.000888888888888889,0
8,0.000111111111111111,5.55555555555556e-05,0,0,5e-04,0,0.570333333333333,0.1475,0.239111111111111,0.006,0.0158333333333333,0.00194444444444444,0.00277777777777778,0.00216666666666667,0,0.00138888888888889,0.00566666666666667,0,0,0.000277777777777778,5.55555555555556e-05,0.00322222222222222,0,0.00255555555555556,5.55555555555556e-05,0.000444444444444444,0
9,0,0,5.55555555555556e-05,0,0.000166666666666667,0,0.6745,0.0683333333333333,0.208611111111111,0.00227777777777778,0.0202222222222222,0.00161111111111111,0.00111111111111111,0.000777777777777778,0,0.000833333333333333,0.0152222222222222,0,0,0.000222222222222222,0,0.00405555555555556,0,0.00172222222222222,0,0.000166666666666667,0
