"Time","Bacteroidia","Clostridia_258483","Negativicutes","Gammaproteobacteria","Bacilli","Desulfovibrionia","Fusobacteriia","Verrucomicrobiae","Bacteria_Kingdom","Coriobacteriia"
1,0.801444444444444,0.0701111111111111,0.000333333333333333,0.000166666666666667,0.000277777777777778,0.00644444444444444,0,0.00172222222222222,0.1195,0
2,0.677851221151692,0.127772798565987,0.00851445216222272,5.60161326462021e-05,0.000560161326462021,0.00672193591754425,0,0.0191015012323549,0.159421913511091,0
3,0.595839945590569,0.163738381319429,0.0185898889140784,0,0.000736794377692133,0.00714123781455452,0,0.0366130129222399,0.177340739061437,0
4,0.5595,0.173555555555556,0.0293888888888889,0,0.000833333333333333,0.00733333333333333,0,0.0525555555555556,0.176833333333333,0
5,0.580805844587115,0.149103387203896,0.0458268762452956,5.53464688952845e-05,0.00138366172238211,0.00763781270754926,0,0.0720611025016604,0.143125968563206,0
6,0.636636466591166,0.113873159682899,0.065911664779162,0.000113250283125708,0.00260475651189128,0.00826727066817667,0,0.0936579841449604,0.0789354473386183,0
7,0.684333333333333,0.101444444444444,0.0735555555555556,0.000222222222222222,0.00355555555555556,0.00833333333333333,0,0.100722222222222,0.0278333333333333,0
8,0.731888888888889,0.1705,0.0584444444444444,0.000111111111111111,0.00155555555555556,0.00555555555555556,0,0.0223888888888889,0.00955555555555555,0
9,0.742166666666667,0.116388888888889,0.0552777777777778,0.000222222222222222,0.00166666666666667,0.005,0,0.0172777777777778,0.062,0
10,0.736388888888889,0.156388888888889,0.0540555555555556,0.000111111111111111,0.00138888888888889,0.0105,0,0.0354444444444444,0.00572222222222222,0
11,0.726666666666667,0.2015,0.0382777777777778,0.000277777777777778,0.00122222222222222,0.006,0.000111111111111111,0.0174444444444444,0.00838888888888889,0
12,0.727777777777778,0.136833333333333,0.0489444444444444,0,0.000833333333333333,0.0134444444444444,0,0.0555,0.0166666666666667,0
13,0.722444444444444,0.139166666666667,0.0351666666666667,0.000111111111111111,0.00155555555555556,0.00961111111111111,0,0.0391666666666667,0.0527777777777778,0
14,0.746944444444445,0.136611111111111,0.0210555555555556,0,0.000555555555555556,0.00644444444444444,0.003,0.0431666666666667,0.042,0
15,0.673833333333333,0.231722222222222,0.0444444444444444,5.55555555555556e-05,0.0015,0.00194444444444444,0.000888888888888889,0.0392777777777778,0.00622222222222222,0
16,0.674888888888889,0.124722222222222,0.0443888888888889,0,0.000888888888888889,0.00411111111111111,0.000388888888888889,0.0341111111111111,0.116388888888889,0
17,0.71801872074883,0.136394027189659,0.0428459995542679,0.000278582571874304,0.0012814798306218,0.00679741475373301,0.000390015600624025,0.0261867617561845,0.0676955649654558,0
18,0.757388888888889,0.1515,0.0398333333333333,0.000555555555555556,0.00183333333333333,0.00844444444444445,0.000611111111111111,0.0210555555555556,0.0186666666666667,0
19,0.744555555555556,0.130555555555556,0.0355,0,0.00188888888888889,0.00588888888888889,0.00183333333333333,0.0409444444444444,0.0376111111111111,0
20,0.781444444444444,0.159833333333333,0.0379444444444444,0.000222222222222222,0.00105555555555556,0.00388888888888889,5.55555555555556e-05,0.0121111111111111,0.00344444444444444,0
21,0.684444444444444,0.219611111111111,0.0383888888888889,0,0.00177777777777778,0.0105555555555556,0,0.0385555555555556,0.00666666666666667,0
22,0.695777777777778,0.178055555555556,0.0341666666666667,0.00872222222222222,0.00355555555555556,0.00766666666666667,0.0263333333333333,0,0.0441666666666667,0.000277777777777778
23,0.716888888888889,0.103666666666667,0.0318333333333333,0,0.00116666666666667,0.0313888888888889,0.000388888888888889,0.0686666666666667,0.0457777777777778,0
24,0.802888888888889,0.112055555555556,0.0310555555555556,0.000277777777777778,0.00116666666666667,0.00216666666666667,0.000222222222222222,0.0313333333333333,0.0185,0
25,0.628333333333333,0.148111111111111,0.0212222222222222,0,0.00477777777777778,0.00644444444444444,0.000888888888888889,0.0304444444444444,0.159777777777778,0
26,0.69570072585148,0.148520379676159,0.0256839754327191,0,0.00312674483528755,0.00742601898380793,0.000390843104410944,0.0341708542713568,0.0849804578447795,0
27,0.763388888888889,0.147777777777778,0.0298888888888889,0,0.00172222222222222,0.00827777777777778,0,0.0396111111111111,0.00933333333333333,0
28,0.762555555555556,0.123444444444444,0.0205,5.55555555555556e-05,0.00111111111111111,0.0124444444444444,0,0.0432777777777778,0.0366111111111111,0
29,0.721611111111111,0.170166666666667,0.0367222222222222,0.000111111111111111,0.0015,0.00866666666666667,0.000722222222222222,0.0596666666666667,0.000833333333333333,0
30,0.718833333333333,0.119444444444444,0.038,0,0.002,0.00844444444444444,0.000166666666666667,0.0506666666666667,0.0623333333333333,0.000111111111111111
31,0.720944444444444,0.156555555555556,0.0489444444444444,5.55555555555556e-05,0.00188888888888889,0.00616666666666667,0,0.0448888888888889,0.0205555555555556,0
32,0.718888888888889,0.163388888888889,0.0477222222222222,0.000666666666666667,0.00155555555555556,0.00544444444444444,0,0.0456111111111111,0.0167222222222222,0
33,0.719444444444444,0.168166666666667,0.0477777777777778,0.00216666666666667,0.00183333333333333,0.00561111111111111,0,0.0417222222222222,0.0132777777777778,0
34,0.7185,0.175222222222222,0.0458888888888889,0.00388888888888889,0.00172222222222222,0.00505555555555556,0,0.0397777777777778,0.00994444444444444,0
35,0.717444444444444,0.181277777777778,0.0460555555555556,0.00622222222222222,0.00133333333333333,0.00422222222222222,0,0.0351111111111111,0.00833333333333333,0
