"Time","Pasteurellaceae","Streptococcaceae","Veillonellaceae","Bacteroidaceae","Ruminococcaceae","Muribaculaceae","Lachnospiraceae","Acidaminococcaceae","Burkholderiaceae_A_595427","Coprobacillaceae","Desulfovibrionaceae","Oscillospiraceae_88309","UBA1381","Butyricicoccaceae","Gammaproteobacteria_Class","Turicibacteraceae","Peptostreptococcaceae_256921","Erysipelotrichaceae","Acutalibacteraceae","Fusobacteriaceae_993521","Peptoniphilaceae","Clostridiaceae_222000","CAG-74","Akkermansiaceae","Anaerotignaceae","Dialisteraceae","Bacteria_Kingdom","Porphyromonadaceae","Massilibacillaceae","Rikenellaceae","Eggerthellaceae","Oscillospirales_Order"
1,0.000166666666666667,0,0,0.801444444444444,0,0,0.0632222222222222,0.000333333333333333,0,0.000277777777777778,0.00644444444444444,0.00322222222222222,0,0,0,0,0.000166666666666667,0,0.00333333333333333,0,0,0.000166666666666667,0,0.00172222222222222,0,0,0.1195,0,0,0,0,0
2,5.60161326462021e-05,0,0,0.677851221151692,5.60161326462021e-05,0,0.109063410262156,0.00851445216222272,0,0.000560161326462021,0.00672193591754425,0.00840241989693032,0,0.00140040331615505,0,0,0.00655388751960565,0,0.00212861304055568,0,0,0.000168048397938606,0,0.0191015012323549,0,0,0.159421913511091,0,0,0,0,0
3,0,0,0,0.595839945590569,0.00022670596236681,0,0.136873724778962,0.0185898889140784,0,0.000736794377692133,0.00714123781455452,0.0123554749489912,0,0.0022670596236681,0,0,0.0106551802312401,0,0.00119020630242575,0,0,0.000170029471775108,0,0.0366130129222399,0,0,0.177340739061437,0,0,0,0,0
4,0,0,0,0.5595,5e-04,0,0.143444444444444,0.0293888888888889,0,0.000833333333333333,0.00733333333333333,0.0140555555555556,0,0.00261111111111111,0,0,0.0118888888888889,0,0.000833333333333333,0,0,0.000222222222222222,0,0.0525555555555556,0,0,0.176833333333333,0,0,0,0,0
5,5.53464688952845e-05,0.000664157626743414,0,0.580805844587115,0.00276732344476422,0,0.119825105158291,0.0458268762452956,0,0.000664157626743414,0.00763781270754926,0.0138919636927164,0,0.00193712641133496,0,5.53464688952845e-05,0.00968563205667478,0,0.000830197033429267,0,0,0.000110692937790569,0,0.0720611025016604,5.53464688952845e-05,0,0.143125968563206,0,0,0,0,0
6,0.000113250283125708,0.00192525481313703,0,0.636636466591166,0.00900339750849377,0,0.0833522083805209,0.065911664779162,0,0.000396375990939977,0.00826727066817667,0.0133635334088335,0,0.00101925254813137,0,0.000169875424688562,0.00583238958097395,5.66251415628539e-05,0.000906002265005663,0,0,5.66251415628539e-05,0,0.0936579841449604,0.000339750849377123,0,0.0789354473386183,0,0,0,0,0
7,0.000222222222222222,0.00261111111111111,0,0.684277777777778,0.0176111111111111,0,0.0662222222222222,0.0735555555555556,0,0.000277777777777778,0.00833333333333333,0.0117222222222222,0,5e-04,0,0.000388888888888889,0.00372222222222222,0.000166666666666667,0.000944444444444444,0,0,0,0,0.100722222222222,0.000722222222222222,0,0.0278333333333333,0,0,0,0,0
8,0.000111111111111111,0.000111111111111111,0.000111111111111111,0.731888888888889,0.0524444444444444,0,0.103833333333333,0.0583333333333333,0,0.000277777777777778,0.00555555555555556,0.00755555555555556,0,0.000944444444444444,0,0.000666666666666667,0.00272222222222222,5e-04,0.00155555555555556,0,0,0,0,0.0223888888888889,0.00144444444444444,0,0.00955555555555555,0,0,0,0,0
9,0.000222222222222222,0.00138888888888889,0,0.742055555555556,0.0274444444444444,0,0.0786111111111111,0.0552777777777778,0,0.000111111111111111,0.005,0.00766666666666667,0,0.000777777777777778,0,0.000166666666666667,0.000833333333333333,0,0.000333333333333333,0,0,0,0,0.0172777777777778,0.000722222222222222,0,0.062,0.000111111111111111,0,0,0,0
10,0.000111111111111111,0.000277777777777778,0,0.735888888888889,0.0295,0,0.117555555555556,0.0535555555555556,0,0.000277777777777778,0.0105,0.00655555555555555,0,0.000666666666666667,0,0.000722222222222222,0.00122222222222222,0.000111111111111111,0.000111111111111111,0,0.000111111111111111,0,0,0.0354444444444444,0.000666666666666667,5e-04,0.00572222222222222,5e-04,0,0,0,0
11,0.000277777777777778,0.000888888888888889,5.55555555555556e-05,0.726666666666667,0.0616666666666667,0,0.130166666666667,0.0381111111111111,0,0.000166666666666667,0.006,0.0055,0,0.000333333333333333,0,5.55555555555556e-05,0.00105555555555556,0.000111111111111111,0.000555555555555556,0.000111111111111111,0,0.000111111111111111,0,0.0174444444444444,0.00105555555555556,0.000111111111111111,0.00838888888888889,0,0,0,0,0.001
