"Time","Pasteurellaceae","Streptococcaceae","Bacteroidaceae","Ruminococcaceae","Muribaculaceae","Lachnospiraceae","Tannerellaceae","Acidaminococcaceae","Acutalibacteraceae","Oscillospiraceae_88309","Burkholderiaceae_A_595427","Coprobacillaceae","Desulfovibrionaceae","Marinifilaceae","Rikenellaceae","Butyricicoccaceae","UBA1381","Clostridia_258483_Class","Anaerotignaceae","CAG-274","CAG-508","Clostridiaceae_222000","Gammaproteobacteria_Class","Oscillospirales_Order","Coprobacteraceae","Turicibacteraceae","Peptostreptococcaceae_256921","Erysipelotrichaceae","UBA11471","Eggerthellaceae","Christensenellales_Order","Peptoniphilaceae","Mycobacteriaceae","Enterobacteriaceae_A","Negativicoccaceae","Dialisteraceae","Actinomycetaceae","CAG-138","UBA660","CAG-74","Akkermansiaceae","CAG-272","Porphyromonadaceae","Atopobiaceae","Anaerovoracaceae","Campylobacteraceae","Bacteria_Kingdom","DTU023","Fusobacteriaceae_993521"
0,0,0.000277777777777778,0.725666666666667,0.00205555555555556,0.000111111111111111,0.162,0,0.0106666666666667,5e-04,0.0246111111111111,0,0,0.0134444444444444,0,0,0.00105555555555556,0,0.000111111111111111,0.00238888888888889,0,0,5e-04,0,0.000222222222222222,0,0,0,0,0,0,0,0.00116666666666667,0,0,0,0.000555555555555556,0,0,0,0,0.000333333333333333,0,0.00133333333333333,0,0,0.000111111111111111,0.0528888888888889,0,0
1,0.00116666666666667,0.0015,0.636388888888889,0.00488888888888889,0.000277777777777778,0.259722222222222,0,0.0115555555555556,0.00211111111111111,0.0245,0,0.000111111111111111,0.0113888888888889,0,0.000222222222222222,0.000388888888888889,0,0.000111111111111111,0.00211111111111111,0,0,0.000388888888888889,0,0,0,0,0,0,0,0,0,0.0133888888888889,0.000444444444444444,0,0.000166666666666667,0.003,0.000777777777777778,0,0,0,0,0,0.00666666666666667,0,0.000944444444444444,0.000111111111111111,0.0171111111111111,0.000388888888888889,0
2,0,0.000111111111111111,0.666166666666667,0.00477777777777778,0.00716666666666667,0.158388888888889,0,0.0124444444444444,0.00238888888888889,0.0419444444444444,0,0,0.0114444444444444,0,0.000333333333333333,0.000611111111111111,0,0.000111111111111111,0.0025,0,0,0.000166666666666667,0,0,0,0,0,0,0,0,0,0.00583333333333333,0.00133333333333333,0,0,5e-04,0,0,0,0,0,0,0.00155555555555556,0,0.000222222222222222,0,0.082,0,0
3,0.00161111111111111,0.000333333333333333,0.7065,0.0147222222222222,0.000611111111111111,0.200166666666667,0,0.0310555555555556,0.00133333333333333,0.0227777777777778,0,0.000166666666666667,0.00722222222222222,0,0.000444444444444444,0.00122222222222222,0,0.000222222222222222,0.00216666666666667,0,0,0,0,5.55555555555556e-05,0,0.000166666666666667,0.000666666666666667,0.000111111111111111,0,0,0,0.000111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00777777777777778,0,0
4,0.000333333333333333,0.002,0.412944444444444,0.028,0.00433333333333333,0.192666666666667,0,0.0135555555555556,0.00327777777777778,0.0205,0,0.00172222222222222,0.00544444444444444,0,0.000555555555555556,0.00216666666666667,0,5.55555555555556e-05,0.00305555555555556,0,0,0,5.55555555555556e-05,5e-04,0,5.55555555555556e-05,5.55555555555556e-05,0,0,0.000333333333333333,0,0.200777777777778,0.00483333333333333,0,0.00222222222222222,0.0213333333333333,0.00127777777777778,0,0,0,0,0,0.0311111111111111,0,0.00322222222222222,0.000166666666666667,0.0400555555555556,0.000111111111111111,0
5,0,0.000388888888888889,0.541111111111111,0.0297777777777778,0.00405555555555556,0.0996666666666667,0.000888888888888889,0.0150555555555556,0.00177777777777778,0.0247777777777778,0,0.00333333333333333,0.00433333333333333,0,0.000388888888888889,0.000944444444444444,0,0.000333333333333333,0.00144444444444444,0,0,5.55555555555556e-05,0,0.000444444444444444,0,0,0.000222222222222222,0,0,0,0,0.126444444444444,0.00188888888888889,0,0.00516666666666667,0.0392222222222222,0.000666666666666667,0,0,0,0,0,0.0396111111111111,0,0.00344444444444444,0.000166666666666667,0.0535555555555556,0.000111111111111111,0
6,0.000666666666666667,0.000388888888888889,0.614833333333333,0.0800555555555555,0.0111111111111111,0.109611111111111,0.00805555555555556,0.0171111111111111,0.00311111111111111,0.0237222222222222,0,0.00211111111111111,0.00555555555555556,0,0.000611111111111111,0.000555555555555556,0,0.000166666666666667,0.00188888888888889,0,0,0.000166666666666667,0,0.000888888888888889,0,0.000333333333333333,0.0015,0,0,0,0,0.0748888888888889,5e-04,0,0.00111111111111111,0.0124444444444444,0.00122222222222222,0,0,0,0,0,0.00477777777777778,0,0.00116666666666667,0.000222222222222222,0.0206666666666667,0,0
7,0.000277777777777778,5.55555555555556e-05,0.693777777777778,0.103,0.0156111111111111,0.0719444444444444,0.0135,0.0311666666666667,0.00261111111111111,0.0315555555555556,0,0.000277777777777778,0.0143333333333333,0,0.000722222222222222,0.000722222222222222,0,0.000611111111111111,0.00416666666666667,0,0,0,0.000888888888888889,0.000666666666666667,0,0.000277777777777778,0.00111111111111111,0,0,0,0,0.00255555555555556,0.000555555555555556,0,0.000111111111111111,0.0015,0,0,0,0,0,0,0.000888888888888889,0,0.000166666666666667,0,0.00688888888888889,0,0
8,0,0.000111111111111111,0.751388888888889,0.103277777777778,0.00811111111111111,0.0563333333333333,0.0145555555555556,0.018,0.00194444444444444,0.0253333333333333,0,0.000166666666666667,0.0126666666666667,0,0.000555555555555556,0.001,0,0.00133333333333333,0.00244444444444444,0,0,0,0,0.000666666666666667,0,0,0.000166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194444444444444,0,0
9,0,0,0.406111111111111,0.0388888888888889,0.00394444444444444,0.0505555555555556,0.0116666666666667,0.00633333333333333,0.00511111111111111,0.0163333333333333,0,0.002,0.00838888888888889,0,0.000166666666666667,0.000888888888888889,0,0.00105555555555556,0.00116666666666667,0,0,0,0,0.000222222222222222,0,0.000111111111111111,0.000222222222222222,0.000388888888888889,0,0,0,0.285111111111111,0.00205555555555556,0,0.00566666666666667,0.0100555555555556,0.00861111111111111,0,0,0,0,0,0.0405,0,0.0015,0.00244444444444444,0.0893333333333333,5e-04,0
10,0,0.000111111111111111,0.705388888888889,0.0807777777777778,0.0266111111111111,0.073,0.0357777777777778,0.024,0.00216666666666667,0.0220555555555556,0,0.000333333333333333,0.00977777777777778,0,0.000388888888888889,0.000777777777777778,0,0.00216666666666667,0.00172222222222222,0,0.000111111111111111,0.000166666666666667,0.000388888888888889,0.000277777777777778,0,0.000111111111111111,0.000111111111111111,0,0.000166666666666667,0,0,0.00205555555555556,0,0,0.000611111111111111,0.00116666666666667,0,0,0,0,0,0,0.00438888888888889,0,0.000166666666666667,0.000111111111111111,0.005,0,0
11,0,0.000222222222222222,0.363722222222222,0.0315555555555556,0.00466666666666667,0.0534444444444444,0.0166666666666667,0.00788888888888889,0.00422222222222222,0.0121111111111111,0,0.00144444444444444,0.00633333333333333,0,0,0.000722222222222222,0,0.00177777777777778,0.00122222222222222,0,0.000111111111111111,0,0,0.000888888888888889,0.000111111111111111,0,0,0.000277777777777778,0,0,0,0.183055555555556,0.00316666666666667,0,0.0127222222222222,0.0149444444444444,0.00722222222222222,0,0,0,0,0,0.142166666666667,0.000222222222222222,0.00472222222222222,0.00227777777777778,0.118888888888889,0.00272222222222222,0
12,0,0.000444444444444444,0.560722222222222,0.0964444444444444,0.0104444444444444,0.115111111111111,0.0252222222222222,0.0137777777777778,0.00588888888888889,0.0138333333333333,0,0.000166666666666667,0.00572222222222222,0,5.55555555555556e-05,0.001,0.000222222222222222,0.00266666666666667,0.000888888888888889,0,0.000722222222222222,5e-04,0,0.000722222222222222,0,5.55555555555556e-05,0.000333333333333333,0,0.000777777777777778,0.000277777777777778,0,0.0713333333333333,0.000666666666666667,0.00305555555555556,0.00344444444444444,0.0188888888888889,0.00155555555555556,0,0,0,0,0,0.037,0.000611111111111111,0.00222222222222222,0.000888888888888889,0.00338888888888889,5e-04,0
13,0.000166666666666667,0.00166666666666667,0.577888888888889,0.160444444444444,0.0267777777777778,0.0948333333333333,0.0467777777777778,0.0117222222222222,0.00538888888888889,0.0335,0,0.000333333333333333,0.0136111111111111,0,0.000222222222222222,0.000944444444444444,0.000277777777777778,0.00144444444444444,0.00177777777777778,0,0.001,0.00194444444444444,0,0.000611111111111111,0,0.000333333333333333,0.0122222222222222,0,0.00116666666666667,0,0,0.000277777777777778,0.000111111111111111,0.000222222222222222,0.000166666666666667,0.000111111111111111,0,0,0,0,0,0,0.00211111111111111,0,0.000111111111111111,0.000111111111111111,0.00138888888888889,0,0
14,0,0.00144444444444444,0.395777777777778,0.0820555555555556,0.0133888888888889,0.129222222222222,0.0181111111111111,0.00916666666666667,0.00761111111111111,0.034,0,0.000611111111111111,0.00994444444444444,0,0.000277777777777778,0.00227777777777778,0.000722222222222222,0.003,0.0035,0,0.000444444444444444,0.000388888888888889,5.55555555555556e-05,0.0015,0,0,0.00233333333333333,0.000333333333333333,5e-04,0.000555555555555556,0,0.165666666666667,0.00377777777777778,0,0.00427777777777778,0.0145555555555556,0.0113333333333333,0,0,0,0,0,0.0581666666666667,0.00105555555555556,0.0085,0.00383333333333333,0.00761111111111111,0.00311111111111111,0
