"Time","Lactobacillales","Bacteroidales","Oscillospirales","Lachnospirales","Acidaminococcales","Burkholderiales_595427","Erysipelotrichales","Desulfovibrionales","UBA1381","Clostridia_258483_Class","TANB77","Clostridiales","Gammaproteobacteria_Class","Haloplasmatales_A","Tissierellales","Mycobacteriales","Enterobacterales_A_737866","Veillonellales","Actinomycetales","Christensenellales","RF39","Verrucomicrobiales","Coriobacteriales","Peptostreptococcales","Campylobacterales","Bacteria_Kingdom","Saccharofermentanales","Fusobacteriales_993521"
0,0.000277777777777778,0.727111111111111,0.0284444444444444,0.164388888888889,0.0106666666666667,0,0,0.0134444444444444,0,0.000111111111111111,0,5e-04,0,0,0.00116666666666667,0,0,0.000555555555555556,0,0,0,0.000333333333333333,0,0,0.000111111111111111,0.0528888888888889,0,0
1,0.0015,0.643555555555556,0.0318888888888889,0.261833333333333,0.0115555555555556,0,0.000111111111111111,0.0113888888888889,0,0.000111111111111111,0,0.000388888888888889,0,0,0.0133888888888889,0.000444444444444444,0.00116666666666667,0.00316666666666667,0.000777777777777778,0,0,0,0,0.000944444444444444,0.000111111111111111,0.0171111111111111,0.000388888888888889,0
2,0.000111111111111111,0.675222222222222,0.0497222222222222,0.160888888888889,0.0124444444444444,0,0,0.0114444444444444,0,0.000111111111111111,0,0.000166666666666667,0,0,0.00583333333333333,0.00133333333333333,0,5e-04,0,0,0,0,0,0.000222222222222222,0,0.082,0,0
3,0.000333333333333333,0.707555555555556,0.0401111111111111,0.202333333333333,0.0310555555555556,0,0.000277777777777778,0.00722222222222222,0,0.000222222222222222,0,0,0,0.000166666666666667,0.000111111111111111,0,0.00161111111111111,0.000555555555555556,0,0,0,0,0,0.000666666666666667,0,0.00777777777777778,0,0
4,0.002,0.448944444444444,0.0544444444444444,0.195722222222222,0.0135555555555556,0,0.00172222222222222,0.00544444444444444,0,5.55555555555556e-05,0,0,5.55555555555556e-05,5.55555555555556e-05,0.200777777777778,0.00483333333333333,0.000333333333333333,0.0245,0.00127777777777778,0,0,0,0.00222222222222222,0.00327777777777778,0.000166666666666667,0.0400555555555556,0.000111111111111111,0
5,0.000388888888888889,0.586055555555556,0.0577222222222222,0.101111111111111,0.0150555555555556,0,0.00333333333333333,0.00433333333333333,0,0.000333333333333333,0,5.55555555555556e-05,0,0,0.126444444444444,0.00188888888888889,0,0.0444444444444444,0.000666666666666667,0,0,0,0.000555555555555556,0.00366666666666667,0.000166666666666667,0.0535555555555556,0.000166666666666667,0
6,0.000388888888888889,0.639388888888889,0.108333333333333,0.1115,0.0171111111111111,0,0.00211111111111111,0.00555555555555556,0,0.000166666666666667,0,0.000166666666666667,0,0.000333333333333333,0.0748888888888889,5e-04,0.000666666666666667,0.0138333333333333,0.00122222222222222,0,0,0,0.000277777777777778,0.00266666666666667,0.000222222222222222,0.0206666666666667,0,0
7,5.55555555555556e-05,0.7245,0.138555555555556,0.0761111111111111,0.0311666666666667,0,0.000277777777777778,0.0143333333333333,0,0.000611111111111111,0,0,0.000888888888888889,0.000277777777777778,0.00255555555555556,0.000555555555555556,0.000277777777777778,0.00166666666666667,0,0,0,0,0,0.00127777777777778,0,0.00688888888888889,0,0
8,0.000111111111111111,0.774611111111111,0.132222222222222,0.0587777777777778,0.018,0,0.000166666666666667,0.0126666666666667,0,0.00133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166666666666667,0,0.00194444444444444,0,0
9,0,0.462388888888889,0.0614444444444444,0.0517222222222222,0.00633333333333333,0,0.00238888888888889,0.00838888888888889,0,0.00105555555555556,0,0,0,0.000111111111111111,0.285111111111111,0.00205555555555556,0,0.0157222222222222,0.00861111111111111,0,0,0,5e-04,0.00172222222222222,0.00244444444444444,0.0893333333333333,5e-04,0
10,0.000111111111111111,0.772722222222222,0.106055555555556,0.0747222222222222,0.024,0,0.000333333333333333,0.00977777777777778,0,0.00216666666666667,0.000111111111111111,0.000166666666666667,0.000388888888888889,0.000111111111111111,0.00205555555555556,0,0,0.00177777777777778,0,0,0,0,0,0.000277777777777778,0.000111111111111111,0.005,0,0
11,0.000222222222222222,0.527333333333333,0.0495,0.0546666666666667,0.00788888888888889,0,0.00172222222222222,0.00633333333333333,0,0.00177777777777778,0.000111111111111111,0,0,0,0.183055555555556,0.00316666666666667,0,0.0276666666666667,0.00722222222222222,0,0,0,0.000444444444444444,0.00472222222222222,0.00227777777777778,0.118888888888889,0.00272222222222222,0
