"Time","Aurelia.sp","Engraulis.japonicus","Plotosus.lineatus","Sebastes.inermis","Trachurus.japonicus","Girella.punctata","Pseudolabrus.sieboldi","Halichoeres.poecilopterus","Halichoeres.tenuispinnis","Chaenogobius.gulosus","Pterogobius.zonoleucus","Tridentiger.trigonocephalus","Siganus.fuscescens","Sphyraena.pinguis","Rudarius.ercodes"
1,79.2,0,1,463,0,60,18,31,23,470,0,7,0,0,7
21,157.2,0,0,19,650,42,22,10,23,0,0,0,0,0,7
37,21.33333333,0,300,47,1150,8,7,7,32,0,50,2,0,0,1
54,0.9375,0,302,46,958,34,19,30,22,80,6,38,0,0,1
65,19.33333333,0,540,43,308,15,14,10,16,0,50,43,0,70,7
79,1543.75,0,50,14,1000,12,18,2,27,0,25,9,0,621,5
97,98,0,0,71,31,8,8,1,11,0,0,8,204,0,5
113,16.13333333,0,5,37,750,6,17,1,7,0,0,6,102,0,8
127,263.7333333,0,0,38,930,0,9,33,2,0,0,10,50,8,5
140,100.625,0,0,9,739,51,7,10,2,0,8,10,0,0,4
154,109.5333333,600,0,4,350,30,5,5,2,0,0,47,0,0,1
175,19.6,800,0,36,340,11,7,2,0,1,0,18,0,0,6
189,15.6,0,0,8,100,50,2,0,0,0,5,8,0,0,5
209,78.75,0,0,17,0,2,1,0,1,0.5,12.5,19.5,0,0,6.5
215,17.46666667,0,0,45,0,0,1,0,0,0,0,17,0,0,6
225,1.75,0,0,18,0,3,3,0,0,3,0,20,1,0,3
242,1.066666667,0,0,6,0,0,4,0,0,0,0,21,0,0,3
254,0.307692308,0,0,48,0,0,0,0,0,0,0,18,0,0,8
283,0.066666667,0,0,6,0,0,0,0,0,0,0,14,0,0,0
295,0.125,0,0,5,0,0,1,0,0,0,0,11,0,0,6
308,1.133333333,0,0,8,0,0,2,0,0,0,0,24,0,0,4
316,1.466666667,0,0,18,0,1,0,0,0,0,0,51,0,0,4
340,0.933333333,0,0,12,0,1,4,6,0,0,0,42,0,0,9
353,2.875,0,0,9,0,4,6,5,1,0,0,17,0,0,8
366,8,0,0,20,0,76,19,6,18,0,0,0,0,0,12
388,2.333333333,0,0,22,30,11,13,5,27,0,0,3,0,0,3
399,0.666666667,0,0,8,181,19,16,3,6,0,0,6,0,0,2
419,0,0,0,7,330,66,16,9,7,0,0,1,0,0,5
426,0.666666667,0,600,11,324,16,17,12,10,0,51,1,0,0,9
446,2.5625,0,1140,17,184,14,24,10,3,35,31,21,0,0,10
462,11.13333333,0,400,12,672,3,11,6,7,0,61,57,0,0,10
480,22.73333333,0,40,10,100,56,12,3,5,0,3,29,15,0,9
491,24.66666667,300,80,47,190,19,11,9,10,0,0,50,2,0,31
505,40.4375,0,20,29,65,12,22,5,17,0,50,36,2,0,13
526,8.866666667,0,0,36,300,3,8,0,0,0,30,27,0,0,3
538,11.53333333,0,0,17,230,3,6,0,0,0,7,15,0,0,5
547,30.53333333,700,2,31,404,5,9,0,0,0,50,31,0,0,2
565,0.9375,0,0,22,0,0,4,0,0,0,0,12,0,0,2
579,13.46666667,0,0,8,0,0,9,0,0,0,0,23,0,0,4
594,0.375,0,0,15,0,1,3,0,0,0,0,21,0,0,1
605,0.066666667,0,0,10,0,0,9,0,0,0,0,28,0,0,2
620,0.071428571,0,0,7,0,0,1,0,0,0,0,8,0,0,0
642,0.066666667,0,0,5,0,0,3,0,0,0,0,3,0,0,1
656,0,0,0,3,0,0,5,0,0,0,0,6,0,0,0
671,0,0,0,6,0,0,6,0,0,0,0,21,0,0,1
693,1.066666667,0,0,32,20,0,8,0,0,0,0,14,0,0,5
709,0.066666667,0,0,16,50,2,9,0,0,0,0,6,0,0,11
723,0.25,0,0,16,0,0,10,0,0,0,101,1,0,0,11
729,0.066666667,0,0,9,0,10,9,0,0,0,12,4,0,0,7
749,0.466666667,0,0,50,0,0,22,1,5,2,0,1,0,0,8
761,0.133333333,0,0,45,61,0,16,4,4,1,1,0,0,0,13
783,0.0625,0,0,13,115,0,16,7,2,10,40,24,0,0,11
789,2.133333333,0,200,16,260,11,33,2,11,51,24,195,0,0,24
813,1.3125,0,0,24,750,0,7,5,1,0,30,72,0,20,38
830,2.066666667,0,0,11,701,13,16,8,17,1,0,39,0,200,39
845,2.666666667,0,70,36,1260,1,27,14,5,0,90,14,0,60,397
859,0.2,0,50,27,850,0,19,3,3,0,30,62,1,70,324
876,0,0,0,6,410,0,8,2,0,0,0,47,0,0,63
887,0,0,0,39,403,0,11,5,0,0,10,119,0,0,50
901,0,0,0,33,230,2,7,0,0,0,22,58,0,0,25
922,0,0,0,51,350,0,7,0,0,0,0,61,0,0,7
938,0,0,0,35,0,0,4,0,0,0,0,49,0,0,15
945,0,0,0,24,0,0,5,0,0,0,2,77,0,0,9
955,0,0,0,15,0,0,5,0,0,0,5,66,0,0,51
978,0,0,0,6,0,0,0,0,0,0,0,20,0,0,0
985,0,0,0,10,0,0,1,0,0,0,0,35,0,0,5
1013,0.266666667,0,0,7,0,0,0,0,0,0,0,21,0,0,0
1027,0,0,0,3,0,0,0,0,0,0,0,14,0,0,2
1035,0.533333333,0,0,5,0,0,1,0,0,0,0,19,0,0,1
1052,0.2,0,0,11,20,0,0,0,0,0,0,66,0,0,8
1063,4.133333333,0,0,7,150,0,10,0,0,0,3,43,0,0,29
1087,8.5,0,0,10,0,0,17,1,1,530,0,1,0,0,18
1097,1.933333333,100,0,56,0,2,22,0,7,140,0,3,0,0,36
1112,6.333333333,0,0,11,10,0,30,7,1,10,280,7,0,0,6
1128,4.133333333,0,0,11,0,0,28,2,6,164,951,12,0,0,8
1147,1.5,1,1300,1,20,32,18,1,2,0,691,302,0,0,21
1155,1.066666667,0,0,3,512,76,16,1,16,0,256,131,0,0,31
1171,18.875,0,0,1,518,132,15,1,3,0,110,202,0,0,29
1183,172.9333333,0,0,1,300,2,26,1,3,0,285,64,0,100,49
1204,52.93333333,0,0,0,300,90,17,0,3,40,202,48,38,30,27
1221,22.86666667,50,0,1,200,56,13,2,1,0,66,45,110,50,12
1238,5.125,0,0,5,400,50,12,1,1,0,30,93,0,0,24
1244,34.66666667,50,0,4,30,46,5,0,0,0,10,85,0,0,16
1268,36.2,0,0,5,130,33,2,1,0,0,41,145,0,0,7
1274,22.06666667,0,0,3,330,8,2,2,1,0,46,42,0,0,4
1301,0.0625,0,0,0,0,0,2,0,0,0,0,28,0,0,6
1314,0,0,0,1,0,0,1,0,0,0,2,35,0,0,5
1331,0,0,0,3,0,5,2,0,0,0,3,35,0,0,8
1345,0,0,0,1,0,1,3,0,0,0,0,24,0,0,1
1357,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0
1371,0,0,0,2,0,0,2,0,0,0,2,36,0,0,5
1387,0,0,0,0,0,0,1,0,0,0,0,8,0,0,3
1410,1.733333333,0,0,1,0,0,5,0,0,0,0,40,0,0,5
1422,1.066666667,0,0,204,0,0,6,0,0,0,4,29,0,0,2
1436,0.466666667,0,0,1,0,0,2,0,0,0,0,10,0,0,6
1450,2.625,1400,0,65,200,0,5,3,5,0,3,14,0,0,4
1462,0.266666667,0,0,20,30,9,12,7,4,320,6,1,0,0,17
1475,0.666666667,0,0,54,0,4,7,2,2,82,1,0,0,0,10
1498,2.933333333,0,0,17,331,19,12,2,4,3,7,9,0,0,5
1513,0,0,0,41,305,1,16,4,1,300,60,18,0,0,3
1526,0.466666667,0,0,26,10,8,5,3,2,0,1,146,1,0,5
1541,2.5,0,480,53,263,30,16,3,1,30,0,326,0,46,22
1548,1.133333333,1,1,63,605,12,17,2,10,0,7,306,0,60,28
1572,23.53333333,0,0,8,50,25,12,1,2,0,150,76,0,230,16
1586,1.4,0,0,24,280,3,11,0,0,30,0,36,0,0,16
1604,6.9375,0,0,37,0,36,7,0,3,0,0,98,0,0,46
1617,11.53333333,0,0,14,30,17,7,1,1,0,0,132,0,0,19
1630,0,0,0,15,550,7,7,0,1,0,0,78,0,0,21
1643,0,1130,0,31,300,7,2,0,0,0,3,52,0,0,8
1659,0,3100,0,34,200,7,0,0,0,0,0,26,0,0,7
1674,0,0,0,12,0,2,2,0,0,0,0,38,0,0,10
1685,0,0,1,8,0,30,2,0,0,0,0,42,0,0,2
1701,0,0,0,4,0,0,1,0,0,0,0,8,0,0,0
1721,0,0,0,7,0,0,2,0,0,0,0,18,0,0,3
1738,0,0,0,2,0,0,1,0,0,0,0,19,0,0,2
1749,0.125,0,0,3,0,0,0,0,0,0,0,4,0,0,0
1770,0,0,0,22,0,0,3,0,0,0,0,20,0,0,2
1779,0.333333333,0,0,51,0,0,3,0,0,0,0,21,0,0,2
1803,2.533333333,20,0,32,0,4,4,4,2,0,0,16,0,0,9
1811,0.25,0,0,44,0,0,4,2,5,0,0,11,0,0,3
1824,0.933333333,0,0,32,200,2,14,6,5,0,0,10,0,0,6
1841,0,0,0,72,200,20,18,3,7,0,0,8,0,0,6
1863,0,0,0,37,0,2,18,1,10,0,0,7,0,0,3
1877,0.6875,0,0,58,31,4,10,1,3,8,0,13,0,0,7
1894,1.666666667,0,0,41,500,41,16,5,10,0,0,50,0,0,12
1905,2.75,0,2,35,450,44,15,4,6,0,0,24,0,0,13
1919,4.4,0,0,180,850,74,14,3,33,0,0,25,160,55,34
1933,21.53333333,0,2,54,400,13,6,2,7,0,0,24,8,100,55
1951,8.066666667,0,0,41,540,10,9,6,45,0,0,2,0,30,39
1960,12.375,0,0,57,500,26,5,10,24,0,0,4,10,80,60
1981,1.8,0,0,39,100,14,1,4,13,0,0,59,0,0,10
1990,6.133333333,0,0,30,200,10,2,9,19,0,0,62,1,0,33
2007,29.6,100,0,28,400,28,1,11,24,0,0,43,1,0,9
2023,40.3125,0,0,85,500,15,3,3,11,0,0,71,0,0,54
2041,2.2,1200,0,33,0,7,3,5,2,0,0,89,0,0,13
2054,0.1875,400,0,18,0,3,7,0,0,0,0,51,0,0,31
