Time,Clostridium-hiranonis,Clostridium-difficile,Proteus-mirabilis,Clostridium-scindens,Ruminococcus-obeum,Clostridium-ramosum,Bacteroides-ovatus,Akkermansia-muciniphila,Parabacteroides-distasonis,Bacteroides-fragilis,Bacteroides-vulgatus,Klebsiella-oxytoca,Roseburia-hominis,Escherichia-coli
0.75,4238.509557,0.0,7443.011606100001,1873.3007597,283.216582328,13265.605789000001,51832.364599,6174.5744982,422.74772128,21194.718458,82864.05678,87510.212023,323.361023402,20573.823975
1.0,4023.9734551,0.0,7445.714643,1672.7910343,559.86462453,13866.624219999998,56094.323107000004,12088.1624277,436.21698489000005,21387.804898,73366.178517,82383.327583,213.58006971,19598.61561
2.0,2641.3883829999995,0.0,7556.870553899998,1361.2803081,2759.3800321,20000.879227999998,88166.63446,89507.65662699999,1275.1419766,22543.035858,56035.25139399999,55286.182855,3198.46313397,15692.758161
3.0,1581.0601964,0.0,7907.116020699999,1330.1435147000002,3952.0603948999997,30411.932937999998,138332.81146,134794.14059000002,4937.8033182,25915.772111,45880.14091,32000.404792,6613.0086409000005,13670.734273
4.0,987.2886946,0.0,8550.825218,1341.4529763,5574.4732843,36520.329351,164845.92004,156307.74987,8481.333349,34012.612536,32240.534932,18290.275485,9268.069287,13416.432331
6.0,638.7864222000001,0.0,9428.769962,1376.8855210000002,9909.722635,34470.234912,172581.94094,158191.22563,9604.170871,50538.443182,18830.8971,10300.083978,9972.893576,13979.749022
8.0,575.91030527,0.0,9299.750269,1380.2419889,10766.850271,30720.198844,174485.64430999997,157752.17883,10167.019682,55613.551505,16527.515366,9864.560285,10354.528449,15712.056778
10.0,567.75721984,0.0,9026.223666,1352.6547926,11913.556493,29908.7175,176151.91287,158036.907,10618.098543,61319.59511,16734.636123,9930.035443,11051.836473,20669.938913
14.0,556.4676533300001,0.0,7529.33775,1225.3345058,12569.066471999999,29118.138555000005,173167.17693000002,155211.63335,10998.757717,69468.52706,16984.246701000004,9993.332075,11795.929258,26480.853386
17.0,522.93671335,0.0,4910.5755078,1090.4716611,11563.642743999999,26746.898574,129717.00746999998,136185.34026,10834.783957,51484.189182,17225.817584,8967.79602,11145.649875000001,20430.815031
21.0,453.83641986000003,0.0,4199.9368925,923.0638157,9799.693403000001,24418.098922999998,110897.17864,121843.1316,10553.605678,32176.317842999997,18597.137808,7324.152409,9868.694196,14637.325115
24.0,404.09572648,0.0,4123.751946299999,858.3442339999999,9400.003141000001,23793.05259,109425.09503000001,117651.40474999999,10478.770669,29583.198506,20266.228628,7017.79083,9504.911612,13077.175425000001
28.0,349.94755912,0.0,3880.4222246,791.5248861,7127.073727999999,16121.958380999999,81108.35564,105726.78573999999,9949.80691,25483.509297000004,20262.55375,5751.403903300001,8595.062203,10762.766241
28.75,264.51103095999997,56.97527826,3434.9978822999997,734.48581389,4894.9428778,12939.443659,59833.672239,92223.72508999999,7835.8216296,25361.879331999997,16345.453866,4815.7608975,7007.2135569,10671.137501000001
29.0,214.33562554,76.22023954299999,3181.0650672,700.27457972,4078.7080854000005,12379.541068900002,53248.425728999995,85282.03845,6652.629021000001,25885.037096,14339.383785000002,4486.5267633,6178.1600657,10920.454184999999
30.0,55.447440827,492.03968454,1833.3483068,513.33482432,1788.5778560899998,13483.946718,34629.198771,51065.079486,1967.6861004000002,31932.476174000003,6165.6066579,3300.4550607,2659.5870998,13690.712178
31.0,11.358032416999999,3000.5126251,984.66708192,362.82781239999997,1452.459281757,19609.805949,28881.4429884,29918.4809788,405.75571633100003,44384.334684999994,3253.3757041,2735.1299237,1219.99166488,19071.309462
32.0,4.514912268,6408.8432328,724.71243703,300.52943225,1903.4279340840003,26343.687422999996,30345.6373713,24517.05498451,186.30156223200004,55933.300567,4016.9819329300003,2658.9286189,1202.8253684,23873.87352
34.0,3.5970197209999997,7084.6841294000005,831.85163534,337.68531542,9348.7667105,28498.152261000003,49730.540082,29603.456676502,718.341614936,56509.055456,24238.2721605,3584.5617364,3908.2532749,23759.740336
36.0,3.578686499,7176.759660000001,1090.11701717,562.2068302399999,12388.266926,27851.950313,57263.161883,38675.34191587,1472.829713571,46048.148347999995,31369.46778,4508.7160937,5110.1921601,15219.755373
38.0,3.3743057629999997,7136.027282999999,1763.0747218000001,623.5223541,9615.8571127,26954.150311999998,58965.039292,60828.853992749995,2111.73466414,37308.593603,33143.722916,4593.0701662,7030.2323942,7836.671892100001
42.0,4.019763171,6437.423031,3127.545494,642.1279514,8749.5709503,25134.765315999997,65077.950335999994,53823.89835810001,4001.5557426000005,36205.413477,30451.167527000005,4606.4270385,7761.427191999999,7117.064895
45.0,4.349299866,5950.4793335,3644.2561026000003,648.08335946,8613.620577900001,24477.174463000003,73472.94349,56272.725301800005,6360.7737554,36999.926138,29309.675196,4778.516069,8090.622798999999,7309.2114571
49.0,4.09844603,5092.945954100001,3652.3912626,659.2113948,8744.951073999999,24747.765914,107515.60496999999,171768.95274,9861.7918856,46379.296583999996,29621.312628999996,6717.848694,10171.198558999999,12185.206177
52.0,3.669535622,4304.6911167,3422.6034988,650.4447779999999,9577.258102,23826.451096,110342.69159000002,160794.17709999997,9889.408543700001,47611.782187,28640.181942000003,6464.1773127,10611.603632999999,11999.762498
56.0,2.358610928,4082.0446000999996,3310.8226478999995,672.37108473,13714.864961,29985.728823999998,122896.28815000001,153083.80966,11222.3333277,55347.277306,30037.102076,6371.301897200001,11517.537925999999,12142.89264
