"Time","Phocaeicola_A_858004","Faecalibacterium","Gemmiger_A_73129","Anaerostipes","Fusicatenibacter","Blautia_A_141781","Faecalibacillus","Bacteroides_H","Agathobaculum","unknown_Genus_79","other"
0,0.215722222222222,0.299166666666667,0.0278333333333333,0.0324444444444444,0.0163333333333333,0.0306666666666667,0.0297777777777778,0.121777777777778,0.0363333333333333,0.000722222222222222,0.189222222222222
1,0.196722222222222,0.268444444444444,0.0550555555555556,0.0631666666666667,0.0258333333333333,0.0435555555555556,0.0501111111111111,0.105833333333333,0.0247777777777778,0.000388888888888889,0.166111111111111
2,0.234222222222222,0.2695,0.0575,0.0492222222222222,0.022,0.0363333333333333,0.0378333333333333,0.1015,0.0338888888888889,0.000222222222222222,0.157777777777778
3,0.263510520487265,0.305813953488372,0.0493355481727575,0.0387596899224806,0.017718715393134,0.03859357696567,0.0185492801771872,0.0950166112956811,0.0281284606866002,0.000166112956810631,0.144407530454042
4,0.278722222222222,0.338833333333333,0.0425,0.0337777777777778,0.0147222222222222,0.0411666666666667,0.00622222222222222,0.0864444444444444,0.0218333333333333,0.000166666666666667,0.135611111111111
5,0.257944444444444,0.296777777777778,0.0756111111111111,0.0466666666666667,0.0136111111111111,0.0278888888888889,0.0147222222222222,0.0710555555555556,0.0206111111111111,0.000388888888888889,0.174722222222222
6,0.432777777777778,0.175222222222222,0.0439444444444444,0.022,0.00272222222222222,0.0112777777777778,0.0219444444444444,0.123333333333333,0.00572222222222222,5.55555555555556e-05,0.161
7,0.339611111111111,0.211,0.04,0.0451111111111111,0.00644444444444444,0.016,0.0457222222222222,0.120833333333333,0.0133888888888889,0.000277777777777778,0.161611111111111
8,0.190055555555556,0.283722222222222,0.0501111111111111,0.0904444444444444,0.0167777777777778,0.0262777777777778,0.0692777777777778,0.0977777777777778,0.0231666666666667,0.000611111111111111,0.151777777777778
9,0.144666666666667,0.315833333333333,0.0651111111111111,0.121277777777778,0.0254444444444444,0.0418333333333333,0.0607777777777778,0.0265555555555556,0.0235,0,0.175
10,0.260666666666667,0.314111111111111,0.0420555555555556,0.0768888888888889,0.00711111111111111,0.0172222222222222,0.0458333333333333,0.112,0.0123333333333333,0,0.111777777777778
11,0.254277777777778,0.289166666666667,0.0378888888888889,0.0464444444444444,0.00527777777777778,0.0159444444444444,0.0331111111111111,0.162277777777778,0.00955555555555555,0.000444444444444444,0.145611111111111
12,0.249888888888889,0.269944444444444,0.0337777777777778,0.0328888888888889,0.00566666666666667,0.0219444444444444,0.0217777777777778,0.183111111111111,0.00827777777777778,0.000888888888888889,0.171833333333333
13,0.151833333333333,0.293555555555556,0.0502222222222222,0.100611111111111,0.0187222222222222,0.0387777777777778,0.0556111111111111,0.103,0.0386111111111111,0.000277777777777778,0.148777777777778
14,0.324111111111111,0.226555555555556,0.0354444444444444,0.0498888888888889,0.00827777777777778,0.0237222222222222,0.0404444444444444,0.0913333333333333,0.0231666666666667,0,0.177055555555556
15,0.226055555555556,0.3035,0.0252222222222222,0.0712777777777778,0.00805555555555556,0.0279444444444444,0.0355,0.0763888888888889,0.00722222222222222,0,0.218833333333333
16,0.257444444444444,0.2385,0.0343333333333333,0.0393888888888889,0.00544444444444444,0.0282222222222222,0.0254444444444444,0.167555555555556,0.0153888888888889,0.000166666666666667,0.188111111111111
17,0.272666666666667,0.2265,0.0470555555555556,0.0466666666666667,0.0121111111111111,0.0482222222222222,0.0868888888888889,0.0765555555555556,0.0141111111111111,0,0.169222222222222
18,0.234277777777778,0.290611111111111,0.0823333333333333,0.0656111111111111,0.00788888888888889,0.03,0.0216666666666667,0.0905555555555556,0.0154444444444444,0.000388888888888889,0.161222222222222
19,0.208695652173913,0.326336194959845,0.0702852395458322,0.0781500969260593,0.00852949321517585,0.0304070894489061,0.0236499584602603,0.100083079479369,0.0131819440598172,0.000166158958737192,0.140515092772085
20,0.196222222222222,0.353611111111111,0.0495555555555556,0.0846111111111111,0.0102777777777778,0.0333333333333333,0.03,0.109222222222222,0.0111666666666667,0,0.122
21,0.386944444444444,0.223111111111111,0.0301111111111111,0.0333888888888889,0.0151111111111111,0.0514444444444444,0.0725555555555556,0.0452222222222222,0.0131666666666667,0,0.128944444444444
22,0.3015,0.249222222222222,0.0419444444444444,0.0877777777777778,0.0192222222222222,0.0580555555555556,0.0444444444444444,0.0248888888888889,0.0367222222222222,5.55555555555556e-05,0.136166666666667
23,0.228333333333333,0.2735,0.046,0.0357222222222222,0.0153333333333333,0.0317222222222222,0.111833333333333,0.0551111111111111,0.0344444444444444,5.55555555555556e-05,0.167944444444444
24,0.192111111111111,0.226388888888889,0.0454444444444444,0.0631666666666667,0.0231666666666667,0.0431666666666667,0.0830555555555555,0.165666666666667,0.0157777777777778,5.55555555555556e-05,0.142
25,0.210722222222222,0.285,0.0676111111111111,0.0180555555555556,0.0176111111111111,0.0453333333333333,0.0786666666666667,0.123,0.0275555555555556,0.000833333333333333,0.125611111111111
26,0.00783333333333333,0.419,0.0816111111111111,0.1215,0.0497777777777778,0.0729444444444445,0.0785555555555556,0.000166666666666667,0.0705,0,0.0981111111111111
27,0.246722222222222,0.251055555555556,0.0717222222222222,0.0337777777777778,0.0182222222222222,0.0598333333333333,0.0286666666666667,0.0973888888888889,0.0233888888888889,0.000388888888888889,0.168833333333333
28,0.0784444444444444,0.3615,0.0650555555555556,0.0553333333333333,0.0398333333333333,0.148111111111111,0.0621666666666667,0.0373333333333333,0.0285555555555556,0.000944444444444444,0.122722222222222
29,0.265888888888889,0.146,0.024,0.0591666666666667,0.0208333333333333,0.0450555555555556,0.236833333333333,0.0398888888888889,0.00894444444444444,0.00416666666666667,0.149222222222222
30,0.228388888888889,0.194388888888889,0.0529444444444444,0.151777777777778,0.0276666666666667,0.0438888888888889,0.092,0.0209444444444444,0.0334444444444444,0.000944444444444444,0.153611111111111
31,0.214444444444444,0.252444444444444,0.0519444444444444,0.109722222222222,0.0224444444444444,0.0531666666666667,0.111222222222222,0.0241111111111111,0.0262222222222222,0.000444444444444444,0.133833333333333
32,0.249055555555556,0.312888888888889,0.0446666666666667,0.0421111111111111,0.021,0.0624444444444444,0.116333333333333,0.0382777777777778,0.0171111111111111,0.000277777777777778,0.0958333333333333
33,0.214222222222222,0.305111111111111,0.0515555555555556,0.0785,0.0235555555555556,0.0563888888888889,0.0788888888888889,0.0547777777777778,0.0207222222222222,5.55555555555556e-05,0.116222222222222
34,0.235555555555556,0.271666666666667,0.0407777777777778,0.0512777777777778,0.0195555555555556,0.0807222222222222,0.0352777777777778,0.134666666666667,0.00977777777777778,0.000222222222222222,0.1205
35,0.272055555555556,0.284555555555556,0.0400555555555556,0.0350555555555556,0.0233333333333333,0.0678888888888889,0.0295,0.108111111111111,0.0121111111111111,0.000111111111111111,0.127222222222222
36,0.3355,0.307222222222222,0.0412777777777778,0.029,0.026,0.0440555555555556,0.0252777777777778,0.0460555555555556,0.0163333333333333,0.000222222222222222,0.129055555555556
37,0.241666666666667,0.225722222222222,0.0289444444444444,0.0440555555555556,0.0158888888888889,0.0292777777777778,0.0649444444444444,0.107777777777778,0.0638888888888889,0.000333333333333333,0.1775
38,0.271777777777778,0.269277777777778,0.0202777777777778,0.100055555555556,0.0271666666666667,0.0612222222222222,0.0492222222222222,0.0343888888888889,0.0535555555555556,5.55555555555556e-05,0.113
39,0.411444444444444,0.175166666666667,0.0229444444444444,0.0593888888888889,0.0179444444444444,0.0535555555555556,0.0202777777777778,0.0676666666666667,0.0274444444444444,0.00116666666666667,0.143
40,0.258388888888889,0.305666666666667,0.0260555555555556,0.0650555555555556,0.00788888888888889,0.0522777777777778,0.0364444444444444,0.111222222222222,0.0122222222222222,0.000666666666666667,0.124111111111111
41,0.158555555555556,0.338611111111111,0.0587777777777778,0.0669444444444444,0.0102777777777778,0.0756666666666667,0.0163333333333333,0.107055555555556,0.0189444444444444,0.000277777777777778,0.148555555555556
42,0.106944444444444,0.276388888888889,0.0802222222222222,0.1085,0.0186666666666667,0.0425,0.0327777777777778,0.0716666666666667,0.0463333333333333,0.00211111111111111,0.213888888888889
