"Time","Phocaeicola_A_858004","Faecalibacterium","Bacteroides_H","Lachnospira","unknown_Genus_4","Phascolarctobacterium_A","Mesosutterella","Blautia_A_141781","Akkermansia","unknown_Genus_55","other"
1,0.473611111111111,0,0.308444444444444,0,0.000555555555555556,0.000333333333333333,0,0.00744444444444444,0.00172222222222222,0.1195,0.0883888888888889
2,0.436981850773023,0,0.230394353573829,0,0.0124915975801031,0.00851445216222272,0,0.017196952722384,0.0191015012323549,0.159421913511091,0.115897378444992
3,0.410224438902743,0,0.180968034459306,0,0.0207435955565631,0.0185898889140784,0,0.0230673316708229,0.0366130129222399,0.177340739061437,0.132452958512809
4,0.387722222222222,0,0.169222222222222,0,0.0232222222222222,0.0293888888888889,0,0.0245555555555556,0.0525555555555556,0.176833333333333,0.1365
5,0.38427053353996,0.00154970112906797,0.191166703564313,0.0024905911002878,0.0198140358645118,0.0458268762452956,0,0.0195926499889307,0.0720611025016604,0.143125968563206,0.120101837502767
6,0.392242355605889,0.00639864099660249,0.233465458663647,0.0087202718006795,0.0140430351075878,0.065911664779162,0,0.0111551528878822,0.0936579841449604,0.0789354473386183,0.0954699886749717
7,0.382388888888889,0.0142777777777778,0.288222222222222,0.0159444444444444,0.0105,0.0735555555555556,0,0.00616666666666667,0.100722222222222,0.0278333333333333,0.0803888888888889
8,0.304388888888889,0.0507222222222222,0.424611111111111,0.0256666666666667,0.0267777777777778,0.0583333333333333,0,0.0107777777777778,0.0223888888888889,0.00955555555555555,0.0667777777777778
9,0.378888888888889,0.0260555555555556,0.360277777777778,0.0140555555555556,0.0172777777777778,0.0552777777777778,0,0.011,0.0172777777777778,0.062,0.0578888888888889
10,0.347444444444444,0.0276666666666667,0.368611111111111,0.0378333333333333,0.031,0.0535555555555556,0,0.00838888888888889,0.0354444444444444,0.00572222222222222,0.0843333333333333
11,0.382222222222222,0.0595555555555556,0.283666666666667,0.0727222222222222,0.0234444444444444,0.0381111111111111,0,0.0055,0.0174444444444444,0.00838888888888889,0.108944444444444
12,0.365777777777778,0.0196666666666667,0.355,0.0405555555555556,0.0229444444444444,0.0488333333333333,0,0.0105555555555556,0.0555,0.0166666666666667,0.0645
13,0.523333333333333,0.0351111111111111,0.1925,0.0186111111111111,0.0242222222222222,0.0345,0,0.00822222222222222,0.0391666666666667,0.0527777777777778,0.0715555555555556
14,0.456888888888889,0.0362777777777778,0.269333333333333,0.0521666666666667,0.0132777777777778,0.0204444444444444,0,0.00377777777777778,0.0431666666666667,0.0416666666666667,0.063
15,0.344444444444444,0.0551111111111111,0.295555555555556,0.103388888888889,0.0156111111111111,0.0442777777777778,0,0.00511111111111111,0.0392777777777778,0.00622222222222222,0.091
16,0.307777777777778,0.0335,0.338666666666667,0.0190555555555556,0.0107222222222222,0.0442777777777778,0,0.00672222222222222,0.0341111111111111,0.116111111111111,0.0890555555555556
17,0.378315132605304,0.0335413416536661,0.302819255627368,0.0252395810118119,0.0107532872743481,0.0427345665255182,0,0.0078003120124805,0.0261867617561845,0.067584131936706,0.105025629596612
18,0.446666666666667,0.0334444444444444,0.2655,0.0312777777777778,0.0108888888888889,0.0393888888888889,0,0.00877777777777778,0.0210555555555556,0.0186666666666667,0.124333333333333
19,0.384777777777778,0.0127222222222222,0.326222222222222,0.024,0.0147777777777778,0.0347777777777778,0,0.00572222222222222,0.0409444444444444,0.0376111111111111,0.118444444444444
20,0.404722222222222,0.0268888888888889,0.361555555555556,0.0562222222222222,0.0183333333333333,0.0378333333333333,0,0.00588888888888889,0.0121111111111111,0.00344444444444444,0.073
21,0.380166666666667,0.0184444444444444,0.294722222222222,0.0750555555555556,0.0362222222222222,0.0383888888888889,0,0.00666666666666667,0.0385555555555556,0.00666666666666667,0.105111111111111
22,0.340277777777778,0.0507777777777778,0.317388888888889,0.00277777777777778,0.0204444444444444,0.0317222222222222,0.00633333333333333,0.01,0,0.0436666666666667,0.176611111111111
