"Time","Phocaeicola_A_858004","Bacteroides_H","Faecalibacterium","Paramuribaculum","Lachnospira","other","Parabacteroides_B_862066","Phascolarctobacterium_A","Ruminococcus_E","Gemmiger_A_73129","Prevotella"
0,8066,4987,4,2,382,4346,0,192,0,12,9
1,6231,5214,16,5,462,5827,0,208,0,27,10
2,6268,5721,5,129,284,5335,0,224,0,32,2
3,7187,5530,123,11,646,3855,0,559,0,89,0
4,3536,2971,288,78,169,9612,0,244,0,176,926
5,4286,1611,416,73,51,7352,16,271,0,81,3843
6,4442,5108,1256,200,134,4751,145,308,0,139,1517
7,5875,6484,1667,281,27,2623,243,561,0,110,129
8,5889,7633,1638,146,73,1919,262,324,0,113,3
9,3405,2371,556,71,25,9617,210,114,0,97,1534
10,5478,7164,1279,479,123,2235,644,432,0,111,55
11,2504,2378,451,82,5,10401,300,142,0,72,1665
12,2801,5467,1515,187,207,5139,454,248,0,157,1825
13,4129,6268,2576,482,359,2963,842,211,0,165,5
14,2013,1880,1201,237,55,8645,326,165,0,247,3231
15,2524,2376,1421,387,54,7102,412,290,0,299,3135
16,3997,3448,2757,277,162,5138,402,181,0,303,1335
17,2954,1823,1359,183,47,8670,261,137,0,178,2388
18,1766,845,481,45,12,9556,119,117,0,89,4970
19,4830,6126,2337,289,739,2149,1044,324,0,136,26
20,1108,1049,741,35,74,8537,199,138,0,101,6018
21,4914,6211,1684,459,941,2512,900,270,0,74,35
22,5660,5474,2000,308,1112,2446,492,410,1,70,27
23,4636,5591,1144,121,1008,4363,392,317,108,167,153
24,5539,6004,1793,318,551,2416,764,294,128,166,27
25,5704,5723,1187,449,485,2978,950,270,49,129,76
26,4631,5242,2343,407,651,3204,750,270,215,228,59
27,4352,4804,2637,353,612,3439,653,335,305,166,344
28,5928,5568,1587,340,862,2645,578,301,42,114,35
29,5916,5624,1281,309,523,3295,518,268,44,123,99
30,5270,5768,2223,468,415,2383,816,380,69,183,25
31,5882,5699,830,172,1359,3092,277,357,61,145,126
32,1195,1333,368,93,266,9673,116,178,170,203,4405
33,1273,1408,449,97,284,9475,121,182,171,215,4325
34,1488,1594,620,107,335,9153,137,196,173,207,3990
35,1910,1854,886,132,376,8628,188,200,157,202,3467
36,2398,2205,1239,141,462,7872,238,213,156,182,2894
37,3004,2646,1605,175,543,7052,309,227,149,168,2122
38,3659,3101,1943,213,620,6137,397,251,130,153,1396
39,4269,3534,2268,237,681,5331,480,261,112,129,698
40,4752,3857,2404,263,708,4737,569,270,86,122,232
41,5044,4026,2328,277,674,4531,637,265,57,102,59
42,4763,5497,1771,273,65,4301,728,374,30,96,102
43,4862,6187,1663,189,141,3486,687,587,30,76,92
44,2449,3065,988,81,62,7764,298,304,123,124,2742
45,4588,6549,1646,284,64,3697,665,270,58,166,13
46,4836,5594,1950,375,74,4096,436,408,29,179,23
47,5300,6088,1290,327,237,3794,293,396,50,144,12
48,5717,6545,631,246,442,3619,226,385,71,114,4
49,5868,5740,798,172,549,3960,262,457,65,125,4
50,2265,2178,451,130,115,10037,142,249,155,231,2047
51,4612,4153,511,370,188,6455,316,286,106,168,835
52,6390,5629,569,516,221,3744,434,291,61,135,10
53,1591,1648,637,128,38,11111,112,180,154,354,2047
54,1862,3368,796,231,91,9055,267,274,202,350,1504
55,2530,6467,1169,388,190,5160,571,433,243,321,528
56,3240,7943,1408,464,263,2944,734,464,257,278,5
57,6092,6111,1832,194,631,1881,870,369,19,1,0
58,5292,6469,1836,243,718,2255,802,323,36,10,16
59,5443,6512,1268,195,949,2380,618,519,57,40,19
60,5060,4902,2754,445,759,2835,690,318,143,94,0
61,5433,5459,2516,344,441,2565,580,422,121,119,0
62,5397,6091,1853,372,407,2461,727,398,181,103,10
63,5154,5587,2344,489,538,2497,830,296,166,94,5
64,4484,5107,3037,615,664,2743,933,163,152,101,1
65,3429,5976,1874,582,334,4333,975,260,107,130,0
66,3865,5984,1229,833,264,4347,994,191,63,215,15
67,3082,5917,1637,1041,424,4209,855,287,167,367,14
68,2803,6052,1051,1004,501,5032,701,254,218,377,7
69,2682,5585,1046,836,279,6304,621,272,81,262,32
