"Time","Erithacus","Parus","Phylloscopus","Sylvia","Troglodytes","Turdus","Fringilla","other","Luscinia","Acrocephalus","Sturnus"
1953,6.001,5.001,23.001,32.001,1.001,7.001,17.001,16.001,9.001,0.001,0.001
1954,2.001,6.001,22.001,26.001,2.001,7.001,19.001,15.001,13.001,0.001,0.001
1955,0.001,11.001,20.001,27.001,1.001,6.001,14.001,17.001,7.001,0.001,0.001
1956,3.001,9.001,20.001,28.001,0.001,7.001,10.001,19.001,17.001,0.001,0.001
1957,8.001,15.001,23.001,31.001,0.001,9.001,14.001,17.001,14.001,1.001,0.001
1958,9.001,11.001,23.001,26.001,1.001,7.001,12.001,16.001,15.001,1.001,0.001
1959,8.001,13.001,17.001,20.001,0.001,8.001,12.001,14.001,16.001,2.001,0.001
1960,11.001,16.001,18.001,25.001,0.001,8.001,13.001,22.001,14.001,2.001,0.001
1961,9.001,19.001,13.001,29.001,2.001,10.001,17.001,27.001,13.001,1.001,0.001
1962,8.001,14.001,14.001,19.001,2.001,11.001,17.001,24.001,10.001,1.001,1.001
1963,5.001,11.001,17.001,22.001,0.001,7.001,18.001,18.001,10.001,2.001,0.001
1964,8.001,10.001,15.001,17.001,1.001,10.001,22.001,23.001,13.001,2.001,0.001
1965,7.001,20.001,15.001,24.001,1.001,12.001,17.001,28.001,13.001,2.001,0.001
1966,3.001,13.001,7.001,14.001,3.001,11.001,17.001,18.001,11.001,1.001,6.001
1967,4.001,15.001,13.001,18.001,6.001,12.001,21.001,19.001,11.001,1.001,5.001
1968,5.001,17.001,14.001,20.001,7.001,16.001,20.001,23.001,11.001,4.001,8.001
1969,7.001,19.001,14.001,23.001,7.001,15.001,27.001,22.001,11.001,5.001,8.001
1970,1.001,16.001,14.001,24.001,8.001,11.001,20.001,14.001,9.001,6.001,4.001
1971,1.001,20.001,11.001,21.001,7.001,8.001,17.001,10.001,8.001,3.001,6.001
1972,1.001,19.001,13.001,19.001,0.001,8.001,16.001,10.001,13.001,5.001,3.001
1973,3.001,13.001,7.001,14.001,3.001,11.001,17.001,18.001,11.001,1.001,6.001
1974,4.001,15.001,13.001,18.001,6.001,12.001,21.001,19.001,11.001,1.001,5.001
1975,5.001,17.001,14.001,20.001,7.001,16.001,20.001,23.001,11.001,4.001,8.001
1976,7.001,19.001,14.001,23.001,7.001,15.001,27.001,22.001,11.001,5.001,8.001
1977,1.001,16.001,14.001,24.001,8.001,11.001,20.001,14.001,9.001,6.001,4.001
1978,1.001,20.001,11.001,21.001,7.001,8.001,17.001,10.001,8.001,3.001,6.001
1979,1.001,19.001,13.001,19.001,0.001,8.001,16.001,10.001,13.001,5.001,3.001
1980,4.001,23.001,18.001,19.001,0.001,11.001,25.001,23.001,16.001,2.001,8.001
1981,4.001,16.001,10.001,25.001,0.001,8.001,25.001,17.001,9.001,10.001,8.001
1982,3.001,7.001,12.001,23.001,0.001,9.001,22.001,15.001,9.001,8.001,5.001
1983,4.001,18.001,13.001,25.001,3.001,12.001,27.001,27.001,9.001,7.001,10.001
1984,5.001,13.001,12.001,20.001,3.001,10.001,19.001,12.001,6.001,9.001,4.001
1985,1.001,16.001,16.001,20.001,0.001,10.001,21.001,15.001,10.001,8.001,3.001
1986,0.001,22.001,16.001,20.001,0.001,12.001,26.001,18.001,8.001,12.001,3.001
1987,2.001,15.001,12.001,30.001,0.001,8.001,20.001,16.001,9.001,8.001,0.001
1988,2.001,12.001,10.001,26.001,0.001,11.001,19.001,20.001,13.001,8.001,1.001
1989,6.001,10.001,7.001,23.001,2.001,13.001,22.001,17.001,14.001,10.001,1.001
1990,5.001,14.001,6.001,23.001,9.001,15.001,27.001,16.001,16.001,6.001,1.001
1991,10.001,25.001,13.001,15.001,11.001,13.001,23.001,12.001,6.001,3.001,1.001
1992,6.001,20.001,5.001,25.001,9.001,9.001,23.001,7.001,9.001,0.001,3.001
1993,8.001,19.001,7.001,18.001,10.001,10.001,23.001,17.001,8.001,0.001,4.001
1994,5.001,20.001,10.001,25.001,8.001,13.001,28.001,13.001,7.001,3.001,5.001
1995,4.001,23.001,12.001,19.001,7.001,10.001,19.001,25.001,5.001,6.001,7.001
1996,3.001,26.001,14.001,29.001,4.001,11.001,24.001,26.001,8.001,5.001,7.001
1997,4.001,21.001,14.001,31.001,5.001,12.001,28.001,23.001,9.001,5.001,8.001
1998,7.001,18.001,13.001,29.001,7.001,14.001,18.001,20.001,11.001,2.001,5.001
1999,6.001,23.001,13.001,29.001,9.001,10.001,17.001,23.001,5.001,3.001,12.001
2000,6.001,20.001,15.001,26.001,13.001,11.001,21.001,27.001,7.001,4.001,1.001
2001,5.001,27.001,9.001,28.001,7.001,16.001,28.001,36.001,5.001,1.001,2.001
2002,3.001,25.001,9.001,28.001,7.001,17.001,25.001,34.001,2.001,3.001,1.001
2003,4.001,26.001,8.001,22.001,8.001,17.001,24.001,31.001,3.001,1.001,2.001
2004,7.001,28.001,18.001,31.001,9.001,16.001,27.001,40.001,2.001,0.001,4.001
2005,6.001,32.001,13.001,34.001,11.001,15.001,27.001,32.001,1.001,1.001,5.001
2006,4.001,28.001,12.001,30.001,7.001,12.001,20.001,24.001,5.001,5.001,5.001
2007,5.001,22.001,14.001,28.001,6.001,8.001,22.001,16.001,7.001,5.001,2.001
2008,6.001,26.001,13.001,33.001,8.001,12.001,18.001,23.001,7.001,4.001,8.001
2009,9.001,31.001,17.001,16.001,11.001,9.001,20.001,19.001,3.001,1.001,3.001
