"Time","Erithacus rubecula","Parus caeruleus","Parus major","Phylloscopus trochilus","other","Sylvia atricapilla","Sylvia borin","Sylvia communis","Troglodytes troglodytes","Turdus merula","Anthus trivialis","Fringilla coelebs","Hippolais icterina","Luscinia luscinia","Acrocephalus palustris","Sturnus vulgaris"
1953,6.001,1.001,2.001,23.001,11.001,9.001,16.001,6.001,1.001,7.001,5.001,17.001,3.001,9.001,0.001,0.001
1954,2.001,3.001,2.001,22.001,7.001,6.001,14.001,5.001,2.001,7.001,7.001,19.001,3.001,13.001,0.001,0.001
1955,0.001,4.001,3.001,20.001,12.001,4.001,16.001,7.001,1.001,5.001,6.001,14.001,4.001,7.001,0.001,0.001
1956,3.001,1.001,4.001,20.001,10.001,3.001,18.001,7.001,0.001,7.001,10.001,10.001,3.001,17.001,0.001,0.001
1957,8.001,3.001,7.001,23.001,12.001,4.001,19.001,8.001,0.001,9.001,7.001,14.001,3.001,14.001,1.001,0.001
1958,9.001,3.001,7.001,23.001,10.001,6.001,14.001,6.001,1.001,7.001,6.001,12.001,1.001,15.001,1.001,0.001
1959,8.001,2.001,8.001,17.001,11.001,4.001,13.001,3.001,0.001,7.001,7.001,12.001,0.001,16.001,2.001,0.001
1960,11.001,4.001,10.001,18.001,14.001,5.001,14.001,6.001,0.001,7.001,9.001,13.001,2.001,14.001,2.001,0.001
1961,9.001,5.001,11.001,13.001,22.001,5.001,16.001,7.001,2.001,8.001,10.001,17.001,1.001,13.001,1.001,0.001
1962,8.001,3.001,9.001,13.001,18.001,4.001,12.001,3.001,2.001,9.001,7.001,17.001,4.001,10.001,1.001,1.001
1963,5.001,3.001,6.001,17.001,12.001,2.001,13.001,7.001,0.001,6.001,6.001,18.001,3.001,10.001,2.001,0.001
1964,8.001,2.001,6.001,15.001,18.001,2.001,9.001,6.001,1.001,8.001,8.001,22.001,1.001,13.001,2.001,0.001
1965,7.001,4.001,12.001,13.001,27.001,4.001,15.001,5.001,1.001,9.001,5.001,17.001,5.001,13.001,2.001,0.001
1966,3.001,5.001,7.001,7.001,14.001,3.001,11.001,0.001,3.001,10.001,3.001,17.001,3.001,11.001,1.001,6.001
1967,4.001,3.001,10.001,13.001,16.001,3.001,13.001,2.001,6.001,12.001,2.001,21.001,3.001,11.001,1.001,5.001
1968,5.001,4.001,10.001,14.001,19.001,2.001,13.001,5.001,7.001,16.001,3.001,20.001,5.001,11.001,3.001,8.001
1969,7.001,5.001,12.001,14.001,14.001,3.001,17.001,3.001,7.001,15.001,6.001,27.001,4.001,11.001,5.001,8.001
1970,1.001,3.001,10.001,14.001,10.001,4.001,14.001,6.001,8.001,11.001,5.001,20.001,2.001,9.001,6.001,4.001
1971,1.001,5.001,12.001,11.001,9.001,2.001,14.001,4.001,7.001,8.001,4.001,17.001,1.001,8.001,3.001,6.001
1972,1.001,2.001,14.001,13.001,6.001,2.001,13.001,4.001,0.001,8.001,5.001,16.001,2.001,13.001,5.001,3.001
1973,3.001,5.001,7.001,7.001,14.001,3.001,11.001,0.001,3.001,10.001,3.001,17.001,3.001,11.001,1.001,6.001
1974,4.001,3.001,10.001,13.001,16.001,3.001,13.001,2.001,6.001,12.001,2.001,21.001,3.001,11.001,1.001,5.001
1975,5.001,4.001,10.001,14.001,19.001,2.001,13.001,5.001,7.001,16.001,3.001,20.001,5.001,11.001,3.001,8.001
1976,7.001,5.001,12.001,14.001,14.001,3.001,17.001,3.001,7.001,15.001,6.001,27.001,4.001,11.001,5.001,8.001
1977,1.001,3.001,10.001,14.001,10.001,4.001,14.001,6.001,8.001,11.001,5.001,20.001,2.001,9.001,6.001,4.001
1978,1.001,5.001,12.001,11.001,9.001,2.001,14.001,4.001,7.001,8.001,4.001,17.001,1.001,8.001,3.001,6.001
1979,1.001,2.001,14.001,13.001,6.001,2.001,13.001,4.001,0.001,8.001,5.001,16.001,2.001,13.001,5.001,3.001
1980,4.001,6.001,14.001,18.001,15.001,2.001,14.001,3.001,0.001,11.001,7.001,25.001,4.001,16.001,2.001,8.001
1981,4.001,5.001,10.001,10.001,10.001,3.001,16.001,6.001,0.001,8.001,3.001,25.001,5.001,9.001,10.001,8.001
1982,3.001,2.001,4.001,12.001,12.001,4.001,18.001,1.001,0.001,9.001,2.001,22.001,2.001,9.001,8.001,5.001
1983,4.001,4.001,12.001,13.001,19.001,4.001,18.001,3.001,3.001,12.001,6.001,27.001,4.001,9.001,7.001,10.001
1984,5.001,3.001,8.001,12.001,8.001,4.001,14.001,2.001,3.001,10.001,3.001,19.001,3.001,6.001,9.001,4.001
1985,1.001,6.001,9.001,16.001,7.001,5.001,11.001,4.001,0.001,10.001,5.001,21.001,4.001,10.001,8.001,3.001
1986,0.001,6.001,15.001,16.001,8.001,4.001,16.001,0.001,0.001,12.001,7.001,26.001,4.001,8.001,12.001,3.001
1987,2.001,6.001,8.001,12.001,11.001,7.001,18.001,5.001,0.001,7.001,3.001,20.001,4.001,9.001,8.001,0.001
1988,2.001,3.001,7.001,10.001,14.001,7.001,12.001,6.001,0.001,8.001,4.001,19.001,8.001,13.001,8.001,1.001
1989,6.001,3.001,7.001,7.001,10.001,9.001,11.001,3.001,2.001,9.001,3.001,22.001,8.001,14.001,10.001,1.001
1990,5.001,4.001,9.001,6.001,17.001,8.001,13.001,2.001,9.001,10.001,0.001,27.001,5.001,16.001,6.001,1.001
1991,10.001,11.001,13.001,13.001,13.001,9.001,5.001,1.001,11.001,11.001,0.001,23.001,2.001,6.001,3.001,1.001
1992,6.001,5.001,14.001,5.001,8.001,13.001,9.001,3.001,9.001,7.001,0.001,23.001,2.001,9.001,0.001,3.001
1993,8.001,7.001,11.001,7.001,17.001,7.001,8.001,3.001,10.001,8.001,0.001,23.001,3.001,8.001,0.001,4.001
1994,5.001,7.001,12.001,10.001,13.001,11.001,10.001,4.001,8.001,9.001,0.001,28.001,5.001,7.001,3.001,5.001
1995,4.001,6.001,15.001,12.001,23.001,10.001,7.001,2.001,7.001,7.001,0.001,19.001,7.001,5.001,6.001,7.001
1996,3.001,10.001,14.001,13.001,23.001,14.001,8.001,6.001,4.001,9.001,0.001,24.001,9.001,8.001,5.001,7.001
1997,4.001,9.001,10.001,13.001,22.001,12.001,12.001,7.001,5.001,12.001,0.001,28.001,4.001,9.001,5.001,8.001
1998,7.001,6.001,11.001,12.001,22.001,10.001,9.001,8.001,7.001,14.001,0.001,18.001,2.001,11.001,2.001,5.001
1999,6.001,11.001,10.001,12.001,22.001,14.001,11.001,4.001,9.001,9.001,0.001,17.001,6.001,5.001,2.001,12.001
2000,6.001,8.001,10.001,15.001,27.001,15.001,8.001,3.001,13.001,10.001,0.001,21.001,3.001,7.001,4.001,1.001
2001,5.001,11.001,13.001,7.001,33.001,14.001,11.001,3.001,7.001,14.001,3.001,28.001,7.001,5.001,1.001,2.001
2002,3.001,11.001,11.001,9.001,34.001,13.001,10.001,5.001,7.001,13.001,0.001,25.001,8.001,2.001,2.001,1.001
2003,4.001,9.001,12.001,2.001,42.001,11.001,6.001,5.001,8.001,11.001,0.001,24.001,6.001,3.001,1.001,2.001
2004,7.001,12.001,13.001,9.001,48.001,12.001,11.001,7.001,9.001,13.001,1.001,27.001,7.001,2.001,0.001,4.001
2005,6.001,12.001,18.001,7.001,39.001,16.001,11.001,7.001,11.001,13.001,0.001,27.001,3.001,1.001,1.001,5.001
2006,4.001,12.001,13.001,9.001,29.001,15.001,10.001,5.001,7.001,12.001,0.001,20.001,1.001,5.001,5.001,5.001
2007,5.001,7.001,11.001,6.001,28.001,15.001,9.001,4.001,6.001,8.001,0.001,22.001,0.001,7.001,5.001,2.001
2008,6.001,11.001,12.001,4.001,35.001,17.001,8.001,7.001,8.001,11.001,0.001,18.001,2.001,7.001,4.001,8.001
2009,9.001,12.001,14.001,7.001,34.001,12.001,2.001,2.001,11.001,8.001,0.001,20.001,1.001,3.001,1.001,3.001
