"Time","Carduelis","Emberiza","other","Phylloscopus","Prunella","Anthus","Ficedula","Phoenicurus","Turdus","Fringilla","Luscinia"
1963,5.501,33.101,35.901,13.501,22.101,8.301,16.601,22.101,19.401,66.301,2.801
1964,11.301,31.701,18.001,21.501,33.901,22.601,20.401,15.801,27.201,43.001,6.801
1965,2.301,24.901,20.301,19.901,22.601,6.801,28.701,23.901,79.101,38.501,13.601
1966,5.701,34.501,22.901,11.501,21.101,5.701,13.801,6.901,44.001,53.701,13.401
1967,23.001,28.701,9.601,14.201,36.401,9.601,20.801,20.801,53.701,36.401,38.301
1968,90.001,21.101,15.301,15.101,21.101,3.801,10.401,6.901,116.901,63.201,21.101
1969,7.701,19.201,15.301,13.001,40.201,3.801,17.301,3.501,86.301,51.701,7.701
1970,23.001,13.401,3.801,17.801,19.201,3.801,10.401,6.901,105.401,32.601,3.801
1971,88.101,17.201,17.101,14.801,26.801,5.701,34.601,3.501,57.401,53.601,15.301
1972,19.301,17.701,14.401,15.401,16.101,4.801,15.401,10.301,89.901,64.301,14.501
1973,23.801,26.201,154.101,2.401,0.001,2.401,9.501,47.601,19.001,14.801,0.001
1974,26.201,23.801,21.401,15.501,35.701,4.801,12.901,16.201,78.501,24.301,47.601
1975,28.601,26.201,7.201,12.401,31.001,14.301,22.701,9.701,23.801,61.901,11.901
1976,9.501,19.001,14.301,10.701,33.301,11.901,12.901,12.901,19.001,38.101,23.801
1977,28.601,19.001,14.401,11.701,31.001,14.301,3.201,9.701,26.201,23.801,14.301
1978,2.401,14.301,14.401,8.601,35.701,9.501,9.701,19.401,80.901,33.401,23.801
1979,16.701,19.001,9.601,8.601,21.401,4.801,6.501,3.201,28.501,40.401,4.801
1980,50.001,19.001,19.201,7.401,14.301,2.401,3.201,9.701,64.301,81.001,2.401
1981,40.501,31.001,19.101,8.601,40.501,4.801,6.501,19.401,78.501,61.901,16.701
1982,11.901,21.401,9.601,12.601,31.001,7.101,6.501,16.201,40.501,59.501,19.001
1983,7.201,11.901,9.601,8.401,19.101,4.801,0.001,9.701,28.601,57.301,7.201
1984,9.601,11.901,16.801,10.001,19.101,7.201,12.901,3.201,28.601,100.301,7.201
1985,38.201,21.501,14.401,20.801,16.701,11.901,9.701,3.201,40.601,95.501,11.901
1986,14.301,21.501,23.901,14.601,14.301,2.401,12.901,3.201,21.501,83.601,7.201
1987,0.001,26.301,23.901,14.601,14.301,11.901,12.901,3.201,21.501,64.501,7.201
1988,14.301,31.001,23.901,24.301,28.601,14.301,12.901,9.701,85.901,83.601,19.101
1989,14.301,21.501,21.501,23.901,26.301,16.701,19.401,9.701,174.201,102.601,14.301
1990,4.801,28.601,16.701,17.901,23.801,14.301,16.201,6.501,71.501,45.301,9.501
1991,0.001,23.801,14.301,12.101,14.301,11.901,12.901,16.201,97.601,45.301,0.001
1992,23.801,9.501,14.301,16.001,14.301,4.801,6.501,12.901,42.901,61.901,4.801
1993,16.701,9.501,31.101,21.901,33.301,11.901,7.101,19.001,59.601,111.501,0.001
1994,23.801,14.301,11.901,21.401,42.901,14.301,7.101,11.901,50.001,95.201,7.101
1995,28.601,14.301,7.201,25.201,40.501,0.001,4.801,11.901,73.701,76.201,33.301
1996,28.601,19.001,21.501,15.701,35.701,11.901,4.801,9.501,76.201,64.301,14.301
1997,28.601,26.201,21.501,16.401,28.601,9.501,9.501,11.901,140.401,66.701,35.701
1998,50.001,14.301,21.501,15.701,28.601,9.501,4.801,7.101,92.801,78.601,14.301
1999,64.301,21.401,12.001,14.001,19.001,11.901,4.801,14.301,69.101,88.101,4.801
