"Time","Carduelis flammea","Emberiza schoeniclus","Fringilla coelebs","Muscicapa striata","Phylloscopus trochilus","Prunella modularis","Sylvia borin","Turdus philomelos","Anthus trivialis","Ficedula hypoleuca","Phoenicurus phoenicurus","Turdus iliacus","Fringilla montifringilla","Luscinia svecica","other","Turdus pilaris"
1963,5.501,33.101,2.801,2.801,13.501,22.101,13.801,2.801,8.301,16.601,22.101,16.601,63.501,2.801,19.301,0.001
1964,11.301,31.701,4.501,0.001,19.201,33.901,9.001,13.601,15.801,20.401,15.801,6.801,38.501,6.801,18.101,6.801
1965,2.301,24.901,2.301,2.301,19.901,22.601,9.001,15.801,6.801,28.701,23.901,47.501,36.201,13.601,9.001,15.801
1966,5.701,34.501,9.601,1.901,11.501,21.101,17.201,23.001,5.701,13.801,6.901,17.201,44.101,13.401,5.701,1.901
1967,23.001,28.701,3.801,0.001,14.201,36.401,7.701,9.601,9.601,20.801,20.801,24.901,32.601,38.301,1.901,19.201
1968,90.001,21.101,1.901,0.001,15.101,21.101,9.601,15.301,3.801,10.401,6.901,55.601,61.301,21.101,5.701,46.001
1969,7.701,19.201,1.901,0.001,13.001,40.201,9.601,19.201,3.801,17.301,3.501,44.101,49.801,7.701,5.701,23.001
1970,23.001,13.401,1.901,0.001,17.801,19.201,3.801,13.401,3.801,10.401,6.901,59.401,30.701,3.801,0.001,32.601
1971,86.201,17.201,1.901,3.801,14.801,26.801,5.701,3.801,5.701,34.601,3.501,24.901,51.701,15.301,9.501,28.701
1972,19.301,17.701,0.001,3.201,15.401,16.101,1.601,9.601,4.801,15.401,10.301,49.801,64.301,14.501,9.601,30.501
1973,23.801,26.201,2.401,15.501,0.001,0.001,0.001,7.101,2.401,9.501,47.601,11.901,12.401,0.001,141.001,0.001
1974,26.201,21.401,11.901,9.501,15.501,35.701,9.501,11.901,4.801,12.901,16.201,59.501,12.401,47.601,4.801,7.101
1975,28.601,26.201,0.001,0.001,12.401,31.001,4.801,7.101,14.301,22.701,9.701,11.901,61.901,11.901,2.401,4.801
1976,9.501,19.001,0.001,2.401,10.701,33.301,9.501,4.801,11.901,12.901,12.901,7.101,38.101,23.801,2.401,7.101
1977,28.601,19.001,9.501,4.801,11.701,31.001,2.401,4.801,14.301,3.201,9.701,14.301,14.301,14.301,7.201,7.101
1978,2.401,14.301,4.801,2.401,8.601,35.701,0.001,14.301,9.501,9.701,19.401,19.001,28.601,23.801,12.001,47.601
1979,16.701,19.001,7.101,4.801,8.601,21.401,2.401,7.101,4.801,6.501,3.201,7.101,33.301,4.801,2.401,14.301
1980,50.001,19.001,2.401,2.401,7.401,14.301,4.801,14.301,2.401,3.201,9.701,28.601,78.601,2.401,12.001,21.401
1981,38.101,31.001,2.401,11.901,8.601,40.501,2.401,14.301,4.801,6.501,19.401,45.201,59.501,16.701,7.201,19.001
1982,11.901,21.401,7.101,2.401,12.601,31.001,2.401,9.501,7.101,6.501,16.201,16.701,52.401,19.001,4.801,14.301
1983,7.201,11.901,4.801,4.801,8.401,19.101,2.401,2.401,4.801,0.001,9.701,11.901,52.501,7.201,2.401,14.301
1984,4.801,11.901,2.401,0.001,7.601,19.101,4.801,2.401,7.201,12.901,3.201,14.301,97.901,7.201,19.201,11.901
1985,31.001,21.501,7.201,7.201,18.401,16.701,0.001,2.401,11.901,9.701,3.201,14.301,88.301,11.901,16.801,23.901
1986,14.301,21.501,4.801,7.201,14.601,14.301,9.501,2.401,2.401,12.901,3.201,7.201,78.801,7.201,9.601,9.501
1987,0.001,26.301,2.401,7.201,14.601,14.301,9.501,2.401,11.901,12.901,3.201,7.201,62.101,7.201,9.601,9.501
1988,14.301,31.001,7.201,11.901,24.301,28.601,4.801,4.801,11.901,12.901,9.701,31.001,76.401,19.101,12.001,47.701
1989,14.301,21.501,9.501,4.801,23.901,26.301,2.401,31.001,14.301,19.401,9.701,62.101,93.101,14.301,16.701,81.101
1990,4.801,28.601,2.401,7.101,17.901,23.801,4.801,16.701,11.901,16.201,6.501,26.201,42.901,9.501,7.201,28.601
1991,0.001,23.801,2.401,7.101,12.101,14.301,0.001,0.001,9.501,12.901,16.201,23.801,42.901,0.001,12.001,71.401
1992,23.801,9.501,0.001,7.101,16.001,14.301,2.401,11.901,4.801,6.501,12.901,14.301,61.901,4.801,4.801,16.701
1993,16.701,9.501,9.501,14.301,21.901,33.301,2.401,2.401,11.901,7.101,19.001,28.601,102.001,0.001,14.401,28.601
1994,21.401,14.301,0.001,7.101,21.401,42.901,0.001,9.501,14.301,7.101,11.901,26.201,95.201,7.101,7.201,14.301
1995,28.601,14.301,4.801,2.401,11.901,40.501,0.001,33.301,0.001,4.801,11.901,0.001,71.401,33.301,51.401,7.101
1996,23.801,19.001,0.001,9.501,15.701,35.701,2.401,7.101,9.501,4.801,9.501,31.001,64.301,14.301,16.801,38.101
1997,26.201,26.201,0.001,14.301,16.401,28.601,4.801,7.101,9.501,9.501,11.901,45.201,66.701,35.701,4.801,88.101
1998,50.001,14.301,2.401,7.101,15.701,28.601,2.401,0.001,9.501,4.801,7.101,35.701,76.201,14.301,12.001,57.101
1999,61.901,21.401,4.801,4.801,14.001,19.001,0.001,4.801,11.901,4.801,14.301,45.201,83.301,4.801,14.401,14.301
