"Time","Siphonoperla","Tinodes","other","Agapetus","Amphinemura","Apatania","Baetis","Chaetopteryx","Leuctra","Nemoura","Protonemura"
1969,400.001,3799.001,549.001,5479.001,114.001,296.001,8182.001,1605.001,2675.001,218.001,1319.001
1970,927.001,5032.001,531.001,17681.001,161.001,692.001,5292.001,818.001,4299.001,349.001,3214.001
1971,705.001,4038.001,839.001,8885.001,280.001,141.001,8831.001,281.001,4176.001,179.001,1607.001
1972,150.001,696.001,1065.001,607.001,274.001,38.001,15917.001,8.001,3457.001,271.001,118.001
1973,1270.001,1428.001,1599.001,2331.001,147.001,167.001,2107.001,1060.001,8586.001,555.001,4721.001
1974,182.001,1159.001,1043.001,2151.001,9.001,113.001,12389.001,203.001,1740.001,391.001,1333.001
1975,186.001,1495.001,881.001,426.001,105.001,60.001,9473.001,261.001,2828.001,248.001,2699.001
1976,444.001,1374.001,1066.001,809.001,42.001,82.001,2762.001,615.001,4593.001,509.001,2723.001
1977,284.001,256.001,1353.001,1603.001,13.001,151.001,11399.001,504.001,6851.001,608.001,309.001
1978,51.001,323.001,526.001,1781.001,48.001,112.001,9662.001,813.001,1421.001,262.001,524.001
1979,73.001,301.001,705.001,7961.001,335.001,138.001,18232.001,1074.001,1721.001,546.001,1244.001
1980,197.001,643.001,990.001,13802.001,152.001,714.001,12018.001,758.001,2672.001,397.001,2946.001
1981,118.001,656.001,711.001,1906.001,53.001,877.001,10814.001,453.001,2770.001,286.001,2019.001
1982,102.001,446.001,409.001,6916.001,19.001,947.001,9254.001,261.001,1102.001,268.001,1780.001
1983,75.001,2268.001,430.001,4832.001,49.001,621.001,2086.001,267.001,1264.001,110.001,1377.001
1984,93.001,1065.001,474.001,491.001,109.001,718.001,3716.001,821.001,1358.001,313.001,736.001
1985,223.001,1210.001,613.001,4356.001,29.001,1258.001,5744.001,419.001,1244.001,292.001,885.001
1986,125.001,875.001,281.001,300.001,13.001,231.001,569.001,302.001,2588.001,421.001,425.001
1987,113.001,698.001,636.001,533.001,184.001,287.001,2832.001,188.001,1827.001,2724.001,1687.001
1988,844.001,1496.001,938.001,1165.001,314.001,374.001,6527.001,102.001,1746.001,629.001,5987.001
1989,244.001,1616.001,1203.001,1405.001,37.001,281.001,9526.001,67.001,1987.001,205.001,2454.001
1990,804.001,1600.001,2512.001,1801.001,647.001,266.001,3912.001,346.001,7335.001,1672.001,2315.001
1991,733.001,808.001,3986.001,431.001,587.001,190.001,2418.001,168.001,10717.001,2128.001,3605.001
1992,271.001,142.001,2411.001,374.001,210.001,64.001,2262.001,149.001,4291.001,468.001,834.001
1993,2110.001,42.001,2641.001,145.001,2360.001,55.001,3295.001,87.001,10474.001,2523.001,3610.001
1994,143.001,23.001,1389.001,143.001,1075.001,27.001,7595.001,135.001,3167.001,538.001,5333.001
1995,251.001,244.001,1558.001,379.001,215.001,162.001,6531.001,240.001,2675.001,191.001,4785.001
1996,766.001,179.001,1606.001,368.001,63.001,87.001,1073.001,148.001,3945.001,152.001,1034.001
1997,158.001,178.001,2804.001,77.001,49.001,19.001,2315.001,201.001,2055.001,156.001,1140.001
1998,159.001,142.001,2688.001,19.001,15.001,3.001,1458.001,31.001,2991.001,173.001,611.001
1999,117.001,241.001,1255.001,41.001,31.001,5.001,3965.001,226.001,2092.001,83.001,745.001
2000,156.001,782.001,1413.001,199.001,110.001,7.001,1233.001,91.001,1485.001,208.001,556.001
2001,42.001,1181.001,1354.001,442.001,108.001,1.001,3516.001,99.001,1524.001,97.001,1135.001
2002,98.001,1702.001,1205.001,425.001,229.001,10.001,3039.001,94.001,1394.001,158.001,1245.001
2003,167.001,3173.001,1090.001,423.001,95.001,16.001,3626.001,91.001,1865.001,170.001,1278.001
2004,114.001,660.001,1104.001,158.001,18.001,0.001,1537.001,55.001,2555.001,45.001,893.001
2005,64.001,687.001,1071.001,146.001,28.001,1.001,3885.001,218.001,2963.001,297.001,562.001
